ticker,quarter,ma_event,ma_window,mna_jump_allow,total_production_raw,oil_production_raw,total_oil_ratio,oil_qc_flag,total_production_clean,oil_production_clean,production_qoq_log_raw,production_qoq_threshold,pending_regime_value,pending_regime_quarter,total_prod_yoy_raw,total_prod_yoy_clean,total_qc_flag,production_qc_flag
COP,2016Q2,0.0,0.0,0.0,,,,MISSING,,,,,,,,,MISSING,MISSING
COP,2016Q3,0.0,0.0,0.0,,,,MISSING,,,,,,,,,MISSING,MISSING
COP,2016Q4,0.0,0.0,0.0,,,,MISSING,,,,,,,,,MISSING,MISSING
COP,2017Q1,0.0,0.0,0.0,,,,MISSING,,,,,,,,,MISSING,MISSING
COP,2017Q2,1.0,1.0,1.0,,,,MISSING,,,,,,,,,MISSING,MISSING
COP,2017Q3,0.0,1.0,1.0,,,,MISSING,,,,,,,,,MISSING,MISSING
COP,2017Q4,0.0,1.0,1.0,,,,MISSING,,,,,,,,,MISSING,MISSING
COP,2018Q1,0.0,1.0,1.0,,,,MISSING,,,,,,,,,MISSING,MISSING
COP,2018Q2,0.0,1.0,1.0,,,,MISSING,,,,,,,,,MISSING,MISSING
COP,2018Q3,0.0,0.0,0.0,,,,MISSING,,,,,,,,,MISSING,MISSING
COP,2018Q4,0.0,0.0,0.0,,,,MISSING,,,,,,,,,MISSING,MISSING
COP,2019Q1,0.0,0.0,0.0,,,,MISSING,,,,,,,,,MISSING,MISSING
COP,2019Q2,0.0,0.0,0.0,,,,MISSING,,,,,,,,,MISSING,MISSING
COP,2019Q3,0.0,0.0,0.0,,,,MISSING,,,,,,,,,MISSING,MISSING
COP,2019Q4,0.0,0.0,0.0,,,,MISSING,,,,,,,,,MISSING,MISSING
COP,2020Q1,0.0,0.0,0.0,,,,MISSING,,,,,,,,,MISSING,MISSING
COP,2020Q2,0.0,0.0,0.0,,,,MISSING,,,,,,,,,MISSING,MISSING
COP,2020Q3,0.0,0.0,0.0,,,,MISSING,,,,,,,,,MISSING,MISSING
COP,2020Q4,0.0,0.0,0.0,,,,MISSING,,,,,,,,,MISSING,MISSING
COP,2021Q1,1.0,1.0,1.0,,,,MISSING,,,,,,,,,MISSING,MISSING
COP,2021Q2,0.0,1.0,1.0,,,,MISSING,,,,,,,,,MISSING,MISSING
COP,2021Q3,0.0,1.0,1.0,,,,MISSING,,,,,,,,,MISSING,MISSING
COP,2021Q4,1.0,1.0,1.0,,,,MISSING,,,,,,,,,MISSING,MISSING
COP,2022Q1,0.0,1.0,1.0,,,,MISSING,,,,,,,,,MISSING,MISSING
COP,2022Q2,0.0,1.0,1.0,,,,MISSING,,,,,,,,,MISSING,MISSING
COP,2022Q3,0.0,1.0,1.0,,,,MISSING,,,,,,,,,MISSING,MISSING
COP,2022Q4,0.0,1.0,1.0,1758.0,,,MISSING,,,,,1758.0,2022Q4,,,PENDING_INITIAL_REGIME,PENDING_INITIAL_REGIME
COP,2023Q1,0.0,0.0,0.0,1792.0,,,MISSING,1792.0,,,,,,,,INITIAL_REGIME_CONFIRMED,INITIAL_REGIME_CONFIRMED
COP,2023Q2,0.0,0.0,0.0,1805.0,,,MISSING,1805.0,,0.722827723210542,35.0,,,,,OK,OK
COP,2023Q3,0.0,0.0,0.0,,,,MISSING,,,,,,,,,MISSING,MISSING
COP,2023Q4,0.0,0.0,0.0,1902.0,,,MISSING,1902.0,,5.234537233835442,49.49747468305833,,,7.8729164860213405,,OK,OK
COP,2024Q1,0.0,0.0,0.0,1902.0,,,MISSING,1902.0,,0.0,35.0,,,5.957364957045987,5.957364957045987,OK,OK
COP,2024Q2,0.0,0.0,0.0,,,,MISSING,,,,,,,,,MISSING,MISSING
COP,2024Q3,0.0,0.0,0.0,1917.0,,,MISSING,1917.0,,0.7855499940308832,49.49747468305833,,,,,OK,OK
COP,2024Q4,1.0,1.0,1.0,2183.0,,,MISSING,2183.0,,12.993861350429947,35.0,,,13.779411344460826,13.779411344460826,OK,OK
COP,2025Q1,0.0,1.0,1.0,2389.0,,,MISSING,2389.0,,9.017479077586572,35.0,,,22.79689042204739,22.79689042204739,OK,OK
COP,2025Q2,0.0,1.0,1.0,2391.0,,,MISSING,2391.0,,0.08368201325152816,35.0,,,,,OK,OK
COP,2025Q3,0.0,1.0,1.0,,,,MISSING,,,,,,,,,MISSING,MISSING
COP,2025Q4,0.0,1.0,1.0,2320.0,,,MISSING,2320.0,,-3.014450279796913,49.49747468305833,,,6.0867108110411685,6.0867108110411685,OK,OK
COP,2026Q1,0.0,0.0,0.0,2309.0,,,MISSING,2309.0,,-0.475265530586025,35.0,,,-3.4060337971314234,-3.4060337971314234,OK,OK
COP,2026Q2,0.0,0.0,0.0,2248.0,,,MISSING,2248.0,,-2.6773598340913645,35.0,,,-6.167075644474298,-6.167075644474298,OK,OK
COP,2026Q3,0.0,0.0,0.0,,,,MISSING,,,,,,,,,MISSING,MISSING
