,revenue,assets,ppe,goodwill,debt,shares,revenue_yoy,assets_yoy,ppe_yoy,debt_yoy,shares_yoy,assets_qoq,ppe_qoq,debt_qoq,shares_qoq,goodwill_jump
2014Q2,4187556000.0,33302434000.0,28195431000.0,,5903099000.0,543099.0,22.121433479665278,16.51526883212308,16.369404232774404,-0.0477262466828824,-620.6505005042393,3.548905322861863,4.338096810079352,0.0024902484328937027,-690.6242440297359,
2014Q3,5118616000.0,34500883000.0,29216833000.0,,5903232000.0,543984000.0,28.736354748791705,17.103220676975457,17.279612657595894,-0.05043422141577712,70.04386181568289,3.535443050436535,3.5585072239867963,0.0022530284811784675,690.9383489883267,
2015Q1,2318538000.0,34692454000.0,29721721000.0,,6393690000.0,544998000.0,-42.358418507019934,14.04278275172872,14.931737588257171,7.925914293364126,70.06172412649441,0.5537281414462412,1.713310952577336,7.981156897349291,0.18622902730377136,
2015Q2,2469701000.0,33884096000.0,29975178000.0,,6393885000.0,545504000.0,-50.28992481003813,5.280432558119709,10.459066373803426,7.988950009748436,0.5931352895719496,-2.357643956624947,0.8491513871599352,0.00304983548506724,0.092801303677431,
2015Q3,2172428000.0,27277247000.0,24275332000.0,,6393931000.0,545920000.0,-65.62718341298789,-19.9577575947752,-14.969925283470356,7.987179196127557,691.2936100087825,-21.68928483003304,-21.090894847194438,0.0007194348120046183,0.07623068947452659,
2016Q1,1354349000.0,26338423000.0,23801433000.0,,6979029000.0,546715000.0,-132.9563193932795,-26.995609430864135,-20.499922683156697,16.740979781344134,0.5007808217235111,-3.5024087856523938,-1.9714901756995367,8.756053613697741,0.14551980126777406,
2016Q2,1775740000.0,25830538000.0,23212879000.0,,6979286000.0,547335000.0,-26.67195771657496,-29.496476394231085,-24.717087135091443,8.763505276891516,0.42789214748791177,-1.9471388219207013,-2.5038534993574015,0.0036823928966987817,0.11334035306816928,
2016Q3,2118504000.0,25554921000.0,22644385000.0,,6979538000.0,547838000.0,-15.338691146975869,-28.211585891698647,-28.04577208515579,8.764066060754157,0.4269484837209733,-1.0727534540925228,-2.479533562904415,0.003610619347696179,0.09185763991049936,
2017Q1,2610565000.0,29211974000.0,25606460000.0,,6980008000.0,573935000.0,18.372123693682017,6.852578225171105,5.338397269628433,8.77008036929134,5.004370462600808,13.374879286836732,12.293274507589777,0.006733743349218286,4.6536526683543515,
2017Q2,2612472000.0,29263617000.0,25580160000.0,,6380350000.0,574439000.0,65.69760034525325,10.53161802059488,7.2071262068856905,-8.968684056332195,4.946626948911761,0.1766310097713674,-0.10276123844227633,-8.9827108119258,0.08777628757872076,
2017Q3,2644844000.0,28805305000.0,25724589000.0,,6380427000.0,574783000.0,39.83948469082883,10.900213618295801,10.27400509607657,-8.971159626164733,4.893153185636365,-1.57854322421977,0.5630253898334883,0.0012068230641620339,0.059866589792769806,
2018Q1,3681162000.0,30740517000.0,26375648000.0,,6071604000.0,575775000.0,55.25182839973461,18.47516556026615,15.252924188851349,-13.935990489665933,4.973733657634773,6.502198487877806,2.4993855298703638,-4.961220244153512,0.1724381119089276,
2018Q2,4238077000.0,32092380000.0,27153795000.0,,5172257000.0,576135000.0,48.4542955625636,9.40399250662735,5.867215221510641,-29.974091258843945,0.38258587450939335,4.303706233197933,2.9075655402490783,-16.03136702582879,0.06250488522898393,
2018Q3,4781624000.0,33637736000.0,27947741000.0,,5171949000.0,577254000.0,60.44833382255875,13.930352819760822,8.851932241896456,-20.997335471404142,0.48884652522110317,4.702991322904829,2.8819557819435206,-0.0059550244859993655,0.19403693829043622,
2019Q1,4058642000.0,35663535000.0,29129003000.0,,5166050000.0,577207000.0,42.82363505383139,21.356916663270848,12.428703958555596,-21.112664972178706,0.4208376075322953,5.848020619290266,4.139797106492642,-0.11412267771040295,-0.008142327896042197,
2019Q2,4697630000.0,35751501000.0,29724431000.0,,4165284000.0,577460000.0,24.382966300896147,15.101069782604009,11.952814004257984,-37.68383600062085,0.29222165457462357,0.2463516072109719,2.023495575572757,-21.532391272595657,0.04382215895124154,
2019Q3,4303455000.0,36542269000.0,30204322000.0,,4163115000.0,577839000.0,1.5308559818961758,12.985102657619535,10.64682111066824,-21.70455581763036,0.2953274923871948,2.187739108213448,1.6015726466593079,-0.05208684283829697,0.06561072304155838,
2020Q1,4717692000.0,37634084000.0,29694054000.0,,4703152000.0,578462000.0,-1.346054080031512,11.226159713659307,6.061045030862281,-9.50166778356175,0.2090479737104889,2.944048378944612,-1.703820297862432,12.19693300958261,0.10775741961373268,
2020Q2,1103374000.0,35221671000.0,29233465000.0,,5703141000.0,578719000.0,-130.24756768555213,-1.2467191624174994,0.3579770189106825,9.890870240331031,0.261608591264827,-6.6248582567865295,-1.5632709054589633,19.27841534618237,0.044418289658301004,
2020Q3,2245484000.0,35074018000.0,28633006000.0,,4949902000.0,579055000.0,-73.81370380589594,-1.9131625824984022,-3.740919189818349,17.2583317835749,0.27582884982046046,-0.42009181286992264,-2.0754006331562644,-14.164929729351794,0.058042417506867276,
2020Q4,2965450000.0,,,,,,-37.2389396856272,,,,,,,,,
2021Q1,3694000000.0,36171000000.0,28666000000.0,,5094000000.0,580000000.0,-24.46098151783693,-3.9652436340911783,-3.5235072244328425,7.983045432075262,0.2655246186094063,,,,,
2021Q2,,36885000000.0,28659000000.0,,5086000000.0,,,4.614341775993562,-1.9846584734781698,-11.45254086984084,,1.9547271532982178,-0.02442215450428685,-0.15717095573374196,,
2021Q3,4765000000.0,37172000000.0,28545000000.0,,5079000000.0,581000000.0,75.237644894773,5.809516124746217,-0.30783189429775026,2.574661341428959,0.33532924258884955,0.7750825358827228,-0.39857405397584833,-0.13772751808198855,,
2021Q4,6044000000.0,,,,,,71.20372528191325,,,,,,,,,
2022Q1,,38097000000.0,28462000000.0,,3816000000.0,,,5.187784607172268,-0.7141887239555762,-28.886062297122518,,,,,,
2022Q2,,38139000000.0,28847000000.0,,3809000000.0,,,3.3432416299829515,0.653847145601255,-28.912497950346083,,0.11018417610891536,1.3436137150525314,-0.18360660895731493,,
2022Q3,,40487000000.0,29101000000.0,,3802000000.0,,,8.542514523551564,1.9290748431954958,-28.95871477528705,,5.974355429451339,0.8766536436184007,-0.18394434302296242,,
2022Q4,6719000000.0,,,,,,10.587328952751971,,,,,,,,,
2023Q1,,41025000000.0,30223000000.0,,3787000000.0,,,7.404609810114855,6.003335966128041,-0.762860466638227,,,,,,
2023Q2,,41487000000.0,30910000000.0,,3780000000.0,,,8.414274451453585,6.907375473203126,-0.7642677864970715,,1.1198488174476304,2.2476532221276417,-0.18501392881614773,,
2023Q3,,43647000000.0,31723000000.0,,3772000000.0,,,7.515361647075279,8.62694319998888,-0.7921879295026367,,5.075442625073023,2.5962213704041415,-0.21186448602852145,,
2023Q4,6357000000.0,,,,,,-5.538276598374115,,,,,,,,,
2024Q1,,44796000000.0,33077000000.0,,3757000000.0,,,8.793721274429256,9.023495288201392,-0.7953382327825935,,,,,,
2024Q2,,45224000000.0,33644000000.0,,3250000000.0,,,8.624779422235857,8.475497795616596,-15.106901328985023,,0.9509069652542569,1.6996557295428345,-14.496577025018567,,
2024Q3,5965000000.0,46151000000.0,34126000000.0,,3742000000.0,564000000.0,,5.5784077785114565,7.301758725700681,-0.7985136919313187,,2.029070981348628,1.4224823004882396,14.096523151025181,,
2024Q4,5585000000.0,,,,,,-12.947213543310765,,,,,,,,,
2025Q1,5669000000.0,46982000000.0,34632000000.0,,3464000000.0,550000000.0,,4.7645699911126425,4.593993333491678,-8.119677589164311,,,,,,
2025Q2,5478000000.0,46284000000.0,35361000000.0,,3458000000.0,543000000.0,,2.3168409641101277,4.9774783812351195,6.203539091945269,,-1.4968220617482386,2.083140777286276,-0.17336034390899677,-1.2808958292581134,
2025Q3,5847000000.0,52199000000.0,42585000000.0,,7667000000.0,541000000.0,-1.9980346356346042,12.31447084304952,22.144252148797097,71.73051767248596,-4.163497265157734,12.026700860288011,18.589256068050208,79.62350173156585,-0.36900410874539075,
2025Q4,5638000000.0,,,,,,0.9444960170756859,,,,,,,,,
2026Q1,6921000000.0,53378000000.0,42674000000.0,,7904000000.0,532000000.0,19.954753251755974,12.763412642670517,20.88117253430124,82.4944969745378,-3.327478888487221,,,,,
2026Q2,8620000000.0,54783000000.0,43240000000.0,,7899000000.0,526000000.0,45.33450138347154,16.858359783391574,20.115647485846537,82.60457819211832,-3.180810719622561,2.598125078972826,1.3176157288315535,-0.0632791263284659,-1.1342276603934494,
