filing_date,result_quarter,table_index,row_number,mode,section,row_text,numeric_values,selected_value,source
2022-02-24,2021Q4,2,41,ACTUAL,total,Total | Total | Total | 863.1 | 863.1 | | | | | 801.5 | 801.5 | | | | | 8 | 8 | % | | | | 844.4 | 844.4 | | | | | 828.9 | 828.9 | | | | | 753.8 | 753.8 | | | | | 10 | 10 | %,"[863.1, 863.1, 801.5, 801.5, 8.0, 8.0, 844.4, 844.4, 828.9, 828.9, 753.8, 753.8, 10.0, 10.0]",863.1,2022-02-24:EX-99.1:exh99-1022422.htm
2022-02-24,2021Q4,2,48,ACTUAL,total,"(D) Thousand barrels of oil equivalent per day or million barrels of oil equivalent, as applicable; includes crude oil and condensate, NGLs and natural gas. Crude oil equivalent volumes are determined using a ratio of 1.0 barrel of crude oil and condensate or NGLs to 6.0 thousand cubic feet of natural gas. MMBoe is calculated by multiplying the MBoed amount by the number of days in the period and then dividing that amount by one thousand. | (D) Thousand barrels of oil equivalent per day or million barrels of oil equivalent, as applicable; includes crude oil and condensate, NGLs and natural gas. Crude oil equivalent volumes are determined using a ratio of 1.0 barrel of crude oil and condensate or NGLs to 6.0 thousand cubic feet of natural gas. MMBoe is calculated by multiplying the MBoed amount by the number of days in the period and then dividing that amount by one thousand. | (D) Thousand barrels of oil equivalent per day or million barrels of oil equivalent, as applicable; includes crude oil and condensate, NGLs and natural gas. Crude oil equivalent volumes are determined using a ratio of 1.0 barrel of crude oil and condensate or NGLs to 6.0 thousand cubic feet of natural gas. MM","[1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0]",,2022-02-24:EX-99.1:exh99-1022422.htm
2021-11-04,2021Q3,2,19,ACTUAL,ngl,Total | Total | Total | 157.9 | 157.9 | | | | | 140.1 | 140.1 | | | | | 13 | 13 | % | | | | 138.5 | 138.5 | | | | | 140.4 | 140.4 | | | | | 134.2 | 134.2 | | | | | 5 | 5 | %,"[157.9, 157.9, 140.1, 140.1, 13.0, 13.0, 138.5, 138.5, 140.4, 140.4, 134.2, 134.2, 5.0, 5.0]",157.9,2021-11-04:EX-99.1:exh99-1110421.htm
2021-11-04,2021Q3,2,29,ACTUAL,gas,Total | Total | Total | 1422 | 1422 | | | | | 1190 | 1190 | | | | | 19 | 19 | % | | | | 1445 | 1445 | | | | | 1403 | 1403 | | | | | 1238 | 1238 | | | | | 13 | 13 | %,"[1422.0, 1422.0, 1190.0, 1190.0, 19.0, 19.0, 1445.0, 1445.0, 1403.0, 1403.0, 1238.0, 1238.0, 13.0, 13.0]",1422.0,2021-11-04:EX-99.1:exh99-1110421.htm
2021-11-04,2021Q3,2,41,ACTUAL,total,Total | Total | Total | 844.4 | 844.4 | | | | | 716.0 | 716.0 | | | | | 18 | 18 | % | | | | 828.0 | 828.0 | | | | | 817.3 | 817.3 | | | | | 737.8 | 737.8 | | | | | 11 | 11 | %,"[844.4, 844.4, 716.0, 716.0, 18.0, 18.0, 828.0, 828.0, 817.3, 817.3, 737.8, 737.8, 11.0, 11.0]",844.4,2021-11-04:EX-99.1:exh99-1110421.htm
2021-11-04,2021Q3,2,48,ACTUAL,total,"(D) Thousand barrels of oil equivalent per day or million barrels of oil equivalent, as applicable; includes crude oil and condensate, NGLs and natural gas. Crude oil equivalent volumes are determined using a ratio of 1.0 barrel of crude oil and condensate or NGLs to 6.0 thousand cubic feet of natural gas. MMBoe is calculated by multiplying the MBoed amount by the number of days in the period and then dividing that amount by one thousand. | (D) Thousand barrels of oil equivalent per day or million barrels of oil equivalent, as applicable; includes crude oil and condensate, NGLs and natural gas. Crude oil equivalent volumes are determined using a ratio of 1.0 barrel of crude oil and condensate or NGLs to 6.0 thousand cubic feet of natural gas. MMBoe is calculated by multiplying the MBoed amount by the number of days in the period and then dividing that amount by one thousand. | (D) Thousand barrels of oil equivalent per day or million barrels of oil equivalent, as applicable; includes crude oil and condensate, NGLs and natural gas. Crude oil equivalent volumes are determined using a ratio of 1.0 barrel of crude oil and condensate or NGLs to 6.0 thousand cubic feet of natural gas. MM","[1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0]",,2021-11-04:EX-99.1:exh99-1110421.htm
2021-08-04,2021Q2,2,19,ACTUAL,ngl,Total | Total | Total | 138.5 | 138.5 | | | | | 101.2 | 101.2 | | | | | 37 | 37 | % | | | | 124.3 | 124.3 | | | | | 131.5 | 131.5 | | | | | 131.2 | 131.2 | | | | | 0 | 0 | %,"[138.5, 138.5, 101.2, 101.2, 37.0, 37.0, 124.3, 124.3, 131.5, 131.5, 131.2, 131.2, 0.0, 0.0]",138.5,2021-08-04:EX-99.1:exh99-1080421.htm
2021-08-04,2021Q2,2,29,ACTUAL,gas,Total | Total | Total | 1445 | 1445 | | | | | 1147 | 1147 | | | | | 26 | 26 | % | | | | 1342 | 1342 | | | | | 1394 | 1394 | | | | | 1262 | 1262 | | | | | 10 | 10 | %,"[1445.0, 1445.0, 1147.0, 1147.0, 26.0, 26.0, 1342.0, 1342.0, 1394.0, 1394.0, 1262.0, 1262.0, 10.0, 10.0]",1445.0,2021-08-04:EX-99.1:exh99-1080421.htm
2021-08-04,2021Q2,2,41,ACTUAL,total,Total | Total | Total | 828.0 | 828.0 | | | | | 623.4 | 623.4 | | | | | 33 | 33 | % | | | | 778.9 | 778.9 | | | | | 803.6 | 803.6 | | | | | 748.8 | 748.8 | | | | | 7 | 7 | %,"[828.0, 828.0, 623.4, 623.4, 33.0, 33.0, 778.9, 778.9, 803.6, 803.6, 748.8, 748.8, 7.0, 7.0]",828.0,2021-08-04:EX-99.1:exh99-1080421.htm
2021-08-04,2021Q2,2,48,ACTUAL,total,"(D) Thousand barrels of oil equivalent per day or million barrels of oil equivalent, as applicable; includes crude oil and condensate, NGLs and natural gas. Crude oil equivalent volumes are determined using a ratio of 1.0 barrel of crude oil and condensate or NGLs to 6.0 thousand cubic feet of natural gas. MMBoe is calculated by multiplying the MBoed amount by the number of days in the period and then dividing that amount by one thousand. | (D) Thousand barrels of oil equivalent per day or million barrels of oil equivalent, as applicable; includes crude oil and condensate, NGLs and natural gas. Crude oil equivalent volumes are determined using a ratio of 1.0 barrel of crude oil and condensate or NGLs to 6.0 thousand cubic feet of natural gas. MMBoe is calculated by multiplying the MBoed amount by the number of days in the period and then dividing that amount by one thousand. | (D) Thousand barrels of oil equivalent per day or million barrels of oil equivalent, as applicable; includes crude oil and condensate, NGLs and natural gas. Crude oil equivalent volumes are determined using a ratio of 1.0 barrel of crude oil and condensate or NGLs to 6.0 thousand cubic feet of natural gas. MM","[1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0]",,2021-08-04:EX-99.1:exh99-1080421.htm
2021-05-06,2021Q1,2,17,ACTUAL,ngl,Natural Gas Liquids Volumes (MBbld) (1) | Natural Gas Liquids Volumes (MBbld) (1) | Natural Gas Liquids Volumes (MBbld) (1) | | | | | | | | | | | | | | | | | | | | |,"[-1.0, -1.0]",,2021-05-06:EX-99.1:exh99-1050621.htm
2021-05-06,2021Q1,2,19,ACTUAL,ngl,Total | Total | Total | 124.3 | 124.3 | | | | | 161.3 | 161.3 | | | | | -23 | -23 | % | | | | 141.4 | 141.4 |,"[124.3, 124.3, 161.3, 161.3, -23.0, -23.0, 141.4, 141.4]",124.3,2021-05-06:EX-99.1:exh99-1050621.htm
2021-05-06,2021Q1,2,25,ACTUAL,gas,Natural Gas Volumes (MMcfd) (1) | Natural Gas Volumes (MMcfd) (1) | Natural Gas Volumes (MMcfd) (1) | | | | | | | | | | | | | | | | | | | | |,"[-1.0, -1.0]",,2021-05-06:EX-99.1:exh99-1050621.htm
2021-05-06,2021Q1,2,29,ACTUAL,gas,Total | Total | Total | 1342 | 1342 | | | | | 1378 | 1378 | | | | | -3 | -3 | % | | | | 1292 | 1292 |,"[1342.0, 1342.0, 1378.0, 1378.0, -3.0, -3.0, 1292.0, 1292.0]",1342.0,2021-05-06:EX-99.1:exh99-1050621.htm
2021-05-06,2021Q1,2,37,ACTUAL,total,Crude Oil Equivalent Volumes (MBoed) (4) | Crude Oil Equivalent Volumes (MBoed) (4) | Crude Oil Equivalent Volumes (MBoed) (4) | | | | | | | | | | | | | | | | | | | | |,"[-4.0, -4.0]",,2021-05-06:EX-99.1:exh99-1050621.htm
2021-05-06,2021Q1,2,41,ACTUAL,total,Total | Total | Total | 778.9 | 778.9 | | | | | 874.1 | 874.1 | | | | | 11 | 11 | % | | | | 801.5 | 801.5 |,"[778.9, 778.9, 874.1, 874.1, 11.0, 11.0, 801.5, 801.5]",778.9,2021-05-06:EX-99.1:exh99-1050621.htm
2021-05-06,2021Q1,2,48,ACTUAL,total,"(4) Thousand barrels of oil equivalent per day or million barrels of oil equivalent, as applicable; includes crude oil and condensate, NGLs and natural gas. Crude oil equivalent volumes are determined using a ratio of 1.0 barrel of crude oil and condensate or NGLs to 6.0 thousand cubic feet of natural gas. MMBoe is calculated by multiplying the MBoed amount by the number of days in the period and then dividing that amount by one thousand. | (4) Thousand barrels of oil equivalent per day or million barrels of oil equivalent, as applicable; includes crude oil and condensate, NGLs and natural gas. Crude oil equivalent volumes are determined using a ratio of 1.0 barrel of crude oil and condensate or NGLs to 6.0 thousand cubic feet of natural gas. MMBoe is calculated by multiplying the MBoed amount by the number of days in the period and then dividing that amount by one thousand. | (4) Thousand barrels of oil equivalent per day or million barrels of oil equivalent, as applicable; includes crude oil and condensate, NGLs and natural gas. Crude oil equivalent volumes are determined using a ratio of 1.0 barrel of crude oil and condensate or NGLs to 6.0 thousand cubic feet of natural gas. MM","[-4.0, 1.0, 6.0, -4.0, 1.0, 6.0, -4.0, 1.0, 6.0, -4.0, 1.0, 6.0, -4.0, 1.0, 6.0, -4.0, 1.0, 6.0, -4.0, 1.0, 6.0, -4.0, 1.0, 6.0, -4.0, 1.0, 6.0, -4.0, 1.0, 6.0, -4.0, 1.0, 6.0, -4.0, 1.0, 6.0, -4.0, 1.0, 6.0, -4.0, 1.0, 6.0, -4.0, 1.0, 6.0, -4.0, 1.0, 6.0, -4.0, 1.0, 6.0, -4.0, 1.0, 6.0, -4.0, 1.0, 6.0, -4.0, 1.0, 6.0, -4.0, 1.0, 6.0, -4.0, 1.0, 6.0, -4.0, 1.0, 6.0]",,2021-05-06:EX-99.1:exh99-1050621.htm
2021-02-25,2020Q4,2,20,ACTUAL,ngl,Total | Total | Total | 141.4 | 141.4 | | | | | 144.0 | 144.0 | | | | | -2 | -2 | % | | | | 140.1 | 140.1 | | | | | 136.0 | 136.0 | | | | | 134.1 | 134.1 | | | | | 1 | 1 | %,"[141.4, 141.4, 144.0, 144.0, -2.0, -2.0, 140.1, 140.1, 136.0, 136.0, 134.1, 134.1, 1.0, 1.0]",141.4,2021-02-25:EX-99.1:exh99-1022521.htm
2021-02-25,2020Q4,2,31,ACTUAL,gas,Total | Total | Total | 1292 | 1292 | | | | | 1425 | 1425 | | | | | -9 | -9 | % | | | | 1190 | 1190 | | | | | 1252 | 1252 | | | | | 1366 | 1366 | | | | | -8 | -8 | %,"[1292.0, 1292.0, 1425.0, 1425.0, -9.0, -9.0, 1190.0, 1190.0, 1252.0, 1252.0, 1366.0, 1366.0, -8.0, -8.0]",1292.0,2021-02-25:EX-99.1:exh99-1022521.htm
2021-02-25,2020Q4,2,43,ACTUAL,total,Total | Total | Total | 801.5 | 801.5 | | | | | 850.3 | 850.3 | | | | | -6 | -6 | % | | | | 716.0 | 716.0 | | | | | 753.8 | 753.8 | | | | | 818.0 | 818.0 | | | | | -8 | -8 | %,"[801.5, 801.5, 850.3, 850.3, -6.0, -6.0, 716.0, 716.0, 753.8, 753.8, 818.0, 818.0, -8.0, -8.0]",801.5,2021-02-25:EX-99.1:exh99-1022521.htm
2021-02-25,2020Q4,2,50,ACTUAL,total,"(D) Thousand barrels of oil equivalent per day or million barrels of oil equivalent, as applicable; includes crude oil and condensate, NGLs and natural gas. Crude oil equivalent volumes are determined using a ratio of 1.0 barrel of crude oil and condensate or NGLs to 6.0 thousand cubic feet of natural gas. MMBoe is calculated by multiplying the MBoed amount by the number of days in the period and then dividing that amount by one thousand. | (D) Thousand barrels of oil equivalent per day or million barrels of oil equivalent, as applicable; includes crude oil and condensate, NGLs and natural gas. Crude oil equivalent volumes are determined using a ratio of 1.0 barrel of crude oil and condensate or NGLs to 6.0 thousand cubic feet of natural gas. MMBoe is calculated by multiplying the MBoed amount by the number of days in the period and then dividing that amount by one thousand. | (D) Thousand barrels of oil equivalent per day or million barrels of oil equivalent, as applicable; includes crude oil and condensate, NGLs and natural gas. Crude oil equivalent volumes are determined using a ratio of 1.0 barrel of crude oil and condensate or NGLs to 6.0 thousand cubic feet of natural gas. MM","[1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0]",,2021-02-25:EX-99.1:exh99-1022521.htm
2021-02-25,2020Q4,55,24,ACTUAL,ngl,Total | Total | Total | Total | Total | Total | Total | Total | Total | Total | Total | Total | Total | Total | Total | | | | 125.0 | 125.0 | | - | - | - | | | | 135.0 | 135.0 | | | | | | | | 130.0 | 130.0 | | - | - | - | | | | 170.0 | 170.0 |,"[125.0, 125.0, 135.0, 135.0, 130.0, 130.0, 170.0, 170.0]",125.0,2021-02-25:EX-99.1:exh99-1022521.htm
2021-02-25,2020Q4,55,29,ACTUAL,gas,Total | Total | Total | Total | Total | Total | Total | Total | Total | Total | Total | Total | Total | Total | Total | | | | 1310 | 1310 | | - | - | - | | | | 1410 | 1410 | | | | | | | | 1295 | 1295 | | - | - | - | | | | 1445 | 1445 |,"[1310.0, 1310.0, 1410.0, 1410.0, 1295.0, 1295.0, 1445.0, 1445.0]",1310.0,2021-02-25:EX-99.1:exh99-1022521.htm
2021-02-25,2020Q4,55,34,ACTUAL,total,Total | Total | Total | Total | Total | Total | Total | Total | Total | Total | Total | Total | Total | Total | Total | | | | 762.9 | 762.9 | | - | - | - | | | | 800.6 | 800.6 | | | | | | | | 779.8 | 779.8 | | - | - | - | | | | 856.9 | 856.9 |,"[762.9, 762.9, 800.6, 800.6, 779.8, 779.8, 856.9, 856.9]",762.9,2021-02-25:EX-99.1:exh99-1022521.htm
2020-11-05,2020Q3,2,20,ACTUAL,ngl,Total | Total | Total | 140.1 | 140.1 | | | | | 141.3 | 141.3 | | | | | -1 | -1 | % | | | | 134.2 | 134.2 | | | | | 130.8 | 130.8 | | | | | 3 | 3 | %,"[140.1, 140.1, 141.3, 141.3, -1.0, -1.0, 134.2, 134.2, 130.8, 130.8, 3.0, 3.0]",140.1,2020-11-05:EX-99.1:exh99-1110520.htm
2020-11-05,2020Q3,2,31,ACTUAL,gas,Total | Total | Total | 1190 | 1190 | | | | | 1373 | 1373 | | | | | -13 | -13 | % | | | | 1238 | 1238 | | | | | 1346 | 1346 | | | | | -8 | -8 | %,"[1190.0, 1190.0, 1373.0, 1373.0, -13.0, -13.0, 1238.0, 1238.0, 1346.0, 1346.0, -8.0, -8.0]",1190.0,2020-11-05:EX-99.1:exh99-1110520.htm
2020-11-05,2020Q3,2,43,ACTUAL,total,Total | Total | Total | 716.0 | 716.0 | | | | | 834.2 | 834.2 | | | | | -14 | -14 | % | | | | 737.8 | 737.8 | | | | | 807.1 | 807.1 | | | | | -9 | -9 | %,"[716.0, 716.0, 834.2, 834.2, -14.0, -14.0, 737.8, 737.8, 807.1, 807.1, -9.0, -9.0]",716.0,2020-11-05:EX-99.1:exh99-1110520.htm
2020-11-05,2020Q3,2,50,ACTUAL,total,"(D) Thousand barrels of oil equivalent per day or million barrels of oil equivalent, as applicable; includes crude oil and condensate, NGLs and natural gas. Crude oil equivalent volumes are determined using a ratio of 1.0 barrel of crude oil and condensate or NGLs to 6.0 thousand cubic feet of natural gas. MMBoe is calculated by multiplying the MBoed amount by the number of days in the period and then dividing that amount by one thousand. | (D) Thousand barrels of oil equivalent per day or million barrels of oil equivalent, as applicable; includes crude oil and condensate, NGLs and natural gas. Crude oil equivalent volumes are determined using a ratio of 1.0 barrel of crude oil and condensate or NGLs to 6.0 thousand cubic feet of natural gas. MMBoe is calculated by multiplying the MBoed amount by the number of days in the period and then dividing that amount by one thousand. | (D) Thousand barrels of oil equivalent per day or million barrels of oil equivalent, as applicable; includes crude oil and condensate, NGLs and natural gas. Crude oil equivalent volumes are determined using a ratio of 1.0 barrel of crude oil and condensate or NGLs to 6.0 thousand cubic feet of natural gas. MM","[1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0]",,2020-11-05:EX-99.1:exh99-1110520.htm
2020-11-05,2020Q3,47,24,ACTUAL,ngl,Total | Total | Total | Total | Total | Total | Total | Total | Total | Total | Total | Total | Total | Total | Total | | | | 140.0 | 140.0 | | - | - | - | | | | 150.0 | 150.0 | | | | | | | | 137.2 | 137.2 | | - | - | - | | | | 139.7 | 139.7 |,"[140.0, 140.0, 150.0, 150.0, 137.2, 137.2, 139.7, 139.7]",140.0,2020-11-05:EX-99.1:exh99-1110520.htm
2020-11-05,2020Q3,47,29,ACTUAL,gas,Total | Total | Total | Total | Total | Total | Total | Total | Total | Total | Total | Total | Total | Total | Total | | | | 1230 | 1230 | | - | - | - | | | | 1320 | 1320 | | | | | | | | 1236 | 1236 | | - | - | - | | | | 1259 | 1259 |,"[1230.0, 1230.0, 1320.0, 1320.0, 1236.0, 1236.0, 1259.0, 1259.0]",1230.0,2020-11-05:EX-99.1:exh99-1110520.htm
