quarter,component,value,sheet,row,label,type
2023Q4,ngl,235.8,1,17,Total,TOTAL_ROW
2023Q4,oil,485.2,1,11,Total,TOTAL_ROW
2023Q4,ngl,235.8,1,17,Total,TOTAL_ROW
2023Q4,oil,485.2,1,11,Total,TOTAL_ROW
2023Q4,ngl,235.8,1,17,Total,TOTAL_ROW
2023Q4,oil,485.2,1,11,Total,TOTAL_ROW
2023Q4,ngl,235.8,1,17,Total,TOTAL_ROW
2023Q4,oil,485.2,1,11,Total,TOTAL_ROW
2023Q4,ngl,235.8,1,17,Total,TOTAL_ROW
2023Q4,oil,485.2,1,11,Total,TOTAL_ROW
2023Q4,ngl,235.8,1,17,Total,TOTAL_ROW
2023Q4,oil,485.2,1,11,Total,TOTAL_ROW
2023Q4,ngl,235.8,1,17,Total,TOTAL_ROW
2023Q4,oil,485.2,1,11,Total,TOTAL_ROW
2023Q4,ngl,235.8,1,17,Total,TOTAL_ROW
2024Q1,oil,487.4,1,11,Total,TOTAL_ROW
2024Q1,ngl,231.7,1,17,Total,TOTAL_ROW
2024Q1,oil,487.4,1,11,Total,TOTAL_ROW
2024Q1,ngl,231.7,1,17,Total,TOTAL_ROW
2024Q1,oil,487.4,1,11,Total,TOTAL_ROW
2024Q1,ngl,231.7,1,17,Total,TOTAL_ROW
2024Q1,oil,487.4,1,11,Total,TOTAL_ROW
2024Q1,ngl,231.7,1,17,Total,TOTAL_ROW
2024Q1,oil,487.4,1,11,Total,TOTAL_ROW
2024Q1,ngl,231.7,1,17,Total,TOTAL_ROW
2024Q1,oil,487.4,1,11,Total,TOTAL_ROW
2024Q1,ngl,231.7,1,17,Total,TOTAL_ROW
2024Q1,oil,487.4,1,11,Total,TOTAL_ROW
2024Q1,ngl,231.7,1,17,Total,TOTAL_ROW
2024Q1,oil,487.4,1,11,Total,TOTAL_ROW
2024Q1,ngl,231.7,1,17,Total,TOTAL_ROW
2024Q2,oil,490.7,1,11,Total,TOTAL_ROW
2024Q2,ngl,244.8,1,17,Total,TOTAL_ROW
2024Q2,oil,490.7,1,11,Total,TOTAL_ROW
2024Q2,ngl,244.8,1,17,Total,TOTAL_ROW
2024Q2,oil,490.7,1,11,Total,TOTAL_ROW
2024Q2,ngl,244.8,1,17,Total,TOTAL_ROW
2024Q2,oil,490.7,1,11,Total,TOTAL_ROW
2024Q2,ngl,244.8,1,17,Total,TOTAL_ROW
2024Q2,oil,490.7,1,11,Total,TOTAL_ROW
2024Q2,ngl,244.8,1,17,Total,TOTAL_ROW
2024Q2,oil,490.7,1,11,Total,TOTAL_ROW
2024Q2,ngl,244.8,1,17,Total,TOTAL_ROW
2024Q2,oil,490.7,1,11,Total,TOTAL_ROW
2024Q2,ngl,244.8,1,17,Total,TOTAL_ROW
2024Q2,oil,490.7,1,11,Total,TOTAL_ROW
2024Q2,ngl,244.8,1,17,Total,TOTAL_ROW
2024Q3,oil,493.0,1,11,Total,TOTAL_ROW
2024Q3,ngl,254.3,1,17,Total,TOTAL_ROW
2024Q3,oil,493.0,1,11,Total,TOTAL_ROW
2024Q3,ngl,254.3,1,17,Total,TOTAL_ROW
2024Q3,oil,493.0,1,11,Total,TOTAL_ROW
2024Q3,ngl,254.3,1,17,Total,TOTAL_ROW
2024Q3,oil,493.0,1,11,Total,TOTAL_ROW
2024Q3,ngl,254.3,1,17,Total,TOTAL_ROW
2024Q3,oil,493.0,1,11,Total,TOTAL_ROW
2024Q3,ngl,254.3,1,17,Total,TOTAL_ROW
2024Q3,oil,493.0,1,11,Total,TOTAL_ROW
2024Q3,ngl,254.3,1,17,Total,TOTAL_ROW
2024Q3,oil,493.0,1,11,Total,TOTAL_ROW
2024Q3,ngl,254.3,1,17,Total,TOTAL_ROW
2024Q3,oil,493.0,1,11,Total,TOTAL_ROW
2024Q3,ngl,254.3,1,17,Total,TOTAL_ROW
2024Q4,oil,494.6,1,11,Total,TOTAL_ROW
2024Q4,ngl,252.5,1,17,Total,TOTAL_ROW
2024Q4,oil,494.6,1,11,Total,TOTAL_ROW
2024Q4,ngl,252.5,1,17,Total,TOTAL_ROW
2024Q4,oil,494.6,1,11,Total,TOTAL_ROW
2024Q4,ngl,252.5,1,17,Total,TOTAL_ROW
2024Q4,oil,494.6,1,11,Total,TOTAL_ROW
2024Q4,ngl,252.5,1,17,Total,TOTAL_ROW
2024Q4,oil,494.6,1,11,Total,TOTAL_ROW
2024Q4,ngl,252.5,1,17,Total,TOTAL_ROW
2024Q4,oil,494.6,1,11,Total,TOTAL_ROW
2024Q4,ngl,252.5,1,17,Total,TOTAL_ROW
2024Q4,oil,494.6,1,11,Total,TOTAL_ROW
2024Q4,ngl,252.5,1,17,Total,TOTAL_ROW
2024Q4,oil,494.6,1,11,Total,TOTAL_ROW
2024Q4,ngl,252.5,1,17,Total,TOTAL_ROW
2025Q1,oil,502.1,1,11,Total,TOTAL_ROW
2025Q1,ngl,241.7,1,17,Total,TOTAL_ROW
2025Q1,oil,502.1,1,11,Total,TOTAL_ROW
2025Q1,ngl,241.7,1,17,Total,TOTAL_ROW
2025Q1,oil,502.1,1,11,Total,TOTAL_ROW
2025Q1,ngl,241.7,1,17,Total,TOTAL_ROW
2025Q1,oil,502.1,1,11,Total,TOTAL_ROW
2025Q1,ngl,241.7,1,17,Total,TOTAL_ROW
2025Q1,oil,502.1,1,11,Total,TOTAL_ROW
2025Q1,ngl,241.7,1,17,Total,TOTAL_ROW
2025Q1,oil,502.1,1,11,Total,TOTAL_ROW
2025Q1,ngl,241.7,1,17,Total,TOTAL_ROW
2025Q1,oil,502.1,1,11,Total,TOTAL_ROW
2025Q1,ngl,241.7,1,17,Total,TOTAL_ROW
2025Q1,oil,502.1,1,11,Total,TOTAL_ROW
2025Q1,ngl,241.7,1,17,Total,TOTAL_ROW
2025Q2,oil,504.2,1,11,Total,TOTAL_ROW
2025Q2,ngl,258.4,1,17,Total,TOTAL_ROW
2025Q2,oil,504.2,1,11,Total,TOTAL_ROW
2025Q2,ngl,258.4,1,17,Total,TOTAL_ROW
2025Q2,oil,504.2,1,11,Total,TOTAL_ROW
2025Q2,ngl,258.4,1,17,Total,TOTAL_ROW
2025Q2,oil,504.2,1,11,Total,TOTAL_ROW
2025Q2,ngl,258.4,1,17,Total,TOTAL_ROW
2025Q2,oil,504.2,1,11,Total,TOTAL_ROW
2025Q2,ngl,258.4,1,17,Total,TOTAL_ROW
2025Q2,oil,504.2,1,11,Total,TOTAL_ROW
2025Q2,ngl,258.4,1,17,Total,TOTAL_ROW
2025Q2,oil,504.2,1,11,Total,TOTAL_ROW
2025Q2,ngl,258.4,1,17,Total,TOTAL_ROW
2025Q2,oil,504.2,1,11,Total,TOTAL_ROW
2025Q2,ngl,258.4,1,17,Total,TOTAL_ROW
2025Q3,oil,534.5,1,11,Total,TOTAL_ROW
2025Q3,ngl,309.3,1,17,Total,TOTAL_ROW
2025Q3,oil,534.5,1,11,Total,TOTAL_ROW
2025Q3,ngl,309.3,1,17,Total,TOTAL_ROW
2025Q3,oil,534.5,1,11,Total,TOTAL_ROW
2025Q3,ngl,309.3,1,17,Total,TOTAL_ROW
2025Q3,oil,534.5,1,11,Total,TOTAL_ROW
2025Q3,ngl,309.3,1,17,Total,TOTAL_ROW
2025Q3,oil,534.5,1,11,Total,TOTAL_ROW
2025Q3,ngl,309.3,1,17,Total,TOTAL_ROW
2025Q3,oil,534.5,1,11,Total,TOTAL_ROW
2025Q3,ngl,309.3,1,17,Total,TOTAL_ROW
2025Q3,oil,534.5,1,11,Total,TOTAL_ROW
2025Q3,ngl,309.3,1,17,Total,TOTAL_ROW
2025Q3,oil,534.5,1,11,Total,TOTAL_ROW
2025Q3,ngl,309.3,1,17,Total,TOTAL_ROW
2025Q4,oil,546.1,1,10,Total,TOTAL_ROW
2025Q4,ngl,342.1,1,14,Total,TOTAL_ROW
2025Q4,oil,546.1,1,10,Total,TOTAL_ROW
2025Q4,ngl,342.1,1,14,Total,TOTAL_ROW
2025Q4,oil,546.1,1,10,Total,TOTAL_ROW
2025Q4,ngl,342.1,1,14,Total,TOTAL_ROW
2025Q4,oil,546.1,1,10,Total,TOTAL_ROW
2025Q4,ngl,342.1,1,14,Total,TOTAL_ROW
2025Q4,oil,546.1,1,10,Total,TOTAL_ROW
2025Q4,ngl,342.1,1,14,Total,TOTAL_ROW
2025Q4,oil,546.1,1,10,Total,TOTAL_ROW
2025Q4,ngl,342.1,1,14,Total,TOTAL_ROW
2025Q4,oil,546.1,1,10,Total,TOTAL_ROW
2025Q4,ngl,342.1,1,14,Total,TOTAL_ROW
2025Q4,oil,546.1,1,10,Total,TOTAL_ROW
2025Q4,ngl,342.1,1,14,Total,TOTAL_ROW
2025Q4,oil,546.1,1,10,Total,TOTAL_ROW
2025Q4,ngl,342.1,1,14,Total,TOTAL_ROW
2026Q1,oil,548.5,1,10,Total,TOTAL_ROW
2026Q1,ngl,332.1,1,14,Total,TOTAL_ROW
2026Q1,oil,548.5,1,10,Total,TOTAL_ROW
2026Q1,ngl,332.1,1,14,Total,TOTAL_ROW
2026Q1,oil,548.5,1,10,Total,TOTAL_ROW
2026Q1,ngl,332.1,1,14,Total,TOTAL_ROW
2026Q1,oil,548.5,1,10,Total,TOTAL_ROW
2026Q1,ngl,332.1,1,14,Total,TOTAL_ROW
2026Q1,oil,548.5,1,10,Total,TOTAL_ROW
2026Q1,ngl,332.1,1,14,Total,TOTAL_ROW
2026Q1,oil,548.5,1,10,Total,TOTAL_ROW
2026Q1,ngl,332.1,1,14,Total,TOTAL_ROW
2026Q1,oil,548.5,1,10,Total,TOTAL_ROW
2026Q1,ngl,332.1,1,14,Total,TOTAL_ROW
2026Q1,oil,548.5,1,10,Total,TOTAL_ROW
2026Q1,ngl,332.1,1,14,Total,TOTAL_ROW
2026Q2,oil,548.8,1,10,Total,TOTAL_ROW
2026Q2,ngl,346.8,1,14,Total,TOTAL_ROW
2026Q2,oil,548.8,1,10,Total,TOTAL_ROW
2026Q2,ngl,346.8,1,14,Total,TOTAL_ROW
2026Q2,oil,548.8,1,10,Total,TOTAL_ROW
2026Q2,ngl,346.8,1,14,Total,TOTAL_ROW
2026Q2,oil,548.8,1,10,Total,TOTAL_ROW
2026Q2,ngl,346.8,1,14,Total,TOTAL_ROW
2026Q2,oil,548.8,1,10,Total,TOTAL_ROW
2026Q2,ngl,346.8,1,14,Total,TOTAL_ROW
2026Q2,oil,548.8,1,10,Total,TOTAL_ROW
2026Q2,ngl,346.8,1,14,Total,TOTAL_ROW
2026Q2,oil,548.8,1,10,Total,TOTAL_ROW
2026Q2,ngl,346.8,1,14,Total,TOTAL_ROW
2026Q2,oil,548.8,1,10,Total,TOTAL_ROW
2026Q2,ngl,346.8,1,14,Total,TOTAL_ROW
