form,period,filing_date,accession_number,metric,value_usd,available,selected_concept,selected_context_ref,source_url,source_sha256,evidence_layer,selection_rule,derived_value,coverage_denominator_policy,source_concept_present,applicable,available_when_applicable
10-Q,2020Q1,2020-05-07,0001501585-20-000019,contract_assets_usd,1211000000.0,True,us-gaap:ContractWithCustomerAssetNet,i7358f11747f64266af61968c7393c4fc_I20200331,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000019/hii-20200331.htm,5357376f593d4530980fd68f1bc38d743217dc7eb582daed4dc93c1b37144fe9,NOTE,CONSOLIDATED_NO_DIMENSION_REPORT_DATE_CONTEXT,False,ALL_PERIODIC_FILINGS,True,True,True
10-Q,2020Q1,2020-05-07,0001501585-20-000019,contract_liabilities_usd,387000000.0,True,us-gaap:ContractWithCustomerLiabilityCurrent,i7358f11747f64266af61968c7393c4fc_I20200331,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000019/hii-20200331.htm,5357376f593d4530980fd68f1bc38d743217dc7eb582daed4dc93c1b37144fe9,NOTE,CONSOLIDATED_NO_DIMENSION_REPORT_DATE_CONTEXT,False,ALL_PERIODIC_FILINGS,True,True,True
10-Q,2020Q1,2020-05-07,0001501585-20-000019,remaining_performance_obligation_usd,45200000000.0,True,us-gaap:RevenueRemainingPerformanceObligation,i7358f11747f64266af61968c7393c4fc_I20200331,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000019/hii-20200331.htm,5357376f593d4530980fd68f1bc38d743217dc7eb582daed4dc93c1b37144fe9,NOTE,CONSOLIDATED_NO_DIMENSION_REPORT_DATE_CONTEXT,False,ALL_PERIODIC_FILINGS,True,True,True
10-Q,2020Q1,2020-05-07,0001501585-20-000019,program_gains_losses_usd,,False,,,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000019/hii-20200331.htm,5357376f593d4530980fd68f1bc38d743217dc7eb582daed4dc93c1b37144fe9,NOTE,CONSOLIDATED_NO_DIMENSION_REPORT_DATE_CONTEXT,False,EVENT_CONDITIONAL_NOT_SCORED,False,False,False
10-Q,2020Q1,2020-05-07,0001501585-20-000019,cash_usd,28000000.0,True,us-gaap:CashAndCashEquivalentsAtCarryingValue,i7358f11747f64266af61968c7393c4fc_I20200331,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000019/hii-20200331.htm,5357376f593d4530980fd68f1bc38d743217dc7eb582daed4dc93c1b37144fe9,FINANCIAL_STATEMENT,CONSOLIDATED_NO_DIMENSION_REPORT_DATE_CONTEXT,False,ALL_PERIODIC_FILINGS,True,True,True
10-Q,2020Q1,2020-05-07,0001501585-20-000019,debt_current_usd,0.0,True,DERIVED:CURRENT_DEBT_ZERO_WHEN_NOT_REPORTED,i7358f11747f64266af61968c7393c4fc_I20200331,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000019/hii-20200331.htm,5357376f593d4530980fd68f1bc38d743217dc7eb582daed4dc93c1b37144fe9,FINANCIAL_STATEMENT,ZERO_WHEN_CURRENT_DEBT_NOT_REPORTED_AND_NONCURRENT_DEBT_IS_REPORTED,True,ALL_PERIODIC_FILINGS,False,True,True
10-Q,2020Q1,2020-05-07,0001501585-20-000019,debt_noncurrent_usd,1667000000.0,True,us-gaap:LongTermDebtNoncurrent,i7358f11747f64266af61968c7393c4fc_I20200331,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000019/hii-20200331.htm,5357376f593d4530980fd68f1bc38d743217dc7eb582daed4dc93c1b37144fe9,FINANCIAL_STATEMENT,CONSOLIDATED_NO_DIMENSION_REPORT_DATE_CONTEXT,False,ALL_PERIODIC_FILINGS,True,True,True
10-Q,2020Q1,2020-05-07,0001501585-20-000019,equity_usd,,False,,,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000019/hii-20200331.htm,5357376f593d4530980fd68f1bc38d743217dc7eb582daed4dc93c1b37144fe9,FINANCIAL_STATEMENT,CONSOLIDATED_NO_DIMENSION_REPORT_DATE_CONTEXT,False,ALL_PERIODIC_FILINGS,False,True,False
10-Q,2020Q1,2020-05-07,0001501585-20-000019,goodwill_usd,1648000000.0,True,us-gaap:Goodwill,i7358f11747f64266af61968c7393c4fc_I20200331,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000019/hii-20200331.htm,5357376f593d4530980fd68f1bc38d743217dc7eb582daed4dc93c1b37144fe9,FINANCIAL_STATEMENT,CONSOLIDATED_NO_DIMENSION_REPORT_DATE_CONTEXT,False,ALL_PERIODIC_FILINGS,True,True,True
10-Q,2020Q1,2020-05-07,0001501585-20-000019,intangibles_ex_goodwill_usd,,False,,,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000019/hii-20200331.htm,5357376f593d4530980fd68f1bc38d743217dc7eb582daed4dc93c1b37144fe9,FINANCIAL_STATEMENT,CONSOLIDATED_NO_DIMENSION_REPORT_DATE_CONTEXT,False,ALL_PERIODIC_FILINGS,False,True,False
10-Q,2020Q1,2020-05-07,0001501585-20-000019,pension_liability_usd,941000000.0,True,us-gaap:DefinedBenefitPensionPlanLiabilitiesNoncurrent,i7358f11747f64266af61968c7393c4fc_I20200331,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000019/hii-20200331.htm,5357376f593d4530980fd68f1bc38d743217dc7eb582daed4dc93c1b37144fe9,NOTE,CONSOLIDATED_NO_DIMENSION_REPORT_DATE_CONTEXT,False,ALL_PERIODIC_FILINGS,True,True,True
10-Q,2020Q1,2020-05-07,0001501585-20-000019,fas_cas_pension_adjustment_usd,,False,,,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000019/hii-20200331.htm,5357376f593d4530980fd68f1bc38d743217dc7eb582daed4dc93c1b37144fe9,NOTE,CONSOLIDATED_NO_DIMENSION_REPORT_DATE_CONTEXT,False,DISCLOSURE_REGIME_ONLY,False,False,False
10-Q,2020Q2,2020-08-06,0001501585-20-000035,revenue_usd,4290000000.0,True,us-gaap:Revenues,i1db3c7cec9a8482fa2f0d4d4b42f3efd_D20200101-20200630,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000035/hii-20200630.htm,26a8cd1c0cf3300e699c7c5aec8b35d587671db4883c895183b3014d2f1616a8,FINANCIAL_STATEMENT,CONSOLIDATED_NO_DIMENSION_REPORT_DATE_CONTEXT,False,ALL_PERIODIC_FILINGS,True,True,True
