source,dataset,series_id,observation_period,vintage_value,release_date,available_at,revision_number,source_hash,vintage_status,pit_eligible,report_period,source_path,value_changed_from_prior_vintage
BLS_PPI_ARCHIVED_DETAILED_REPORT_XLSX,PPI_AS_RELEASED_VINTAGE,WPU102,2022-05,362.072,2022-06-14,2022-06-14T12:30:00+00:00,0,74b58cd041d47bb6220fe60b3a11e6914d381560245bf0bdc4d523bb9180e7f8,INITIAL_RELEASE,True,2022-05,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v1_5\bls\ppi_detailed_reports\ppi-detailed-report-may-2022.xlsx,False
BLS_PPI_ARCHIVED_DETAILED_REPORT_XLSX,PPI_AS_RELEASED_VINTAGE,WPU102,2022-05,361.432,2022-07-14,2022-07-14T12:30:00+00:00,1,64ec087ba7a1d739c2a6c2d50c104f4aa61dc779bfdf0ad9f5cf64feeb98a117,SUBSEQUENT_PUBLICATION,True,2022-06,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v1_5\bls\ppi_detailed_reports\ppi-detailed-report-june-2022.xlsx,True
BLS_PPI_ARCHIVED_DETAILED_REPORT_XLSX,PPI_AS_RELEASED_VINTAGE,WPU102,2022-05,359.714,2022-08-11,2022-08-11T12:30:00+00:00,2,ae34da19289a63408a2fb3bff85b8cabd280953a7d9ed34b96640f91d09a2474,SUBSEQUENT_PUBLICATION,True,2022-07,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v1_5\bls\ppi_detailed_reports\ppi-detailed-report-july-2022.xlsx,True
BLS_PPI_ARCHIVED_DETAILED_REPORT_XLSX,PPI_AS_RELEASED_VINTAGE,WPU102,2022-05,359.657,2022-09-14,2022-09-14T12:30:00+00:00,3,c2c292e8acbcd398e4dc492fd658f1faf4f12cbb18a82397057efed5b8861d4f,SUBSEQUENT_PUBLICATION,True,2022-08,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v1_5\bls\ppi_detailed_reports\ppi-detailed-report-august-2022.xlsx,True
BLS_PPI_ARCHIVED_DETAILED_REPORT_XLSX,PPI_AS_RELEASED_VINTAGE,WPU102,2022-05,359.643,2022-10-12,2022-10-12T12:30:00+00:00,4,614d88726979e134f312823a9895b7949677c42e26428eea8f3b62d639ee71ea,SUBSEQUENT_PUBLICATION,True,2022-09,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v1_5\bls\ppi_detailed_reports\ppi-detailed-report-september-2022.xlsx,True
BLS_PPI_ARCHIVED_DETAILED_REPORT_XLSX,PPI_AS_RELEASED_VINTAGE,WPU102,2022-06,352.225,2022-07-14,2022-07-14T12:30:00+00:00,0,64ec087ba7a1d739c2a6c2d50c104f4aa61dc779bfdf0ad9f5cf64feeb98a117,INITIAL_RELEASE,True,2022-06,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v1_5\bls\ppi_detailed_reports\ppi-detailed-report-june-2022.xlsx,False
BLS_PPI_ARCHIVED_DETAILED_REPORT_XLSX,PPI_AS_RELEASED_VINTAGE,WPU102,2022-06,350.415,2022-08-11,2022-08-11T12:30:00+00:00,1,ae34da19289a63408a2fb3bff85b8cabd280953a7d9ed34b96640f91d09a2474,SUBSEQUENT_PUBLICATION,True,2022-07,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v1_5\bls\ppi_detailed_reports\ppi-detailed-report-july-2022.xlsx,True
BLS_PPI_ARCHIVED_DETAILED_REPORT_XLSX,PPI_AS_RELEASED_VINTAGE,WPU102,2022-06,349.833,2022-09-14,2022-09-14T12:30:00+00:00,2,c2c292e8acbcd398e4dc492fd658f1faf4f12cbb18a82397057efed5b8861d4f,SUBSEQUENT_PUBLICATION,True,2022-08,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v1_5\bls\ppi_detailed_reports\ppi-detailed-report-august-2022.xlsx,True
BLS_PPI_ARCHIVED_DETAILED_REPORT_XLSX,PPI_AS_RELEASED_VINTAGE,WPU102,2022-06,350.045,2022-10-12,2022-10-12T12:30:00+00:00,3,614d88726979e134f312823a9895b7949677c42e26428eea8f3b62d639ee71ea,SUBSEQUENT_PUBLICATION,True,2022-09,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v1_5\bls\ppi_detailed_reports\ppi-detailed-report-september-2022.xlsx,True
BLS_PPI_ARCHIVED_DETAILED_REPORT_XLSX,PPI_AS_RELEASED_VINTAGE,WPU102,2022-06,349.943,2022-11-15,2022-11-15T13:30:00+00:00,4,1d0847f74fc6cf1cee99b18e45b51749b5401eddcec41a0d56c17e0a3fcbbfd0,SUBSEQUENT_PUBLICATION,True,2022-10,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v1_5\bls\ppi_detailed_reports\ppi-detailed-report-october-2022.xlsx,True
