form,filing_date,report_date,accession_number,family,present,matched_concept_count,matched_concepts,source_url,source_sha256,coverage_denominator_policy,applicable,present_when_applicable
10-Q,2020-05-07,2020-03-31,0001501585-20-000019,note_program_accounting,True,2,us-gaap:IncreaseDecreaseInInventoryForLongTermContractsOrPrograms|us-gaap:StockRepurchaseProgramAuthorizedAmount1,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000019/hii-20200331.htm,5357376f593d4530980fd68f1bc38d743217dc7eb582daed4dc93c1b37144fe9,ALL_PERIODIC_FILINGS,True,True
10-Q,2020-05-07,2020-03-31,0001501585-20-000019,note_pension,True,8,us-gaap:DefinedBenefitPensionPlanLiabilitiesNoncurrent|us-gaap:IncreaseDecreaseInPensionAndPostretirementObligations|us-gaap:OtherComprehensiveIncomeLossAmortizationAdjustmentFromAOCIPensionAndOtherPostretirementBenefitPlansForNetPriorServiceCostCreditBeforeTax|us-gaap:OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIPensionAndOtherPostretirementBenefitPlansForNetGainLossBeforeTax|us-gaap:PensionAndOtherPostretirementAndPostemploymentBenefitPlansLiabilitiesCurrent|us-gaap:PensionAndOtherPostretirementBenefitContributions|us-gaap:PensionAndOtherPostretirementBenefitsDisclosureTextBlock|us-gaap:PensionContributions,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000019/hii-20200331.htm,5357376f593d4530980fd68f1bc38d743217dc7eb582daed4dc93c1b37144fe9,ANNUAL_10K_ONLY,False,False
10-Q,2020-05-07,2020-03-31,0001501585-20-000019,note_goodwill_intangibles,True,19,hii:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedFiniteLivedIntangiblesAndGoodwill|us-gaap:AcquiredFiniteLivedIntangibleAssetsWeightedAverageUsefulLife|us-gaap:AmortizationOfIntangibleAssets|us-gaap:DisposalGroupIncludingDiscontinuedOperationGoodwill1|us-gaap:DisposalGroupIncludingDiscontinuedOperationIntangibleAssetsCurrent|us-gaap:FiniteLivedIntangibleAssetsAccumulatedAmortization|us-gaap:FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths|us-gaap:FiniteLivedIntangibleAssetsAmortizationExpenseYearFive|us-gaap:FiniteLivedIntangibleAssetsAmortizationExpenseYearFour|us-gaap:FiniteLivedIntangibleAssetsAmortizationExpenseYearThree|us-gaap:FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo|us-gaap:FiniteLivedIntangibleAssetsNet|us-gaap:Goodwill|us-gaap:GoodwillAcquiredDuringPeriod|us-gaap:GoodwillAndIntangibleAssetsDisclosureTextBlock|us-gaap:GoodwillImpairedAccumulatedImpairmentLoss|us-gaap:GoodwillPurchaseAccountingAdjustments|us-gaap:GoodwillTranslationAndPurchaseAccountingAdjustments|us-gaap:ScheduleOfGoodwillTextBlock,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000019/hii-20200331.htm,5357376f593d4530980fd68f1bc38d743217dc7eb582daed4dc93c1b37144fe9,ANNUAL_10K_ONLY,False,False
10-Q,2020-05-07,2020-03-31,0001501585-20-000019,note_debt,True,6,us-gaap:DebtDisclosureTextBlock|us-gaap:LongTermDebt|us-gaap:LongTermDebtFairValue|us-gaap:LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive|us-gaap:LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree|us-gaap:LongTermDebtNoncurrent,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000019/hii-20200331.htm,5357376f593d4530980fd68f1bc38d743217dc7eb582daed4dc93c1b37144fe9,ALL_PERIODIC_FILINGS,True,True
10-Q,2020-05-07,2020-03-31,0001501585-20-000019,note_income_taxes,True,3,us-gaap:EffectiveIncomeTaxRateContinuingOperations|us-gaap:EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate|us-gaap:IncomeTaxDisclosureTextBlock,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000019/hii-20200331.htm,5357376f593d4530980fd68f1bc38d743217dc7eb582daed4dc93c1b37144fe9,ALL_PERIODIC_FILINGS,True,True
10-Q,2020-05-07,2020-03-31,0001501585-20-000019,capital_structure,True,10,us-gaap:CashAndCashEquivalentsAtCarryingValue|us-gaap:CashAndCashEquivalentsPeriodIncreaseDecrease|us-gaap:LiabilitiesAndStockholdersEquity|us-gaap:LongTermDebt|us-gaap:LongTermDebtFairValue|us-gaap:LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive|us-gaap:LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree|us-gaap:LongTermDebtNoncurrent|us-gaap:StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest|us-gaap:StockholdersEquityNoteDisclosureTextBlock,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000019/hii-20200331.htm,5357376f593d4530980fd68f1bc38d743217dc7eb582daed4dc93c1b37144fe9,ALL_PERIODIC_FILINGS,True,True
10-Q,2020-08-06,2020-06-30,0001501585-20-000035,statement_revenue_operating_income_tax,True,4,us-gaap:DeferredStateAndLocalIncomeTaxExpenseBenefit|us-gaap:IncomeTaxExpenseBenefit|us-gaap:OperatingIncomeLoss|us-gaap:Revenues,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000035/hii-20200630.htm,26a8cd1c0cf3300e699c7c5aec8b35d587671db4883c895183b3014d2f1616a8,ALL_PERIODIC_FILINGS,True,True
10-Q,2020-08-06,2020-06-30,0001501585-20-000035,statement_cash_flow_capex_depreciation,True,7,us-gaap:AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment|us-gaap:Depreciation|us-gaap:NetCashProvidedByUsedInFinancingActivities|us-gaap:NetCashProvidedByUsedInInvestingActivities|us-gaap:NetCashProvidedByUsedInOperatingActivities|us-gaap:PaymentsToAcquireBusinessesNetOfCashAcquired|us-gaap:PaymentsToAcquirePropertyPlantAndEquipment,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000035/hii-20200630.htm,26a8cd1c0cf3300e699c7c5aec8b35d587671db4883c895183b3014d2f1616a8,ALL_PERIODIC_FILINGS,True,True
10-Q,2020-08-06,2020-06-30,0001501585-20-000035,statement_working_capital,True,7,hii:InventoryWorkInProcessAndGeneralAndAdministrativeCostsIncludedInInventoryNetOfReserves|us-gaap:AccountsPayableCurrent|us-gaap:IncreaseDecreaseInInventoryForLongTermContractsOrPrograms|us-gaap:InventoryDisclosureTextBlock|us-gaap:InventoryNetOfAllowancesCustomerAdvancesAndProgressBillings|us-gaap:InventoryRawMaterialsNetOfReserves|us-gaap:ScheduleOfInventoryCurrentTableTextBlock,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000035/hii-20200630.htm,26a8cd1c0cf3300e699c7c5aec8b35d587671db4883c895183b3014d2f1616a8,ALL_PERIODIC_FILINGS,True,True
10-Q,2020-08-06,2020-06-30,0001501585-20-000035,note_segments,True,2,us-gaap:ScheduleOfSegmentReportingInformationBySegmentTextBlock|us-gaap:SegmentReportingDisclosureTextBlock,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000035/hii-20200630.htm,26a8cd1c0cf3300e699c7c5aec8b35d587671db4883c895183b3014d2f1616a8,ALL_PERIODIC_FILINGS,True,True
10-Q,2020-08-06,2020-06-30,0001501585-20-000035,note_revenue_and_contracts,True,5,us-gaap:ContractWithCustomerAssetNet|us-gaap:ContractWithCustomerLiabilityCurrent|us-gaap:ContractWithCustomerLiabilityRevenueRecognized|us-gaap:IncreaseDecreaseInContractWithCustomerAsset|us-gaap:RevenueFromContractWithCustomerTextBlock,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000035/hii-20200630.htm,26a8cd1c0cf3300e699c7c5aec8b35d587671db4883c895183b3014d2f1616a8,ALL_PERIODIC_FILINGS,True,True
10-Q,2020-08-06,2020-06-30,0001501585-20-000035,note_contract_assets_liabilities,True,4,us-gaap:ContractWithCustomerAssetNet|us-gaap:ContractWithCustomerLiabilityCurrent|us-gaap:ContractWithCustomerLiabilityRevenueRecognized|us-gaap:IncreaseDecreaseInContractWithCustomerAsset,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000035/hii-20200630.htm,26a8cd1c0cf3300e699c7c5aec8b35d587671db4883c895183b3014d2f1616a8,ALL_PERIODIC_FILINGS,True,True
10-Q,2020-08-06,2020-06-30,0001501585-20-000035,note_remaining_performance_obligation,True,1,us-gaap:RevenueRemainingPerformanceObligation,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000035/hii-20200630.htm,26a8cd1c0cf3300e699c7c5aec8b35d587671db4883c895183b3014d2f1616a8,ALL_PERIODIC_FILINGS,True,True
10-Q,2020-08-06,2020-06-30,0001501585-20-000035,note_program_accounting,True,2,us-gaap:IncreaseDecreaseInInventoryForLongTermContractsOrPrograms|us-gaap:StockRepurchaseProgramAuthorizedAmount1,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000035/hii-20200630.htm,26a8cd1c0cf3300e699c7c5aec8b35d587671db4883c895183b3014d2f1616a8,ALL_PERIODIC_FILINGS,True,True
10-Q,2020-08-06,2020-06-30,0001501585-20-000035,note_pension,True,8,us-gaap:DefinedBenefitPensionPlanLiabilitiesNoncurrent|us-gaap:IncreaseDecreaseInPensionAndPostretirementObligations|us-gaap:OtherComprehensiveIncomeLossAmortizationAdjustmentFromAOCIPensionAndOtherPostretirementBenefitPlansForNetPriorServiceCostCreditBeforeTax|us-gaap:OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIPensionAndOtherPostretirementBenefitPlansForNetGainLossBeforeTax|us-gaap:PensionAndOtherPostretirementAndPostemploymentBenefitPlansLiabilitiesCurrent|us-gaap:PensionAndOtherPostretirementBenefitContributions|us-gaap:PensionAndOtherPostretirementBenefitsDisclosureTextBlock|us-gaap:PensionContributions,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000035/hii-20200630.htm,26a8cd1c0cf3300e699c7c5aec8b35d587671db4883c895183b3014d2f1616a8,ANNUAL_10K_ONLY,False,False
10-Q,2020-08-06,2020-06-30,0001501585-20-000035,note_goodwill_intangibles,True,18,us-gaap:AcquiredFiniteLivedIntangibleAssetsWeightedAverageUsefulLife|us-gaap:AmortizationOfIntangibleAssets|us-gaap:DisposalGroupIncludingDiscontinuedOperationGoodwill1|us-gaap:DisposalGroupIncludingDiscontinuedOperationIntangibleAssetsCurrent|us-gaap:FiniteLivedIntangibleAssetsAccumulatedAmortization|us-gaap:FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths|us-gaap:FiniteLivedIntangibleAssetsAmortizationExpenseYearFive|us-gaap:FiniteLivedIntangibleAssetsAmortizationExpenseYearFour|us-gaap:FiniteLivedIntangibleAssetsAmortizationExpenseYearThree|us-gaap:FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo|us-gaap:FiniteLivedIntangibleAssetsNet|us-gaap:Goodwill|us-gaap:GoodwillAcquiredDuringPeriod|us-gaap:GoodwillAndIntangibleAssetsDisclosureTextBlock|us-gaap:GoodwillImpairedAccumulatedImpairmentLoss|us-gaap:GoodwillPurchaseAccountingAdjustments|us-gaap:GoodwillTranslationAndPurchaseAccountingAdjustments|us-gaap:ScheduleOfGoodwillTextBlock,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000035/hii-20200630.htm,26a8cd1c0cf3300e699c7c5aec8b35d587671db4883c895183b3014d2f1616a8,ANNUAL_10K_ONLY,False,False
10-Q,2020-08-06,2020-06-30,0001501585-20-000035,note_debt,True,7,us-gaap:DebtDisclosureTextBlock|us-gaap:LongTermDebt|us-gaap:LongTermDebtFairValue|us-gaap:LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive|us-gaap:LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour|us-gaap:LongTermDebtNoncurrent|us-gaap:ProceedsFromIssuanceOfLongTermDebt,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000035/hii-20200630.htm,26a8cd1c0cf3300e699c7c5aec8b35d587671db4883c895183b3014d2f1616a8,ALL_PERIODIC_FILINGS,True,True
10-Q,2020-08-06,2020-06-30,0001501585-20-000035,note_income_taxes,True,3,us-gaap:EffectiveIncomeTaxRateContinuingOperations|us-gaap:EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate|us-gaap:IncomeTaxDisclosureTextBlock,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000035/hii-20200630.htm,26a8cd1c0cf3300e699c7c5aec8b35d587671db4883c895183b3014d2f1616a8,ALL_PERIODIC_FILINGS,True,True
10-Q,2020-08-06,2020-06-30,0001501585-20-000035,capital_structure,True,11,us-gaap:CashAndCashEquivalentsAtCarryingValue|us-gaap:CashAndCashEquivalentsPeriodIncreaseDecrease|us-gaap:LiabilitiesAndStockholdersEquity|us-gaap:LongTermDebt|us-gaap:LongTermDebtFairValue|us-gaap:LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive|us-gaap:LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour|us-gaap:LongTermDebtNoncurrent|us-gaap:ProceedsFromIssuanceOfLongTermDebt|us-gaap:StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest|us-gaap:StockholdersEquityNoteDisclosureTextBlock,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000035/hii-20200630.htm,26a8cd1c0cf3300e699c7c5aec8b35d587671db4883c895183b3014d2f1616a8,ALL_PERIODIC_FILINGS,True,True
