form,filing_date,report_date,accession_number,concept,concept_local,value_usd,context_ref,start_date,end_date,instant,dimensions,dimension_count,source_url,source_sha256
10-K,2020-02-13,2019-12-31,0001501585-20-000011,us-gaap:LongTermDebtNoncurrent,LongTermDebtNoncurrent,1286000000.0,i88f0143507644611bb16596af24b8254_I20191231,,2019-12-31,True,,0,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000011/hii-20191231.htm,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1
10-K,2020-02-13,2019-12-31,0001501585-20-000011,us-gaap:LongTermDebtNoncurrent,LongTermDebtNoncurrent,1283000000.0,i319472c691314009b8f73ca12865cac2_I20181231,,2018-12-31,True,,0,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000011/hii-20191231.htm,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1
10-K,2020-02-13,2019-12-31,0001501585-20-000011,us-gaap:DefinedBenefitPensionPlanLiabilitiesNoncurrent,DefinedBenefitPensionPlanLiabilitiesNoncurrent,975000000.0,i88f0143507644611bb16596af24b8254_I20191231,,2019-12-31,True,,0,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000011/hii-20191231.htm,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1
10-K,2020-02-13,2019-12-31,0001501585-20-000011,us-gaap:DefinedBenefitPensionPlanLiabilitiesNoncurrent,DefinedBenefitPensionPlanLiabilitiesNoncurrent,764000000.0,i319472c691314009b8f73ca12865cac2_I20181231,,2018-12-31,True,,0,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000011/hii-20191231.htm,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1
10-K,2020-02-13,2019-12-31,0001501585-20-000011,us-gaap:Depreciation,Depreciation,180000000.0,id4756bc70a0d4b4caa5673ca65bd57bf_D20190101-20191231,2019-01-01,2019-12-31,False,,0,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000011/hii-20191231.htm,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1
10-K,2020-02-13,2019-12-31,0001501585-20-000011,us-gaap:Depreciation,Depreciation,167000000.0,i3d5b2517622c45b2a9f3d8db371ff922_D20180101-20181231,2018-01-01,2018-12-31,False,,0,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000011/hii-20191231.htm,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1
10-K,2020-02-13,2019-12-31,0001501585-20-000011,us-gaap:Depreciation,Depreciation,165000000.0,i04a2e542155b4f41a1743c3993be6de2_D20170101-20171231,2017-01-01,2017-12-31,False,,0,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000011/hii-20191231.htm,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1
10-K,2020-02-13,2019-12-31,0001501585-20-000011,us-gaap:NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,896000000.0,id4756bc70a0d4b4caa5673ca65bd57bf_D20190101-20191231,2019-01-01,2019-12-31,False,,0,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000011/hii-20191231.htm,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1
10-K,2020-02-13,2019-12-31,0001501585-20-000011,us-gaap:NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,914000000.0,i3d5b2517622c45b2a9f3d8db371ff922_D20180101-20181231,2018-01-01,2018-12-31,False,,0,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000011/hii-20191231.htm,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1
10-K,2020-02-13,2019-12-31,0001501585-20-000011,us-gaap:NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,814000000.0,i04a2e542155b4f41a1743c3993be6de2_D20170101-20171231,2017-01-01,2017-12-31,False,,0,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000011/hii-20191231.htm,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1
10-K,2020-02-13,2019-12-31,0001501585-20-000011,us-gaap:PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,530000000.0,id4756bc70a0d4b4caa5673ca65bd57bf_D20190101-20191231,2019-01-01,2019-12-31,False,,0,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000011/hii-20191231.htm,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1
10-K,2020-02-13,2019-12-31,0001501585-20-000011,us-gaap:PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,463000000.0,i3d5b2517622c45b2a9f3d8db371ff922_D20180101-20181231,2018-01-01,2018-12-31,False,,0,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000011/hii-20191231.htm,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1
10-K,2020-02-13,2019-12-31,0001501585-20-000011,us-gaap:PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,382000000.0,i04a2e542155b4f41a1743c3993be6de2_D20170101-20171231,2017-01-01,2017-12-31,False,,0,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000011/hii-20191231.htm,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1
10-K,2020-02-13,2019-12-31,0001501585-20-000011,us-gaap:PaymentsToAcquireBusinessesNetOfCashAcquired,PaymentsToAcquireBusinessesNetOfCashAcquired,195000000.0,id4756bc70a0d4b4caa5673ca65bd57bf_D20190101-20191231,2019-01-01,2019-12-31,False,,0,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000011/hii-20191231.htm,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1
10-K,2020-02-13,2019-12-31,0001501585-20-000011,us-gaap:PaymentsToAcquireBusinessesNetOfCashAcquired,PaymentsToAcquireBusinessesNetOfCashAcquired,77000000.0,i3d5b2517622c45b2a9f3d8db371ff922_D20180101-20181231,2018-01-01,2018-12-31,False,,0,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000011/hii-20191231.htm,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1
10-K,2020-02-13,2019-12-31,0001501585-20-000011,us-gaap:PaymentsToAcquireBusinessesNetOfCashAcquired,PaymentsToAcquireBusinessesNetOfCashAcquired,-3000000.0,i04a2e542155b4f41a1743c3993be6de2_D20170101-20171231,2017-01-01,2017-12-31,False,,0,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000011/hii-20191231.htm,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1
10-K,2020-02-13,2019-12-31,0001501585-20-000011,us-gaap:CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsAtCarryingValue,240000000.0,i319472c691314009b8f73ca12865cac2_I20181231,,2018-12-31,True,,0,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000011/hii-20191231.htm,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1
10-K,2020-02-13,2019-12-31,0001501585-20-000011,us-gaap:CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsAtCarryingValue,701000000.0,i4f2cfc6a6bb04298a7a2a4271c028c8d_I20171231,,2017-12-31,True,,0,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000011/hii-20191231.htm,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1
10-K,2020-02-13,2019-12-31,0001501585-20-000011,us-gaap:CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsAtCarryingValue,720000000.0,i6b851b0c18c145c181bcfbcce0a927db_I20161231,,2016-12-31,True,,0,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000011/hii-20191231.htm,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1
10-K,2020-02-13,2019-12-31,0001501585-20-000011,us-gaap:CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsAtCarryingValue,75000000.0,i88f0143507644611bb16596af24b8254_I20191231,,2019-12-31,True,,0,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000011/hii-20191231.htm,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1
10-K,2020-02-13,2019-12-31,0001501585-20-000011,us-gaap:CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsAtCarryingValue,240000000.0,i319472c691314009b8f73ca12865cac2_I20181231,,2018-12-31,True,,0,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000011/hii-20191231.htm,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1
10-K,2020-02-13,2019-12-31,0001501585-20-000011,us-gaap:CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsAtCarryingValue,701000000.0,i4f2cfc6a6bb04298a7a2a4271c028c8d_I20171231,,2017-12-31,True,,0,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000011/hii-20191231.htm,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1
10-K,2020-02-13,2019-12-31,0001501585-20-000011,us-gaap:StockholdersEquity,StockholdersEquity,1000000.0,ie947a12164ed473391c517b4a6f6d1af_I20161231,,2016-12-31,True,us-gaap:CommonStockMember,1,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000011/hii-20191231.htm,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1
10-K,2020-02-13,2019-12-31,0001501585-20-000011,us-gaap:StockholdersEquity,StockholdersEquity,1964000000.0,ife705e6f864f45bdae143bf9c45123ea_I20161231,,2016-12-31,True,us-gaap:AdditionalPaidInCapitalMember,1,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000011/hii-20191231.htm,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1
10-K,2020-02-13,2019-12-31,0001501585-20-000011,us-gaap:StockholdersEquity,StockholdersEquity,1323000000.0,ie249c15f7d784494a346a94946ff0f08_I20161231,,2016-12-31,True,us-gaap:RetainedEarningsMember,1,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000011/hii-20191231.htm,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1
10-K,2020-02-13,2019-12-31,0001501585-20-000011,us-gaap:StockholdersEquity,StockholdersEquity,-684000000.0,i62ac9d18da53415a9553fb21adb9279a_I20161231,,2016-12-31,True,us-gaap:TreasuryStockMember,1,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000011/hii-20191231.htm,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1
10-K,2020-02-13,2019-12-31,0001501585-20-000011,us-gaap:StockholdersEquity,StockholdersEquity,-951000000.0,i128a42cb864447a3b97f2f1dc01c41e4_I20161231,,2016-12-31,True,us-gaap:AccumulatedOtherComprehensiveIncomeMember,1,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000011/hii-20191231.htm,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1
10-K,2020-02-13,2019-12-31,0001501585-20-000011,us-gaap:StockholdersEquity,StockholdersEquity,1653000000.0,i6b851b0c18c145c181bcfbcce0a927db_I20161231,,2016-12-31,True,,0,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000011/hii-20191231.htm,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1
10-K,2020-02-13,2019-12-31,0001501585-20-000011,us-gaap:StockholdersEquity,StockholdersEquity,1000000.0,iec514b5667244fa1bc0dde75482ebaf7_I20171231,,2017-12-31,True,us-gaap:CommonStockMember,1,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000011/hii-20191231.htm,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1
10-K,2020-02-13,2019-12-31,0001501585-20-000011,us-gaap:StockholdersEquity,StockholdersEquity,1942000000.0,i8e750f180e464daba9aaad206a35acea_I20171231,,2017-12-31,True,us-gaap:AdditionalPaidInCapitalMember,1,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000011/hii-20191231.htm,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1
10-K,2020-02-13,2019-12-31,0001501585-20-000011,us-gaap:StockholdersEquity,StockholdersEquity,1687000000.0,i0b6889efe0474ab7a4d652e047facadb_I20171231,,2017-12-31,True,us-gaap:RetainedEarningsMember,1,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000011/hii-20191231.htm,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1
10-K,2020-02-13,2019-12-31,0001501585-20-000011,us-gaap:StockholdersEquity,StockholdersEquity,-972000000.0,i28fd8061733446f296aa470c66543fae_I20171231,,2017-12-31,True,us-gaap:TreasuryStockMember,1,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000011/hii-20191231.htm,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1
10-K,2020-02-13,2019-12-31,0001501585-20-000011,us-gaap:StockholdersEquity,StockholdersEquity,-900000000.0,ie3db8d52d47443199d7170676a6dad18_I20171231,,2017-12-31,True,us-gaap:AccumulatedOtherComprehensiveIncomeMember,1,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000011/hii-20191231.htm,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1
10-K,2020-02-13,2019-12-31,0001501585-20-000011,us-gaap:StockholdersEquity,StockholdersEquity,1758000000.0,i4f2cfc6a6bb04298a7a2a4271c028c8d_I20171231,,2017-12-31,True,,0,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000011/hii-20191231.htm,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1
