form,period,filing_date,report_date,accession_number,metric,value_usd,available,selected_concept,selected_context_ref,selection_rule,source_url,source_sha256,evidence_layer
10-Q,2021Q1,2021-05-06,2021-03-31,0001501585-21-000018,receivables_usd,407000000.0,True,AccountsReceivableNetCurrent,ic0ba7b51b2914d0ab18a1b17569f879b_I20210331,HII_CONSOLIDATED_ALIAS_REPORT_DATE_CONTEXT,https://www.sec.gov/Archives/edgar/data/1501585/000150158521000018/hii-20210331.htm,d214a14aa150b01157d383205dc3c2564c50833b33db3ce5d7f1629c4785fdc1,FINANCIAL_STATEMENT
10-Q,2021Q1,2021-05-06,2021-03-31,0001501585-21-000018,intangibles_ex_goodwill_usd,512000000.0,True,FiniteLivedIntangibleAssetsNet,ic0ba7b51b2914d0ab18a1b17569f879b_I20210331,HII_CONSOLIDATED_ALIAS_REPORT_DATE_CONTEXT,https://www.sec.gov/Archives/edgar/data/1501585/000150158521000018/hii-20210331.htm,d214a14aa150b01157d383205dc3c2564c50833b33db3ce5d7f1629c4785fdc1,FINANCIAL_STATEMENT
10-Q,2021Q1,2021-05-06,2021-03-31,0001501585-21-000018,debt_current_usd,,False,,,HII_CONSOLIDATED_ALIAS_REPORT_DATE_CONTEXT,https://www.sec.gov/Archives/edgar/data/1501585/000150158521000018/hii-20210331.htm,d214a14aa150b01157d383205dc3c2564c50833b33db3ce5d7f1629c4785fdc1,FINANCIAL_STATEMENT
10-Q,2021Q1,2021-05-06,2021-03-31,0001501585-21-000018,debt_noncurrent_usd,1688000000.0,True,LongTermDebtNoncurrent,ic0ba7b51b2914d0ab18a1b17569f879b_I20210331,HII_CONSOLIDATED_ALIAS_REPORT_DATE_CONTEXT,https://www.sec.gov/Archives/edgar/data/1501585/000150158521000018/hii-20210331.htm,d214a14aa150b01157d383205dc3c2564c50833b33db3ce5d7f1629c4785fdc1,FINANCIAL_STATEMENT
10-Q,2021Q1,2021-05-06,2021-03-31,0001501585-21-000018,contract_liabilities_usd,700000000.0,True,ContractWithCustomerLiabilityCurrent,ic0ba7b51b2914d0ab18a1b17569f879b_I20210331,HII_CONSOLIDATED_ALIAS_REPORT_DATE_CONTEXT,https://www.sec.gov/Archives/edgar/data/1501585/000150158521000018/hii-20210331.htm,d214a14aa150b01157d383205dc3c2564c50833b33db3ce5d7f1629c4785fdc1,NOTE
10-Q,2021Q1,2021-05-06,2021-03-31,0001501585-21-000018,fas_cas_pension_adjustment_usd,,False,,,HII_CONSOLIDATED_ALIAS_REPORT_DATE_CONTEXT,https://www.sec.gov/Archives/edgar/data/1501585/000150158521000018/hii-20210331.htm,d214a14aa150b01157d383205dc3c2564c50833b33db3ce5d7f1629c4785fdc1,NOTE
10-Q,2021Q1,2021-05-06,2021-03-31,0001501585-21-000018,program_gains_losses_usd,,False,,,HII_CONSOLIDATED_ALIAS_REPORT_DATE_CONTEXT,https://www.sec.gov/Archives/edgar/data/1501585/000150158521000018/hii-20210331.htm,d214a14aa150b01157d383205dc3c2564c50833b33db3ce5d7f1629c4785fdc1,NOTE
10-Q,2021Q2,2021-08-05,2021-06-30,0001501585-21-000029,receivables_usd,443000000.0,True,AccountsReceivableNetCurrent,ieab01adce1314df2b8c9bb52b372a918_I20210630,HII_CONSOLIDATED_ALIAS_REPORT_DATE_CONTEXT,https://www.sec.gov/Archives/edgar/data/1501585/000150158521000029/hii-20210630.htm,ca03ac808581a53939e1004e5252217d4f8d7d1a6a792fd6a021aa4d79f90e7a,FINANCIAL_STATEMENT
10-Q,2021Q2,2021-08-05,2021-06-30,0001501585-21-000029,intangibles_ex_goodwill_usd,499000000.0,True,FiniteLivedIntangibleAssetsNet,ieab01adce1314df2b8c9bb52b372a918_I20210630,HII_CONSOLIDATED_ALIAS_REPORT_DATE_CONTEXT,https://www.sec.gov/Archives/edgar/data/1501585/000150158521000029/hii-20210630.htm,ca03ac808581a53939e1004e5252217d4f8d7d1a6a792fd6a021aa4d79f90e7a,FINANCIAL_STATEMENT
10-Q,2021Q2,2021-08-05,2021-06-30,0001501585-21-000029,debt_current_usd,,False,,,HII_CONSOLIDATED_ALIAS_REPORT_DATE_CONTEXT,https://www.sec.gov/Archives/edgar/data/1501585/000150158521000029/hii-20210630.htm,ca03ac808581a53939e1004e5252217d4f8d7d1a6a792fd6a021aa4d79f90e7a,FINANCIAL_STATEMENT
10-Q,2021Q2,2021-08-05,2021-06-30,0001501585-21-000029,debt_noncurrent_usd,1689000000.0,True,LongTermDebtNoncurrent,ieab01adce1314df2b8c9bb52b372a918_I20210630,HII_CONSOLIDATED_ALIAS_REPORT_DATE_CONTEXT,https://www.sec.gov/Archives/edgar/data/1501585/000150158521000029/hii-20210630.htm,ca03ac808581a53939e1004e5252217d4f8d7d1a6a792fd6a021aa4d79f90e7a,FINANCIAL_STATEMENT
10-Q,2021Q2,2021-08-05,2021-06-30,0001501585-21-000029,contract_liabilities_usd,660000000.0,True,ContractWithCustomerLiabilityCurrent,ieab01adce1314df2b8c9bb52b372a918_I20210630,HII_CONSOLIDATED_ALIAS_REPORT_DATE_CONTEXT,https://www.sec.gov/Archives/edgar/data/1501585/000150158521000029/hii-20210630.htm,ca03ac808581a53939e1004e5252217d4f8d7d1a6a792fd6a021aa4d79f90e7a,NOTE
10-Q,2021Q2,2021-08-05,2021-06-30,0001501585-21-000029,fas_cas_pension_adjustment_usd,,False,,,HII_CONSOLIDATED_ALIAS_REPORT_DATE_CONTEXT,https://www.sec.gov/Archives/edgar/data/1501585/000150158521000029/hii-20210630.htm,ca03ac808581a53939e1004e5252217d4f8d7d1a6a792fd6a021aa4d79f90e7a,NOTE
