period,filing_date,total_backlog_usd,contract_awards_usd,backlog_disclosed,contract_awards_disclosed,source_url,source_sha256,historical_pit_input,segment_backlog_available
2022Q2,2022-08-04,47200000000.0,2000000000.0,True,True,https://www.sec.gov/Archives/edgar/data/1501585/000150158522000024/hii2022q2earningsrelease.htm,8f89ec6976a19d4a076a8216abf0e05c0b745079390fcfc2c79da69ee7be077e,True,False
2022Q3,2022-11-03,46700000000.0,2100000000.0,True,True,https://www.sec.gov/Archives/edgar/data/1501585/000150158522000032/hii2022q3earningsrelease.htm,5eb713a93b11d939105c5d3e2a38b1fc207a7e0e6280d6d7c2e92b05e9914a40,True,False
2022Q4,2023-02-09,47100000000.0,3200000000.0,True,True,https://www.sec.gov/Archives/edgar/data/1501585/000150158523000007/hii2022q4earningsrelease.htm,01d4fcdac111828bf23b354aac3c9175125409f4943b5ac3a256a3ca46219513,True,False
2023Q1,2023-05-04,47000000000.0,2600000000.0,True,True,https://www.sec.gov/Archives/edgar/data/1501585/000150158523000014/hii2023q1earningsrelease.htm,e74480cf13137080f1a65ff2ae5319a68557aed5b1e2f5a09dc995cdaf3b762a,True,False
2023Q2,2023-08-03,46900000000.0,2600000000.0,True,True,https://www.sec.gov/Archives/edgar/data/1501585/000150158523000024/hii2023q2earningsrelease.htm,756cdd7a4f0e7e90f6b2bf5d59d7bcd4a62ddcf67a34c48228bab30606d01574,True,False
2023Q3,2023-11-02,49000000000.0,5400000000.0,True,True,https://www.sec.gov/Archives/edgar/data/1501585/000150158523000030/hii2023q3earningsrelease.htm,e2d36dc345c09085e61dadf1a1e9054cc772db6836ec335b6bcc96ae83c4dd09,True,False
2023Q4,2024-02-01,48100000000.0,12500000000.0,True,True,https://www.sec.gov/Archives/edgar/data/1501585/000150158524000005/hii2023q4earningsrelease.htm,a4820233db4b90b13c468a83841e9bbd976d7cb9a8ca51bb71961e1bef43664e,True,False
2024Q1,2024-05-02,48400000000.0,3100000000.0,True,True,https://www.sec.gov/Archives/edgar/data/1501585/000150158524000011/hii2024q1earningsrelease.htm,946aaa0632bd5132395e037ef9571c4a834320b7db5892396488c6068c1e4011,True,False
2024Q2,2024-08-01,48500000000.0,3100000000.0,True,True,https://www.sec.gov/Archives/edgar/data/1501585/000150158524000034/hii2024q2earningsrelease.htm,ede2a686eb16d1cf047a45f1020ddffb3198e88c028e9661bdeee77263f4432b,True,False
2024Q3,2024-10-31,49400000000.0,3600000000.0,True,True,https://www.sec.gov/Archives/edgar/data/1501585/000150158524000040/hii2024q3earningsrelease.htm,211594c1978545ed97c7efa4cb8d6b48cf159807a3b8e2b0a2a6d3a1f345d871,True,False
2024Q4,2025-02-06,48700000000.0,12100000000.0,True,True,https://www.sec.gov/Archives/edgar/data/1501585/000150158525000004/hii2024q4earningsrelease.htm,0561dd5b76aacefca396e29d14e37366ce07a54b0e9a7bc4241dd8e9dcfd179f,True,False
2025Q1,2025-05-01,48000000000.0,2100000000.0,True,True,https://www.sec.gov/Archives/edgar/data/1501585/000150158525000035/hii2025q1earningsrelease.htm,e49b548d3cfb0cd12acee825dcf2fa95b6cc81929197a986c3ac0461dd0cb785,True,False
2025Q2,2025-07-31,56900000000.0,11900000000.0,True,True,https://www.sec.gov/Archives/edgar/data/1501585/000150158525000097/hii2025q2earningsrelease.htm,a720e693850daaeee45a8460b4673ef68d18f2522aead5e4b6da4a7e75f8063c,True,False
2025Q3,2025-10-30,55700000000.0,2000000000.0,True,True,https://www.sec.gov/Archives/edgar/data/1501585/000150158525000109/hii2025q3earningsrelease.htm,b3bad45a197ca86f3a80a786df2d3ebe6d321c0857ac3ba921c15577ea8605ac,True,False
2025Q4,2026-02-05,,,False,False,https://www.sec.gov/Archives/edgar/data/1501585/000150158526000004/hiiq42025earningsrelease.htm,a75b2819b9738b0cc1ff19610cc24aede58f165412bc80baaae6720c421ad493,True,False
2026Q1,2026-05-05,,4000000000.0,False,True,https://www.sec.gov/Archives/edgar/data/1501585/000150158526000027/hii2026q1earningsrelease.htm,82938c39c73524d6ea623e3fa239799b2db3a434148fc9b6dccebe17aec9d21e,True,False
2026Q2,2026-07-30,57300000000.0,6700000000.0,True,True,https://www.sec.gov/Archives/edgar/data/1501585/000150158526000045/hii2026q2earningsrelease.htm,7597b77e8082170248de963248d8e2ef5284b65aab82cdef97390d89abce8e09,True,False
