period,fiscal_year,fiscal_quarter,form,filing_date,report_date,source_url,source_sha256,operating_nwc_usd,change_operating_nwc_usd,discrete_business_acquisitions_usd,discrete_capex_usd,discrete_cfo_usd,discrete_depreciation_amortization_usd,discrete_fas_cas_pension_adjustment_usd,discrete_income_tax_usd,discrete_operating_income_usd,discrete_pretax_income_usd,discrete_program_gains_losses_usd,discrete_research_development_usd,discrete_revenue_usd,discrete_effective_tax_rate_pct,discrete_nopat_usd,discrete_fcff_cash_proxy_usd,quarterly_statement_chain_complete,quarterly_note_contract_chain_complete,historical_pit_input,terminal_input_allowed
2022Q2,2022,2,10-Q,2022-08-04,2022-06-30,https://www.sec.gov/Archives/edgar/data/1501585/000150158522000026/hii-20220630.htm,6b4376c95b627882e6a1b1a4637b62f7c8ea430d28acce8f2e0e82c4d5b781b6,,,,59000000.0,267000000.0,52000000.0,,44000000.0,191000000.0,222000000.0,,,2662000000.0,19.81981981981982,153144144.14414415,208000000.0,False,True,True,False
2022Q3,2022,3,10-Q,2022-11-03,2022-09-30,https://www.sec.gov/Archives/edgar/data/1501585/000150158522000034/hii-20220930.htm,57998b25458f3a20d8ab189f4d1d7fc62bf7ae7299f006de9dae780a4081f114,,,,77000000.0,-19000000.0,54000000.0,,24000000.0,131000000.0,162000000.0,,,2626000000.0,14.814814814814813,111592592.5925926,-96000000.0,False,True,True,False
2022Q4,2022,4,10-K,2023-02-09,2022-12-31,https://www.sec.gov/Archives/edgar/data/1501585/000150158523000010/hii-20221231.htm,cfcc6f7fd5211d6d8f36fcd6ed2a9b9a8d27927356fe1913e9b42f534685bf8e,,,,93000000.0,601000000.0,60000000.0,,36000000.0,105000000.0,159000000.0,,,2812000000.0,22.641509433962266,81226415.09433961,508000000.0,False,True,True,False
2023Q1,2023,1,10-Q,2023-05-04,2023-03-31,https://www.sec.gov/Archives/edgar/data/1501585/000150158523000016/hii-20230331.htm,7677040d91a50e08f5092f2204c472ddc90d8ad7f1bdb3eca371625d64954a79,,,,43000000.0,-9000000.0,55000000.0,,34000000.0,141000000.0,163000000.0,,,2674000000.0,20.858895705521473,111588957.05521472,-52000000.0,False,True,True,False
2023Q2,2023,2,10-Q,2023-08-03,2023-06-30,https://www.sec.gov/Archives/edgar/data/1501585/000150158523000026/hii-20230630.htm,240c989517686f107b5ebdb4e8faab041462605487b47ef2d93bb505ef3201e3,,,,68000000.0,82000000.0,55000000.0,,39000000.0,156000000.0,169000000.0,,,2787000000.0,23.076923076923077,120000000.0,14000000.0,False,True,True,False
2023Q3,2023,3,10-Q,2023-11-02,2023-09-30,https://www.sec.gov/Archives/edgar/data/1501585/000150158523000033/hii-20230930.htm,a978dd437797961c49f196e72ddcadbe80d8301e189d7eabf45e54dceab92f1e,,,,53000000.0,335000000.0,53000000.0,,41000000.0,172000000.0,189000000.0,,,2816000000.0,21.693121693121693,134687830.6878307,282000000.0,False,True,True,False
2023Q4,2023,4,10-K,2024-02-01,2023-12-31,https://www.sec.gov/Archives/edgar/data/1501585/000150158524000007/hii-20231231.htm,0b3d953af66e8986f467784154cf686e260e45e7a548fc9f7d2ee216d54c771b,,,,114000000.0,562000000.0,56000000.0,,58000000.0,312000000.0,332000000.0,,,3177000000.0,17.46987951807229,257493975.90361446,448000000.0,False,True,True,False
2024Q1,2024,1,10-Q,2024-05-02,2024-03-31,https://www.sec.gov/Archives/edgar/data/1501585/000150158524000013/hii-20240331.htm,4fa47c55238b6f0d1cbaaa8e5eda90085126d50b324357ebebba460643ff2d3c,,,,75000000.0,-202000000.0,53000000.0,,31000000.0,154000000.0,184000000.0,,,2805000000.0,16.847826086956523,128054347.82608697,-277000000.0,False,True,True,False
2024Q2,2024,2,10-Q,2024-08-01,2024-06-30,https://www.sec.gov/Archives/edgar/data/1501585/000150158524000036/hii-20240630.htm,be9966ba3f35be49eab21b4c8839977cef91e77537bd2cea51bbc6544200634d,,,,90000000.0,-9000000.0,53000000.0,,43000000.0,189000000.0,216000000.0,,,2977000000.0,19.90740740740741,151375000.0,-99000000.0,False,True,True,False
2024Q3,2024,3,10-Q,2024-10-31,2024-09-30,https://www.sec.gov/Archives/edgar/data/1501585/000150158524000042/hii-20240930.htm,a97548189124c42ee0911ff7c7ced36c6a4efc1e1ea10025c2afdcd823b729e1,,,,88000000.0,213000000.0,54000000.0,,11000000.0,82000000.0,112000000.0,,,2749000000.0,9.821428571428571,73946428.57142857,125000000.0,False,True,True,False
2024Q4,2024,4,10-K,2025-02-06,2024-12-31,https://www.sec.gov/Archives/edgar/data/1501585/000150158525000006/hii-20241231.htm,db9afdddcf4eac67785bb07386819b59aa3c2a28addf94448fad93d2a661c5c3,,,,100000000.0,391000000.0,57000000.0,,8000000.0,110000000.0,131000000.0,,,3004000000.0,6.106870229007633,103282442.74809161,291000000.0,False,True,True,False
2025Q1,2025,1,10-Q,2025-05-01,2025-03-31,https://www.sec.gov/Archives/edgar/data/1501585/000150158525000037/hii-20250331.htm,b1efdc3fd2c325117b31607fef86e968de29049cfdf95f6d8adb9e108cc70786,,,133000000.0,67000000.0,-395000000.0,54000000.0,,38000000.0,161000000.0,187000000.0,,,2734000000.0,20.32085561497326,128283422.45989305,-462000000.0,False,True,True,False
2025Q2,2025,2,10-Q,2025-07-31,2025-06-30,https://www.sec.gov/Archives/edgar/data/1501585/000150158525000099/hii-20250630.htm,9f28d3329cea57d5f484b236d530e6e9b5b8e9e3968dc050213ac298aa952b84,,,0.0,93000000.0,823000000.0,56000000.0,,36000000.0,163000000.0,188000000.0,,,3082000000.0,19.148936170212767,131787234.04255319,730000000.0,False,True,True,False
2025Q3,2025,3,10-Q,2025-10-30,2025-09-30,https://www.sec.gov/Archives/edgar/data/1501585/000150158525000112/hii-20250930.htm,85ab8d8d07fd834c3e7182d97d540b714b3f719ad7d2bdbe371d9cacdbfb35e5,,,-1000000.0,102000000.0,118000000.0,54000000.0,,59000000.0,161000000.0,204000000.0,,,3192000000.0,28.921568627450984,114436274.5098039,16000000.0,False,True,True,False
2025Q4,2025,4,10-K,2026-02-05,2025-12-31,https://www.sec.gov/Archives/edgar/data/1501585/000150158526000006/hii-20251231.htm,e9c2363b3b156a5e2e0ceb49d9548f25fbf60ef9da574ac270867e9ead3b3a82,,,0.0,134000000.0,650000000.0,61000000.0,,39000000.0,172000000.0,198000000.0,,,3476000000.0,19.696969696969695,138121212.12121212,516000000.0,False,True,True,False
2026Q1,2026,1,10-Q,2026-05-05,2026-03-31,https://www.sec.gov/Archives/edgar/data/1501585/000150158526000029/hii-20260331.htm,517eb40c506fdafa020e4e4f8f7b4c2524632345fbe735b0b85c3c2d4653b85a,,,,71000000.0,-390000000.0,55000000.0,,39000000.0,155000000.0,188000000.0,,,3099000000.0,20.74468085106383,122845744.68085107,-461000000.0,False,True,True,False
2026Q2,2026,2,10-Q,2026-07-30,2026-06-30,https://www.sec.gov/Archives/edgar/data/1501585/000150158526000047/hii-20260630.htm,cc018dfd509fe4bc6db1fdd5fc2bd89cfb56c4f601faf2bd09e4fdfaa7400191,,,,122000000.0,-31000000.0,57000000.0,,46000000.0,210000000.0,254000000.0,,,3418000000.0,18.11023622047244,171968503.93700787,-153000000.0,False,True,True,False
