report_period,release_date,source_path,source_url,source_sha256,target_series_rows,hash_match,pdf_parsing_used
2023-06,2023-07-13,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v1_5\bls\ppi_detailed_reports\ppi-detailed-report-june-2023.xlsx,https://www.bls.gov/ppi/detailed-report/ppi-detailed-report-june-2023.xlsx,ea8e905a688e14ee5e2775c235b92ab43781961616c81e8dca253daef8704686,15,True,False
2023-07,2023-08-11,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v1_5\bls\ppi_detailed_reports\ppi-detailed-report-july-2023.xlsx,https://www.bls.gov/ppi/detailed-report/ppi-detailed-report-july-2023.xlsx,2146fe7cb012b301739dd5df583325d33c87cf35a6465220708993c85aa9396c,15,True,False
2023-08,2023-09-14,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v1_5\bls\ppi_detailed_reports\ppi-detailed-report-august-2023.xlsx,https://www.bls.gov/ppi/detailed-report/ppi-detailed-report-august-2023.xlsx,ab4916855f87fbb2837c4b9509a9518a11a2120ba7d4c0428414215a435bab02,15,True,False
2023-09,2023-10-11,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v1_5\bls\ppi_detailed_reports\ppi-detailed-report-september-2023.xlsx,https://www.bls.gov/ppi/detailed-report/ppi-detailed-report-september-2023.xlsx,af361ce61b71e4562f7de2bd3702fa0117334e9a0170eef8893d852d9652727e,15,True,False
2023-10,2023-11-15,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v1_5\bls\ppi_detailed_reports\ppi-detailed-report-october-2023.xlsx,https://www.bls.gov/ppi/detailed-report/ppi-detailed-report-october-2023.xlsx,d8274ecc9f5b83e06e54ac4cb8376fef44e6e4c77e389e727414d19d557381e4,15,True,False
2023-11,2023-12-13,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v1_5\bls\ppi_detailed_reports\ppi-detailed-report-november-2023.xlsx,https://www.bls.gov/ppi/detailed-report/ppi-detailed-report-november-2023.xlsx,39b3ac396833790a657d26cf0f9b7e0576fea88619db619ca65c877dafe85d76,15,True,False
2023-12,2024-01-12,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v1_5\bls\ppi_detailed_reports\ppi-detailed-report-december-2023.xlsx,https://www.bls.gov/ppi/detailed-report/ppi-detailed-report-december-2023.xlsx,a9dcbf2af4f3af9fd547b824b03b6c3856dcf2bfb19da4da6fcf3d8ef68a79d3,15,True,False
2024-01,2024-02-16,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v1_5\bls\ppi_detailed_reports\ppi-detailed-report-january-2024.xlsx,https://www.bls.gov/ppi/detailed-report/ppi-detailed-report-january-2024.xlsx,85dfbbd26349b5ac4733938c870b4446b0101e3022b5fa3241e3820ac3201eb5,15,True,False
2024-02,2024-03-14,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v1_5\bls\ppi_detailed_reports\ppi-detailed-report-february-2024.xlsx,https://www.bls.gov/ppi/detailed-report/ppi-detailed-report-february-2024.xlsx,712ef199314b0b8da4fef7fcdc6910571ac1a79ff56a3c1deb5312ce72969a4c,15,True,False
2024-03,2024-04-11,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v1_5\bls\ppi_detailed_reports\ppi-detailed-report-march-2024.xlsx,https://www.bls.gov/ppi/detailed-report/ppi-detailed-report-march-2024.xlsx,c3c9f4d66951acd1f403d494a508924bef8e1a60e80097360bfb6cc1e38a57c4,15,True,False
2024-04,2024-05-14,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v1_5\bls\ppi_detailed_reports\ppi-detailed-report-april-2024.xlsx,https://www.bls.gov/ppi/detailed-report/ppi-detailed-report-april-2024.xlsx,d6e4a8b49906b7ecc8701547fae82f1cded20402aaac3f7cb0364014af7f559a,15,True,False
2024-05,2024-06-13,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v1_5\bls\ppi_detailed_reports\ppi-detailed-report-may-2024.xlsx,https://www.bls.gov/ppi/detailed-report/ppi-detailed-report-may-2024.xlsx,be7202915b3545cf08d4f4b571515a43e4ca0ee0239bd9e138bb2bd0fcfea517,15,True,False
2024-06,2024-07-12,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v1_5\bls\ppi_detailed_reports\ppi-detailed-report-june-2024.xlsx,https://www.bls.gov/ppi/detailed-report/ppi-detailed-report-june-2024.xlsx,8eaaf8cd7eefb875e7d59c29aa28db9460a963ae145625d66f89f2e58f2d1b63,15,True,False
2024-07,2024-08-13,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v1_5\bls\ppi_detailed_reports\ppi-detailed-report-july-2024.xlsx,https://www.bls.gov/ppi/detailed-report/ppi-detailed-report-july-2024.xlsx,b2310fc2f2a8768eb9b4cdbcfe2c3fa150618d02da750bbccd5e9d4210c77658,15,True,False
2024-08,2024-09-12,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v1_5\bls\ppi_detailed_reports\ppi-detailed-report-august-2024.xlsx,https://www.bls.gov/ppi/detailed-report/ppi-detailed-report-august-2024.xlsx,713cea4beabca9f3d121ececd99a3aba4ef5a9065c7b14f6fea32acf89152bd6,15,True,False
2024-09,2024-10-11,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v1_5\bls\ppi_detailed_reports\ppi-detailed-report-september-2024.xlsx,https://www.bls.gov/ppi/detailed-report/ppi-detailed-report-september-2024.xlsx,ba18db08f7a057be631caab5bf8e6312b62d947dd5dbe2685f968ab3bf8a6915,15,True,False
2024-10,2024-11-14,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v1_5\bls\ppi_detailed_reports\ppi-detailed-report-october-2024.xlsx,https://www.bls.gov/ppi/detailed-report/ppi-detailed-report-october-2024.xlsx,3628bbcb5f41d0ff242c3ab4009ab1b4b2df4d8a465ca2d7e4c7ace5c950e492,15,True,False
2024-11,2024-12-12,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v1_5\bls\ppi_detailed_reports\ppi-detailed-report-november-2024.xlsx,https://www.bls.gov/ppi/detailed-report/ppi-detailed-report-november-2024.xlsx,086d5eda715c4cc5f0aeed6ff27ad11177ed4b234fa124405c57d2896877e444,15,True,False
2024-12,2025-01-14,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v1_5\bls\ppi_detailed_reports\ppi-detailed-report-december-2024.xlsx,https://www.bls.gov/ppi/detailed-report/ppi-detailed-report-december-2024.xlsx,ac676c86586db5717a51452661bfbf6b1f2a9d9a8280db6370e19256d09f3717,15,True,False
2025-01,2025-02-13,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v1_5\bls\ppi_detailed_reports\ppi-detailed-report-january-2025.xlsx,https://www.bls.gov/ppi/detailed-report/ppi-detailed-report-january-2025.xlsx,c6101c92fb37efa6db99ea1532255026099bf805eaaafc706844b6c6ae18a5c2,15,True,False
2025-02,2025-03-13,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v1_5\bls\ppi_detailed_reports\ppi-detailed-report-february-2025.xlsx,https://www.bls.gov/ppi/detailed-report/ppi-detailed-report-february-2025.xlsx,f3b0ea8bb6e999d51e398066fc58c77d8facbdc50647cadb51239f99b0b08563,15,True,False
2025-03,2025-04-11,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v1_5\bls\ppi_detailed_reports\ppi-detailed-report-march-2025.xlsx,https://www.bls.gov/ppi/detailed-report/ppi-detailed-report-march-2025.xlsx,dd1558c482e727a3399010861b8acf40c69fd2745598568aa33bc6728e6e1d4f,15,True,False
2025-04,2025-05-15,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v1_5\bls\ppi_detailed_reports\ppi-detailed-report-april-2025.xlsx,https://www.bls.gov/ppi/detailed-report/ppi-detailed-report-april-2025.xlsx,c9ceac6cd66a6ce7893a8858877ba537ffc652eb43d8a320846ca99c2487aa6c,15,True,False
2025-05,2025-06-12,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v1_5\bls\ppi_detailed_reports\ppi-detailed-report-may-2025.xlsx,https://www.bls.gov/ppi/detailed-report/ppi-detailed-report-may-2025.xlsx,a7f453f119bd50c1207f322ab82182dba95b8b30954fdeb8443964315f06113c,15,True,False
2025-06,2025-07-16,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v1_5\bls\ppi_detailed_reports\ppi-detailed-report-june-2025.xlsx,https://www.bls.gov/ppi/detailed-report/ppi-detailed-report-june-2025.xlsx,7f91f72e7ef9a34b643795ae6b9932217c5a01e54c99e80f78505e9f80f0aec5,15,True,False
2025-07,2025-08-14,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v1_5\bls\ppi_detailed_reports\ppi-detailed-report-july-2025.xlsx,https://www.bls.gov/ppi/detailed-report/ppi-detailed-report-july-2025.xlsx,5183cf009fff9a13be134816dc70d0b84e7b44d1a92471af1365b5e69f7386c4,15,True,False
2025-08,2025-09-10,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v1_5\bls\ppi_detailed_reports\ppi-detailed-report-august-2025.xlsx,https://www.bls.gov/ppi/detailed-report/ppi-detailed-report-august-2025.xlsx,e808284f9133c19472a78d5343003bcbd2d2e08718e5987997a0d0baa673079b,15,True,False
2025-09,2025-11-25,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v1_5\bls\ppi_detailed_reports\ppi-detailed-report-september-2025.xlsx,https://www.bls.gov/ppi/detailed-report/ppi-detailed-report-september-2025.xlsx,52693d6b405f13a44527ac830e7efe6826a4858417d80669421a202758b381bf,15,True,False
2025-11,2026-01-14,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v1_5\bls\ppi_detailed_reports\ppi-detailed-report-november-2025.xlsx,https://www.bls.gov/ppi/detailed-report/ppi-detailed-report-november-2025.xlsx,049809c20df24c4ed66f0a2ff2f5197c5385c111143bd71d966d55e7777892db,15,True,False
2025-12,2026-01-30,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v1_5\bls\ppi_detailed_reports\ppi-detailed-report-december-2025.xlsx,https://www.bls.gov/ppi/detailed-report/ppi-detailed-report-december-2025.xlsx,803b55f7efc846a6e81e4bd3a625b67bc2941f68c09abcd1d2268e5dee0c65e1,15,True,False
2026-01,2026-02-27,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v1_5\bls\ppi_detailed_reports\ppi-detailed-report-january-2026.xlsx,https://www.bls.gov/ppi/detailed-report/ppi-detailed-report-january-2026.xlsx,011a1e5c5f74c66a24c11d51319e3c99fb18878b820fdfbad87706091690198f,15,True,False
2026-02,2026-03-18,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v1_5\bls\ppi_detailed_reports\ppi-detailed-report-february-2026.xlsx,https://www.bls.gov/ppi/detailed-report/ppi-detailed-report-february-2026.xlsx,8165247a276b2aa90872b6be768164b5d471e6c698f04888554a16db37e056cf,15,True,False
2026-03,2026-04-14,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v1_5\bls\ppi_detailed_reports\ppi-detailed-report-march-2026.xlsx,https://www.bls.gov/ppi/detailed-report/ppi-detailed-report-march-2026.xlsx,59c2ac86ae0fdc507e6b9e1606cb148f69ed62a5279c572dcfc4fd068962f74d,15,True,False
2026-04,2026-05-13,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v1_5\bls\ppi_detailed_reports\ppi-detailed-report-april-2026.xlsx,https://www.bls.gov/ppi/detailed-report/ppi-detailed-report-april-2026.xlsx,eb878a1935316a83773b53d56a60988830a4b5da948d6a2f483c5afd1f4229df,15,True,False
2026-05,2026-06-11,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v1_5\bls\ppi_detailed_reports\ppi-detailed-report-may-2026.xlsx,https://www.bls.gov/ppi/detailed-report/ppi-detailed-report-may-2026.xlsx,e8c25f548bb26d1860655f205eaa055c327f2197a845795163e7c3d71e9eaf3b,15,True,False
2026-06,2026-07-15,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v1_5\bls\ppi_detailed_reports\ppi-detailed-report-june-2026.xlsx,https://www.bls.gov/ppi/detailed-report/ppi-detailed-report-june-2026.xlsx,b61d24f70fb7403a9c4e4b9fc54a04ce7647a9d95ce07093411e10b7302d13f9,15,True,False
2026-07,2026-08-13,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v1_5\bls\ppi_detailed_reports\ppi-detailed-report-july-2026.xlsx,https://www.bls.gov/ppi/detailed-report/ppi-detailed-report-july-2026.xlsx,a455bea5d305ccdc6c683059406ccdb194e0d9ee528912ce72c36c43a79a5640,15,True,False
