segment,route,validation_observations,mae,mase,mean_ape_pct,beats_prior_year_naive,target,predeclared_before_oos,selection_class,clean_prospective_claim_allowed,registry_status
newport_news_shipbuilding,PRIOR_YEAR_NAIVE,6,1.685341718345687,1.0,33.683157908538234,False,SEGMENT_MARGIN,True,PREDECLARED_BASELINE,False,IMMUTABLE_FAILED_AND_ALTERNATE_ROUTE_RECORD
newport_news_shipbuilding,PIT_COST_MARGIN_BRIDGE,6,1.873709698122188,1.111768419262416,36.53675051640441,False,SEGMENT_MARGIN,False,ALTERNATE_TESTED_DIAGNOSTIC,False,IMMUTABLE_FAILED_AND_ALTERNATE_ROUTE_RECORD
ingalls_shipbuilding,PIT_INDUSTRY_BRIDGE,6,71815554.21305078,0.7749879951048645,8.877068015277873,True,SEGMENT_REVENUE,False,BEST_TESTED_DIAGNOSTIC,False,IMMUTABLE_FAILED_AND_ALTERNATE_ROUTE_RECORD
ingalls_shipbuilding,HISTORICAL_GROWTH,6,77430021.11584897,0.8355757674372191,9.63862034853798,True,SEGMENT_REVENUE,False,ALTERNATE_TESTED_DIAGNOSTIC,False,IMMUTABLE_FAILED_AND_ALTERNATE_ROUTE_RECORD
ingalls_shipbuilding,PREDECLARED_BLEND,6,81644727.16555828,0.8810582068225713,10.015826821994812,True,SEGMENT_REVENUE,True,CLEAN_PROSPECTIVE_BENCHMARK,True,IMMUTABLE_FAILED_AND_ALTERNATE_ROUTE_RECORD
ingalls_shipbuilding,PRIOR_YEAR_NAIVE,6,92666666.66666669,1.0,11.326295649927,False,SEGMENT_REVENUE,True,PREDECLARED_BASELINE,False,IMMUTABLE_FAILED_AND_ALTERNATE_ROUTE_RECORD
mission_technologies,PREDECLARED_BLEND,6,27645097.677970808,0.9164120777227892,3.635066768202619,True,SEGMENT_REVENUE,True,CLEAN_PROSPECTIVE_BENCHMARK,True,IMMUTABLE_FAILED_AND_ALTERNATE_ROUTE_RECORD
mission_technologies,PRIOR_YEAR_NAIVE,6,30166666.666666668,1.0,3.919690842738419,False,SEGMENT_REVENUE,True,PREDECLARED_BASELINE,False,IMMUTABLE_FAILED_AND_ALTERNATE_ROUTE_RECORD
mission_technologies,PIT_INDUSTRY_BRIDGE,6,42771541.515668966,1.417841155215546,5.661691414784319,False,SEGMENT_REVENUE,False,ALTERNATE_TESTED_DIAGNOSTIC,False,IMMUTABLE_FAILED_AND_ALTERNATE_ROUTE_RECORD
mission_technologies,HISTORICAL_GROWTH,6,45475515.86288106,1.507475663962908,6.030745121625031,False,SEGMENT_REVENUE,False,ALTERNATE_TESTED_DIAGNOSTIC,False,IMMUTABLE_FAILED_AND_ALTERNATE_ROUTE_RECORD
newport_news_shipbuilding,PIT_INDUSTRY_BRIDGE,6,169034928.29517707,0.8983255710992581,9.825855180356193,True,SEGMENT_REVENUE,False,BEST_TESTED_DIAGNOSTIC,False,IMMUTABLE_FAILED_AND_ALTERNATE_ROUTE_RECORD
newport_news_shipbuilding,PREDECLARED_BLEND,6,183872325.23714352,0.9771779906314092,10.647144489600734,True,SEGMENT_REVENUE,True,CLEAN_PROSPECTIVE_BENCHMARK,True,IMMUTABLE_FAILED_AND_ALTERNATE_ROUTE_RECORD
newport_news_shipbuilding,PRIOR_YEAR_NAIVE,6,188166666.66666663,1.0,10.854303462328163,False,SEGMENT_REVENUE,True,PREDECLARED_BASELINE,False,IMMUTABLE_FAILED_AND_ALTERNATE_ROUTE_RECORD
newport_news_shipbuilding,HISTORICAL_GROWTH,6,190121039.3200636,1.0103863914263789,11.05411585339041,False,SEGMENT_REVENUE,False,ALTERNATE_TESTED_DIAGNOSTIC,False,IMMUTABLE_FAILED_AND_ALTERNATE_ROUTE_RECORD
