ticker,year,reported_total_primary_usd,reported_total_alternate_usd,development_usd,exploration_usd,proved_acquisition_usd,unproved_acquisition_usd,observed_component_sum_usd,selected_all_in_reserve_investment_usd,all_in_cost_selection_method,selected_all_in_source_tags,reported_total_component_reconciliation_error,included_scope,excluded_or_unproven_scope
NOG,2022,,1474482000.0,386972000.0,,1036412000.0,51097000.0,1474481000.0,1474482000.0,ALTERNATE_REPORTED_TOTAL_RECONCILED_TO_COMPONENTS,us-gaap:CostsIncurredOilAndGasPropertyAcquisitionExplorationAndDevelopmentActivities,6.782047377029699e-07,DEVELOPMENT_EXPLORATION_PROVED_AND_UNPROVED_ACQUISITION,LEASEHOLD_INFRASTRUCTURE_CORPORATE_CAPITAL_DRY_HOLE_OVERLAP_AND_ACQUISITION_PREMIUM_NOT_SEPARATELY_PROVEN
NOG,2023,,1931054000.0,639203000.0,,1288437000.0,3414000.0,1931054000.0,1931054000.0,ALTERNATE_REPORTED_TOTAL_RECONCILED_TO_COMPONENTS,us-gaap:CostsIncurredOilAndGasPropertyAcquisitionExplorationAndDevelopmentActivities,0.0,DEVELOPMENT_EXPLORATION_PROVED_AND_UNPROVED_ACQUISITION,LEASEHOLD_INFRASTRUCTURE_CORPORATE_CAPITAL_DRY_HOLE_OVERLAP_AND_ACQUISITION_PREMIUM_NOT_SEPARATELY_PROVEN
NOG,2024,,1884776000.0,936959000.0,,924454000.0,23363000.0,1884776000.0,1884776000.0,ALTERNATE_REPORTED_TOTAL_RECONCILED_TO_COMPONENTS,us-gaap:CostsIncurredOilAndGasPropertyAcquisitionExplorationAndDevelopmentActivities,0.0,DEVELOPMENT_EXPLORATION_PROVED_AND_UNPROVED_ACQUISITION,LEASEHOLD_INFRASTRUCTURE_CORPORATE_CAPITAL_DRY_HOLE_OVERLAP_AND_ACQUISITION_PREMIUM_NOT_SEPARATELY_PROVEN
NOG,2025,,1177741000.0,901581000.0,,206897000.0,69263000.0,1177741000.0,1177741000.0,ALTERNATE_REPORTED_TOTAL_RECONCILED_TO_COMPONENTS,us-gaap:CostsIncurredOilAndGasPropertyAcquisitionExplorationAndDevelopmentActivities,0.0,DEVELOPMENT_EXPLORATION_PROVED_AND_UNPROVED_ACQUISITION,LEASEHOLD_INFRASTRUCTURE_CORPORATE_CAPITAL_DRY_HOLE_OVERLAP_AND_ACQUISITION_PREMIUM_NOT_SEPARATELY_PROVEN
OVV,2021,11000000.0,1562000000.0,1536000000.0,15000000.0,9000000.0,2000000.0,1562000000.0,1562000000.0,ALTERNATE_REPORTED_TOTAL_RECONCILED_TO_COMPONENTS,us-gaap:CostsIncurredOilAndGasPropertyAcquisitionExplorationAndDevelopmentActivities,0.0,DEVELOPMENT_EXPLORATION_PROVED_AND_UNPROVED_ACQUISITION,LEASEHOLD_INFRASTRUCTURE_CORPORATE_CAPITAL_DRY_HOLE_OVERLAP_AND_ACQUISITION_PREMIUM_NOT_SEPARATELY_PROVEN
OVV,2022,286000000.0,2204000000.0,1906000000.0,12000000.0,132000000.0,154000000.0,2204000000.0,2204000000.0,ALTERNATE_REPORTED_TOTAL_RECONCILED_TO_COMPONENTS,us-gaap:CostsIncurredOilAndGasPropertyAcquisitionExplorationAndDevelopmentActivities,0.0,DEVELOPMENT_EXPLORATION_PROVED_AND_UNPROVED_ACQUISITION,LEASEHOLD_INFRASTRUCTURE_CORPORATE_CAPITAL_DRY_HOLE_OVERLAP_AND_ACQUISITION_PREMIUM_NOT_SEPARATELY_PROVEN
OVV,2023,4937000000.0,7726000000.0,2786000000.0,3000000.0,3874000000.0,1063000000.0,7726000000.0,7726000000.0,ALTERNATE_REPORTED_TOTAL_RECONCILED_TO_COMPONENTS,us-gaap:CostsIncurredOilAndGasPropertyAcquisitionExplorationAndDevelopmentActivities,0.0,DEVELOPMENT_EXPLORATION_PROVED_AND_UNPROVED_ACQUISITION,LEASEHOLD_INFRASTRUCTURE_CORPORATE_CAPITAL_DRY_HOLE_OVERLAP_AND_ACQUISITION_PREMIUM_NOT_SEPARATELY_PROVEN
OVV,2024,205000000.0,2603000000.0,2392000000.0,6000000.0,205000000.0,0.0,2603000000.0,2603000000.0,ALTERNATE_REPORTED_TOTAL_RECONCILED_TO_COMPONENTS,us-gaap:CostsIncurredOilAndGasPropertyAcquisitionExplorationAndDevelopmentActivities,0.0,DEVELOPMENT_EXPLORATION_PROVED_AND_UNPROVED_ACQUISITION,LEASEHOLD_INFRASTRUCTURE_CORPORATE_CAPITAL_DRY_HOLE_OVERLAP_AND_ACQUISITION_PREMIUM_NOT_SEPARATELY_PROVEN
OVV,2025,2709000000.0,4815000000.0,2103000000.0,3000000.0,2521000000.0,188000000.0,4815000000.0,4815000000.0,ALTERNATE_REPORTED_TOTAL_RECONCILED_TO_COMPONENTS,us-gaap:CostsIncurredOilAndGasPropertyAcquisitionExplorationAndDevelopmentActivities,0.0,DEVELOPMENT_EXPLORATION_PROVED_AND_UNPROVED_ACQUISITION,LEASEHOLD_INFRASTRUCTURE_CORPORATE_CAPITAL_DRY_HOLE_OVERLAP_AND_ACQUISITION_PREMIUM_NOT_SEPARATELY_PROVEN
RRC,2021,21942000.0,455615000.0,381753000.0,,,,381753000.0,,LOCKED_NO_RECONCILED_ALL_IN_TOTAL,,,DEVELOPMENT_EXPLORATION_PROVED_AND_UNPROVED_ACQUISITION,LEASEHOLD_INFRASTRUCTURE_CORPORATE_CAPITAL_DRY_HOLE_OVERLAP_AND_ACQUISITION_PREMIUM_NOT_SEPARATELY_PROVEN
RRC,2022,28735000.0,535737000.0,460668000.0,,,,460668000.0,,LOCKED_NO_RECONCILED_ALL_IN_TOTAL,,,DEVELOPMENT_EXPLORATION_PROVED_AND_UNPROVED_ACQUISITION,LEASEHOLD_INFRASTRUCTURE_CORPORATE_CAPITAL_DRY_HOLE_OVERLAP_AND_ACQUISITION_PREMIUM_NOT_SEPARATELY_PROVEN
RRC,2023,40067000.0,642820000.0,568484000.0,,,,568484000.0,,LOCKED_NO_RECONCILED_ALL_IN_TOTAL,,,DEVELOPMENT_EXPLORATION_PROVED_AND_UNPROVED_ACQUISITION,LEASEHOLD_INFRASTRUCTURE_CORPORATE_CAPITAL_DRY_HOLE_OVERLAP_AND_ACQUISITION_PREMIUM_NOT_SEPARATELY_PROVEN
RRC,2024,57869000.0,692555000.0,577093000.0,,,,577093000.0,,LOCKED_NO_RECONCILED_ALL_IN_TOTAL,,,DEVELOPMENT_EXPLORATION_PROVED_AND_UNPROVED_ACQUISITION,LEASEHOLD_INFRASTRUCTURE_CORPORATE_CAPITAL_DRY_HOLE_OVERLAP_AND_ACQUISITION_PREMIUM_NOT_SEPARATELY_PROVEN
RRC,2025,51802000.0,707257000.0,601326000.0,,,,601326000.0,,LOCKED_NO_RECONCILED_ALL_IN_TOTAL,,,DEVELOPMENT_EXPLORATION_PROVED_AND_UNPROVED_ACQUISITION,LEASEHOLD_INFRASTRUCTURE_CORPORATE_CAPITAL_DRY_HOLE_OVERLAP_AND_ACQUISITION_PREMIUM_NOT_SEPARATELY_PROVEN
