ticker,sector,subindustry,source_status,source_path,source_sha256,sentences,frames,facts,reviews,abstentions,error,holdout_issuer,development_probe_issuer
EPD,ENERGY,midstream,PARSED,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\EPD\2026-07-30_0001061219-26-000017_EX-99.1_epd-20260730xex991q.htm,fe844e8d0e6b44aeee72e0b6c17d3b27f99a0cf9f867689eb77892d37b0b9b50,125,3,1,16,36,,False,False
SLB,ENERGY,services,PARSED,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\SLB\2024-04-02_0001193125-24-084191_EX-99.1_d501949dex991.htm,7fd2d687a795796f187b9ebc0cf8c35f254140f51e3a552ee662e2f56012092f,72,0,0,1,8,,False,False
HAL,ENERGY,services,PARSED,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HAL\2026-07-21_0000045012-26-000057_EX-99.1_livemastererdocument.htm,dcf8f2ab1e3ad65c8614af1110af263e7be40c6c9c34abc2a2ac9647bd5545e6,107,12,10,3,37,,False,False
BKR,ENERGY,services,PARSED,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\BKR\2026-07-27_0001701605-26-000021_EX-99.1_earningsreleaseex991063020.htm,97c5692979509c020b1fa80d65b02f2429fbb3c354ac0b35dee91d8b1ea45982,102,2,1,13,23,,True,False
GD,INDUSTRIALS,aerospace_defense,PARSED,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\GD\2026-08-07_0001193125-26-340490_EX-99.1_d129075dex991.htm,b5d62100a74ed24ca1375d48d3eb165cb94acb203b35c6281b6a43f6fe2c5492,8,0,0,0,1,,False,False
CARR,INDUSTRIALS,building_products,PARSED,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CARR\2026-07-24_0000950142-26-002161_EX-99.1_eh260811584_ex9901.htm,223565cc55a6638c9838d23be3c2a09fcebab4e338b47cac797af59ce722bf34,18,0,0,0,0,,False,True
PWR,INDUSTRIALS,construction_engineering,PARSED,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\PWR\2026-08-04_0001193125-26-331400_EX-99.1_d114917dex991.htm,5a731fec3925943bc6fca385a5ba2937306f70bd310877b89be47abfef18630f,32,0,0,0,0,,False,True
ETN,INDUSTRIALS,electrical_components,PARSED,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\ETN\2026-06-11_0000950142-26-001733_EX-99.1_eh260792115_ex9901.htm,5290124eaccea5abbe69fafb644f2a11d19bbc8f4ef7b029f7e4966b65bc2135,96,0,0,1,5,,False,True
GEV,INDUSTRIALS,heavy_electrical,PARSED,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\GEV\2024-04-25_0001996810-24-000004_EX-99.1_gev1q2024earningsrelease.htm,8129ff4c9f9b2ae902fc0280ab45b207e15d4fe917b9df6fb38b49a37b836502,93,2,1,7,17,,False,True
HON,INDUSTRIALS,industrial_conglomerates,PARSED,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HON\2026-08-19_0000773840-26-000130_EX-99.1_exhibit991-pressrelease.htm,d783f4d47898fa81feab2027ec43d7da03b0b4d8541835ee924ad6e5f5404666,40,0,0,0,2,,False,True
CAT,INDUSTRIALS,construction_machinery,PARSED,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2026-08-04_0000018230-26-000040_EX-99.1_ex991toformcat2q2026earnin.htm,2539b5761894163928553d200c8c219f97702cb454b97abccb3e2ff74a3dd1fd,127,2,2,20,26,,False,False
DE,INDUSTRIALS,agricultural_machinery,PARSED,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\DE\2026-08-20_0001104659-26-098904_EX-99.1_de-20260820xex99d1.htm,54cb2eea9e7afd5e309227f8d1764c9fbaafd5a652e10b73c87a3baf05385ce2,56,4,0,6,12,,False,True
ITW,INDUSTRIALS,industrial_machinery,PARSED,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\ITW\2026-07-28_0000049826-26-000047_EX-99.1_a20260630-2q26ex991pressre.htm,8668a266143199dbe971b08f67a232c9f75d7ebc25b67aad2cb78e51c7dc2796,41,1,1,1,17,,False,True
GWW,INDUSTRIALS,trading_distributors,PARSED,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\GWW\2026-08-04_0000277135-26-000076_EX-99.1_gww8kex991q22026.htm,85c4a9128eaa60b7da82a676f1f44c7b352f9445d483558737c143dc977fbaa1,98,4,4,5,24,,False,True
QUAD,INDUSTRIALS,commercial_printing,PARSED,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\QUAD\2026-08-25_0001481792-26-000143_EX-99.1_investorpresentation.htm,a36a9969ab15271566e9ed5608f4de606ffd5776f43f097e8fd7ef883d1b83af,25,0,0,0,11,,False,True
WM,INDUSTRIALS,environmental_services,PARSED,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\WM\2026-08-26_0001104659-26-101077_EX-99.1_tm2624023d1_ex99-1.htm,b2ba6d1b10691999425d4c503470fe44b84e586f9b77b4fef40e1ef522837605,27,0,0,0,0,,False,True
ACCO,INDUSTRIALS,office_services,PARSED,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\ACCO\2026-08-14_0001193125-26-350311_EX-99.1_acco-ex99_1.htm,835e9aaf45d64a4041a8bdba1a3fc778e912c50b8e414ab392bae4b9c4b5f770,26,0,0,0,5,,False,False
CTAS,INDUSTRIALS,diversified_support,PARSED,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CTAS\2026-03-11_0000950103-26-003567_EX-99.1_dp243132_ex9901.htm,9a2981c210436ae5fa0a33470c64863bf31e085a851f2b83e4abae86d63c648d,95,2,2,1,1,,True,False
ADT,INDUSTRIALS,security_alarm,PARSED,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\ADT\2026-07-30_0001703056-26-000097_EX-99.1_q22026adtearningsrelease-e.htm,1050ac690c08c8aa9440ffb9459d8e9b7eb17721e0bbdde8d45637da3d027dd6,102,1,1,1,26,,True,False
MAN,INDUSTRIALS,human_resources,PARSED,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\MAN\2026-08-11_0001193125-26-343480_EX-99.1_d229952dex991.htm,1d090f3a9483ac4161037846ff5ec8cf80c1ccb776c4b939146c58c1fb0aff90,14,0,0,0,1,,True,False
VRSK,INDUSTRIALS,research_consulting,PARSED,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\VRSK\2026-07-29_0001437749-26-024748_EX-99.1_ex_968691.htm,8ceeb9a265166b86e18122f387d36f8109e31fc8c706f2eb0b0a4c522f151daa,91,0,0,1,26,,True,False
UPS,INDUSTRIALS,air_freight_logistics,PARSED,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\UPS\2026-07-28_0001628280-26-049912_EX-99.1_exhibit991-earningspressre.htm,1cc4c7098f4c324c6d117a3b142f020a7c800602933ee885bb2247434522fb64,123,1,1,9,12,,True,False
DAL,INDUSTRIALS,passenger_airlines,PARSED,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\DAL\2026-07-10_0000027904-26-000029_EX-99.1_deltaairlinesannouncesjune.htm,1b3f7e74c170febbe156916a649588b17c69ee1b4a35dc23b400653e69d86dc4,127,1,1,7,35,,True,False
MATX,INDUSTRIALS,marine_transportation,PARSED,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\MATX\2026-08-03_0001104659-26-089794_EX-99.1_matx-20260803xex99d1.htm,5f075b746ef8fd9984fab137593f8f964e010d8d45e7ccf521f0fd4e62449d97,86,6,6,8,22,,True,False
UNP,INDUSTRIALS,rail_transportation,PARSED,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\UNP\2026-07-23_0000100885-26-000249_EX-99.1_a2026-07x238xkex991earning.htm,a1d565109c229ac0b84cc128a17de2f3a6554bde4acfc48690a4098b372cdbcd,41,0,0,2,8,,True,False
ODFL,INDUSTRIALS,cargo_ground_transport,PARSED,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\ODFL\2026-07-29_0000878927-26-000021_EX-99.1_odfl-ex99_1.htm,daf1fb24cdde9d5f9c42b170321d87d5f27605d57a7d009421781803cc86d225,44,0,0,4,10,,False,False
UBER,INDUSTRIALS,passenger_ground_transport,PARSED,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\UBER\2026-08-05_0001543151-26-000027_EX-99.1_uberq226earningspressrelea.htm,75095008d178bfa60bb42a2bde20a7f3e0dbc99546454527fb8189248bff1b2d,97,1,1,3,31,,False,False
PAC,INDUSTRIALS,airport_services,NO_ARCANA_IR_HTML,,,0,0,0,0,0,,False,False
FER,INDUSTRIALS,highways_railtracks,NO_ARCANA_IR_HTML,,,0,0,0,0,0,,False,False
KEX,INDUSTRIALS,marine_ports_services,PARSED,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\KEX\2026-07-29_0001193125-26-323594_EX-99.1_kex-ex99_1.htm,2a107d408fc2815383495eb70efaf5d83a45842830fea1120b19db9b20ee9a5b,110,15,15,6,17,,False,False
