period,form,filing_date,report_date,source_url,source_sha256,accounts_receivable_usd,inventory_usd,accounts_payable_usd,contract_assets_usd,contract_liabilities_usd,cash_usd,debt_current_usd,debt_noncurrent_usd,stockholders_equity_usd,pension_liability_usd,shares_outstanding,remaining_performance_obligation_usd,cumulative_combined_depreciation_amortization_usd,cumulative_depreciation_usd,cumulative_intangible_amortization_usd,cumulative_interest_expense_usd,total_debt_usd,nwc_chain_complete,operating_nwc_usd,change_operating_nwc_qoq_usd,change_operating_nwc_yoy_usd,discrete_combined_depreciation_amortization_usd,discrete_depreciation_usd,discrete_intangible_amortization_usd,discrete_interest_expense_usd
2022Q2,10-Q,2022-08-04,2022-06-30,https://www.sec.gov/Archives/edgar/data/1501585/000150158522000026/hii-20220630.htm,6b4376c95b627882e6a1b1a4637b62f7c8ea430d28acce8f2e0e82c4d5b781b6,681000000.0,196000000.0,528000000.0,1366000000.0,757000000.0,375000000.0,0.0,3102000000.0,2952000000.0,396000000.0,40000000.0,47200000000.0,,104000000.0,70000000.0,52000000.0,3102000000.0,True,958000000.0,-21000000.0,203000000.0,87000000.0,52000000.0,35000000.0,26000000.0
2022Q3,10-Q,2022-11-03,2022-09-30,https://www.sec.gov/Archives/edgar/data/1501585/000150158522000034/hii-20220930.htm,57998b25458f3a20d8ab189f4d1d7fc62bf7ae7299f006de9dae780a4081f114,721000000.0,174000000.0,539000000.0,1564000000.0,768000000.0,117000000.0,399000000.0,2605000000.0,3048000000.0,394000000.0,39900000.0,46700000000.0,,158000000.0,105000000.0,79000000.0,3004000000.0,True,1152000000.0,194000000.0,382000000.0,89000000.0,54000000.0,35000000.0,27000000.0
2022Q4,10-K,2023-02-09,2022-12-31,https://www.sec.gov/Archives/edgar/data/1501585/000150158523000010/hii-20221231.htm,cfcc6f7fd5211d6d8f36fcd6ed2a9b9a8d27927356fe1913e9b42f534685bf8e,636000000.0,183000000.0,642000000.0,1240000000.0,766000000.0,467000000.0,399000000.0,2506000000.0,3489000000.0,214000000.0,39900000.0,47100000000.0,358000000.0,218000000.0,140000000.0,102000000.0,2905000000.0,True,651000000.0,-501000000.0,,95000000.0,60000000.0,35000000.0,23000000.0
2023Q1,10-Q,2023-05-04,2023-03-31,https://www.sec.gov/Archives/edgar/data/1501585/000150158523000016/hii-20230331.htm,7677040d91a50e08f5092f2204c472ddc90d8ad7f1bdb3eca371625d64954a79,755000000.0,190000000.0,505000000.0,1298000000.0,810000000.0,318000000.0,399000000.0,2498000000.0,3563000000.0,216000000.0,39900000.0,47000000000.0,,55000000.0,32000000.0,24000000.0,2897000000.0,True,928000000.0,277000000.0,-51000000.0,87000000.0,55000000.0,32000000.0,24000000.0
2023Q2,10-Q,2023-08-03,2023-06-30,https://www.sec.gov/Archives/edgar/data/1501585/000150158523000026/hii-20230630.htm,240c989517686f107b5ebdb4e8faab041462605487b47ef2d93bb505ef3201e3,786000000.0,190000000.0,519000000.0,1266000000.0,833000000.0,313000000.0,484000000.0,2396000000.0,3646000000.0,218000000.0,39900000.0,46900000000.0,,110000000.0,64000000.0,48000000.0,2880000000.0,True,890000000.0,-38000000.0,-68000000.0,87000000.0,55000000.0,32000000.0,24000000.0
2023Q3,10-Q,2023-11-02,2023-09-30,https://www.sec.gov/Archives/edgar/data/1501585/000150158523000033/hii-20230930.htm,a978dd437797961c49f196e72ddcadbe80d8301e189d7eabf45e54dceab92f1e,698000000.0,194000000.0,535000000.0,1300000000.0,878000000.0,109000000.0,255000000.0,2213000000.0,3733000000.0,219000000.0,39779936.0,49400000000.0,,163000000.0,96000000.0,70000000.0,2468000000.0,True,779000000.0,-111000000.0,-373000000.0,85000000.0,53000000.0,32000000.0,22000000.0
2023Q4,10-K,2024-02-01,2023-12-31,https://www.sec.gov/Archives/edgar/data/1501585/000150158524000007/hii-20231231.htm,0b3d953af66e8986f467784154cf686e260e45e7a548fc9f7d2ee216d54c771b,461000000.0,186000000.0,554000000.0,1537000000.0,1063000000.0,430000000.0,231000000.0,2214000000.0,4093000000.0,212000000.0,39618880.0,48100000000.0,347000000.0,219000000.0,128000000.0,95000000.0,2445000000.0,True,567000000.0,-212000000.0,-84000000.0,88000000.0,56000000.0,32000000.0,25000000.0
2024Q1,10-Q,2024-05-02,2024-03-31,https://www.sec.gov/Archives/edgar/data/1501585/000150158524000013/hii-20240331.htm,4fa47c55238b6f0d1cbaaa8e5eda90085126d50b324357ebebba460643ff2d3c,718000000.0,199000000.0,608000000.0,1661000000.0,936000000.0,10000000.0,0.0,2235000000.0,4126000000.0,214000000.0,39509640.0,48400000000.0,,53000000.0,27000000.0,21000000.0,2235000000.0,True,1034000000.0,467000000.0,106000000.0,80000000.0,53000000.0,27000000.0,21000000.0
2024Q2,10-Q,2024-08-01,2024-06-30,https://www.sec.gov/Archives/edgar/data/1501585/000150158524000036/hii-20240630.htm,be9966ba3f35be49eab21b4c8839977cef91e77537bd2cea51bbc6544200634d,706000000.0,198000000.0,652000000.0,1694000000.0,886000000.0,11000000.0,0.0,1715000000.0,4178000000.0,216000000.0,39260208.0,48500000000.0,,106000000.0,54000000.0,45000000.0,1715000000.0,True,1060000000.0,26000000.0,170000000.0,80000000.0,53000000.0,27000000.0,24000000.0
2024Q3,10-Q,2024-10-31,2024-09-30,https://www.sec.gov/Archives/edgar/data/1501585/000150158524000042/hii-20240930.htm,a97548189124c42ee0911ff7c7ced36c6a4efc1e1ea10025c2afdcd823b729e1,436000000.0,205000000.0,579000000.0,1714000000.0,743000000.0,10000000.0,0.0,1709000000.0,4203000000.0,219000000.0,39129037.0,49400000000.0,,160000000.0,82000000.0,68000000.0,1709000000.0,True,1033000000.0,-27000000.0,254000000.0,82000000.0,54000000.0,28000000.0,23000000.0
2024Q4,10-K,2025-02-06,2024-12-31,https://www.sec.gov/Archives/edgar/data/1501585/000150158525000006/hii-20241231.htm,db9afdddcf4eac67785bb07386819b59aa3c2a28addf94448fad93d2a661c5c3,212000000.0,208000000.0,598000000.0,1683000000.0,774000000.0,831000000.0,503000000.0,,4666000000.0,142000000.0,39129419.0,48700000000.0,326000000.0,217000000.0,109000000.0,95000000.0,,True,731000000.0,-302000000.0,164000000.0,84000000.0,57000000.0,27000000.0,27000000.0
2025Q1,10-Q,2025-05-01,2025-03-31,https://www.sec.gov/Archives/edgar/data/1501585/000150158525000037/hii-20250331.htm,b1efdc3fd2c325117b31607fef86e968de29049cfdf95f6d8adb9e108cc70786,387000000.0,215000000.0,602000000.0,2017000000.0,647000000.0,167000000.0,0.0,2699000000.0,4773000000.0,142000000.0,39238707.0,48000000000.0,79000000.0,54000000.0,25000000.0,28000000.0,2699000000.0,True,1370000000.0,639000000.0,336000000.0,79000000.0,54000000.0,25000000.0,28000000.0
2025Q2,10-Q,2025-07-31,2025-06-30,https://www.sec.gov/Archives/edgar/data/1501585/000150158525000099/hii-20250630.htm,9f28d3329cea57d5f484b236d530e6e9b5b8e9e3968dc050213ac298aa952b84,377000000.0,215000000.0,650000000.0,1811000000.0,969000000.0,343000000.0,0.0,2700000000.0,4882000000.0,142000000.0,39240249.0,56900000000.0,162000000.0,110000000.0,52000000.0,56000000.0,2700000000.0,True,784000000.0,-586000000.0,-276000000.0,83000000.0,56000000.0,27000000.0,28000000.0
2025Q3,10-Q,2025-10-30,2025-09-30,https://www.sec.gov/Archives/edgar/data/1501585/000150158525000112/hii-20250930.htm,85ab8d8d07fd834c3e7182d97d540b714b3f719ad7d2bdbe371d9cacdbfb35e5,374000000.0,221000000.0,680000000.0,1869000000.0,893000000.0,312000000.0,0.0,2698000000.0,4984000000.0,142000000.0,39241108.0,55700000000.0,242000000.0,164000000.0,78000000.0,79000000.0,2698000000.0,True,891000000.0,107000000.0,-142000000.0,80000000.0,54000000.0,26000000.0,23000000.0
2025Q4,10-K,2026-02-05,2025-12-31,https://www.sec.gov/Archives/edgar/data/1501585/000150158526000006/hii-20251231.htm,e9c2363b3b156a5e2e0ceb49d9548f25fbf60ef9da574ac270867e9ead3b3a82,339000000.0,219000000.0,556000000.0,1758000000.0,1220000000.0,774000000.0,,,5073000000.0,155000000.0,39241527.0,53100000000.0,329000000.0,225000000.0,104000000.0,105000000.0,,True,540000000.0,-351000000.0,-191000000.0,87000000.0,61000000.0,26000000.0,26000000.0
2026Q1,10-Q,2026-05-05,2026-03-31,https://www.sec.gov/Archives/edgar/data/1501585/000150158526000029/hii-20260331.htm,517eb40c506fdafa020e4e4f8f7b4c2524632345fbe735b0b85c3c2d4653b85a,406000000.0,230000000.0,692000000.0,1989000000.0,822000000.0,216000000.0,0.0,2701000000.0,5147000000.0,155000000.0,39377769.0,54000000000.0,76000000.0,55000000.0,21000000.0,22000000.0,2701000000.0,True,1111000000.0,571000000.0,-259000000.0,76000000.0,55000000.0,21000000.0,22000000.0
2026Q2,10-Q,2026-07-30,2026-06-30,https://www.sec.gov/Archives/edgar/data/1501585/000150158526000047/hii-20260630.htm,cc018dfd509fe4bc6db1fdd5fc2bd89cfb56c4f601faf2bd09e4fdfaa7400191,452000000.0,236000000.0,737000000.0,2154000000.0,690000000.0,12000000.0,0.0,2702000000.0,5312000000.0,155000000.0,39404203.0,57300000000.0,155000000.0,112000000.0,43000000.0,49000000.0,2702000000.0,True,1415000000.0,304000000.0,631000000.0,79000000.0,57000000.0,22000000.0,27000000.0
