ticker,subindustry,quarter,ttm_revenue,operating_margin_pct,ttm_fcff_usd,fcff_margin_pct,roic_pct,incremental_roic_pct,probability_weighted_fair_value,probability_weighted_value_gap_pct,growth_expectations_gap_pct_points,margin_expectations_gap_pct_points,roic_expectations_gap_pct_points,cap_expectations_gap_years
MTDR,ep,2026Q1,3591945000.0,24.61652391670808,2326282950.6951666,64.76388003422008,7.550607056413297,-86.27770526490663,241.35606824663193,313.42251426996074,42.15205483000792,28.687898235383223,22.733866539011203,3
NOG,ep,2026Q1,1878654000.0,-33.977358257560994,1554695642.711378,82.75582639013773,-11.368206761299444,337.6400320722244,84.68395571860356,209.74380119228977,27.38018302162046,9.601714803040178,10.049913152100313,4
OVV,ep,2026Q1,8865000000.0,5.256627185561196,1998871071.4285717,22.54789702683104,2.1010788134777676,-19.95588418554454,54.252682356769824,-18.807718711808096,-35.866864438867054,-9.988913875932816,-47.5104239775527,4
PR,ep,2026Q1,5076906000.0,28.078341415027186,2482806146.540568,48.903921926869785,7.689995980820541,-52.18463671541268,30.283686694615987,27.510259766804147,21.4,7.203039622154606,3.819341583764462,4
PSX,refining,2026Q1,134486000000.0,4.562556697351397,3343342594.9199057,2.4860153435449828,10.569742904831191,41.76840871049752,302.7632482271622,24.66062268460767,-1.7000000000000028,-0.07908002444329654,-0.7799227812517966,-1
RRC,ep,2026Q1,3209317000.0,38.95754143327069,927429671.6462357,28.898038792871994,18.235739402093262,519.5397992880156,52.73092203734663,28.424063014394818,1.017561207928365,0.594818219525802,1.2738107879335931,-1
SLB,services,2026Q1,35939000000.0,13.108322435237485,5102798280.190966,14.198498233648587,12.17977481154075,-15.988345917253463,52.72724086065267,-2.121325587321876,-5.965446178709014,-1.4932142859150233,-25.109648329301773,3
SM,ep,2026Q1,3775380000.0,11.27600400489487,2326057916.81405,61.61122633520467,6.060251137194961,-29.92059887788516,126.36197383828522,239.6827184051391,50.0,28.003773175062715,21.73700911616774,4
VLO,refining,2026Q1,124810000000.0,4.656678150789199,5008534674.128666,4.012927388934113,13.315872176914779,2185.6881230276304,347.1017753872942,-0.5039872837512394,-17.900000000000006,-1.428329251261613,-47.553144694013156,-7
WMB,midstream,2026Q1,11932000000.0,37.06838752933289,1949670800.3829513,16.33984914836533,7.831276890241607,25.06915530813766,20.483042244065924,-70.94191677569364,-43.75,-30.827965022668558,-53.56295983973091,-15
XOM,integrated,2026Q1,334246000000.0,11.167822501989551,19281450751.799362,5.768640687337878,9.05912042029094,-85.81049838200038,181.28499739391407,9.796497319223207,-0.10000000000000142,-0.04666470958394697,-0.056822493113818595,0
