ticker,subindustry,base_financial_quarter,primary_anchor,anchor_route,scenario,probability,probability_class,assumption_validation,growth_pct,operating_margin_pct,roic_pct,reinvestment_rate_pct,wacc_pct,terminal_growth_pct,tax_rate_pct,historical_observations,minimum_history_pass,anchor_growth_override_used,anchor_growth_pct,anchor_growth_source,fixed_ratio_used,production_eligible
HAL,services,2026Q1,ACTIVITY_PLUS_PRICING_PLUS_OPERATING_MARGIN,STRUCTURAL_REVENUE_PLUS_ACTIVITY_MARGIN_BRIDGE,BULL,0.2,PLAUSIBLE,PASS,20.0,17.18901141062403,21.415655378973256,93.3896238339584,5.95859906063754,2.5,18.45342706502636,20,True,True,0.22995905975000674,PHASE2_4_SERVICES_SELECTED_RESEARCH_ROUTE,False,False
KMI,midstream,2026Q1,VOLUME_PLUS_FEE_PLUS_ADJUSTED_EBITDA,LAG_ADJUSTED_EBITDA_PLUS_VOLUME_FEE_BRIDGE,BEAR,0.2,PLAUSIBLE,PASS,-3.4662785377290284,21.144587207841166,4.60967073934367,-50.0,7.606857137616917,1.0,22.282608695652172,20,True,True,11.511156186612581,MIDSTREAM_LATEST_ADJUSTED_EBITDA_YOY_ANCHOR,False,False
KMI,midstream,2026Q1,VOLUME_PLUS_FEE_PLUS_ADJUSTED_EBITDA,LAG_ADJUSTED_EBITDA_PLUS_VOLUME_FEE_BRIDGE,BASE,0.6,PROBABLE,PASS,11.511156186612581,27.04489493637857,5.2816385480989005,150.0,6.106857137616917,2.0,22.282608695652172,20,True,True,11.511156186612581,MIDSTREAM_LATEST_ADJUSTED_EBITDA_YOY_ANCHOR,False,False
KMI,midstream,2026Q1,VOLUME_PLUS_FEE_PLUS_ADJUSTED_EBITDA,LAG_ADJUSTED_EBITDA_PLUS_VOLUME_FEE_BRIDGE,BULL,0.2,PLAUSIBLE,PASS,12.0,28.012152819478445,5.5008635246266095,150.0,5.106857137616917,2.5,22.282608695652172,20,True,True,11.511156186612581,MIDSTREAM_LATEST_ADJUSTED_EBITDA_YOY_ANCHOR,False,False
MGY,ep,2026Q1,PRODUCTION_PLUS_REALIZED_PRICE,V3.5.3_GROUPED_REVENUE_PLUS_CONDITIONAL_COST_REINVESTMENT,BEAR,0.2,PLAUSIBLE,PASS,-15.0,36.124830084648764,19.190474407380897,-50.0,8.283254391053909,1.0,17.160132759357236,18,True,False,,HISTORICAL_PIT_DISTRIBUTION,False,False
MGY,ep,2026Q1,PRODUCTION_PLUS_REALIZED_PRICE,V3.5.3_GROUPED_REVENUE_PLUS_CONDITIONAL_COST_REINVESTMENT,BASE,0.6,PROBABLE,PASS,-0.8319554298391874,45.488414931776006,30.673019822640263,-2.712336231156175,6.78325439105391,2.0,17.160132759357236,18,True,False,,HISTORICAL_PIT_DISTRIBUTION,False,False
MGY,ep,2026Q1,PRODUCTION_PLUS_REALIZED_PRICE,V3.5.3_GROUPED_REVENUE_PLUS_CONDITIONAL_COST_REINVESTMENT,BULL,0.2,PROBABLE,PASS,20.0,50.0,35.0,57.14285714285714,5.78325439105391,2.5,17.160132759357236,18,True,False,,HISTORICAL_PIT_DISTRIBUTION,False,False
MPC,refining,2026Q1,THROUGHPUT_PLUS_REFINING_MARGIN,P2.1_REVENUE_PLUS_THROUGHPUT_CRACK_CAPTURE_BRIDGE,BEAR,0.2,PLAUSIBLE,PASS,20.0,4.116299052098086,9.003600141742982,150.0,7.873720721411169,1.0,17.69825918762089,20,True,True,49.07521341494034,PHASE2_4_REFINING_SELECTED_RESEARCH_ROUTE,False,False
MPC,refining,2026Q1,THROUGHPUT_PLUS_REFINING_MARGIN,P2.1_REVENUE_PLUS_THROUGHPUT_CRACK_CAPTURE_BRIDGE,BASE,0.6,PROBABLE,PASS,20.0,6.450869821050619,14.031673591020162,142.5346725054906,6.373720721411169,2.0,17.69825918762089,20,True,True,49.07521341494034,PHASE2_4_REFINING_SELECTED_RESEARCH_ROUTE,False,False
MPC,refining,2026Q1,THROUGHPUT_PLUS_REFINING_MARGIN,P2.1_REVENUE_PLUS_THROUGHPUT_CRACK_CAPTURE_BRIDGE,BULL,0.2,PLAUSIBLE,PASS,20.0,10.778877847519949,24.488376775524095,81.67139938809588,5.373720721411169,2.5,17.69825918762089,20,True,True,49.07521341494034,PHASE2_4_REFINING_SELECTED_RESEARCH_ROUTE,False,False
MTDR,ep,2026Q1,PRODUCTION_PLUS_REALIZED_PRICE,V3.5.3_GROUPED_REVENUE_PLUS_CONDITIONAL_COST_REINVESTMENT,BEAR,0.2,PLAUSIBLE,PASS,-3.7074139638463146,-4.5805134973867645,2.0,-50.0,7.745821698485839,1.0,21.0,20,True,False,,HISTORICAL_PIT_DISTRIBUTION,False,False
MTDR,ep,2026Q1,PRODUCTION_PLUS_REALIZED_PRICE,V3.5.3_GROUPED_REVENUE_PLUS_CONDITIONAL_COST_REINVESTMENT,BASE,0.6,PROBABLE,PASS,12.15205483000792,42.68789823538322,26.1338665390112,46.499261071330565,6.245821698485839,2.0,21.0,20,True,False,,HISTORICAL_PIT_DISTRIBUTION,False,False
MTDR,ep,2026Q1,PRODUCTION_PLUS_REALIZED_PRICE,V3.5.3_GROUPED_REVENUE_PLUS_CONDITIONAL_COST_REINVESTMENT,BULL,0.2,PLAUSIBLE,PASS,20.0,49.934100267429116,35.0,57.14285714285714,5.245821698485839,2.5,21.0,20,True,False,,HISTORICAL_PIT_DISTRIBUTION,False,False
