ticker,subindustry,scenario,enterprise_value_usd,pv_explicit_fcff_usd,pv_terminal_value_usd,terminal_value_share,terminal_value_share_pct,terminal_dependence_status
DVN,ep,BASE,72967813294.25754,12289659428.755875,60678153865.50166,0.8315742397377961,83.15742397377961,HIGH_TERMINAL_DEPENDENCE
DVN,ep,BULL,177229627989.14038,17814035210.405487,159415592778.7349,0.8994861332581647,89.94861332581647,HIGH_TERMINAL_DEPENDENCE
EOG,ep,BEAR,28212901803.1195,8366719777.931477,19846182025.188023,0.7034434870855302,70.34434870855301,TERMINAL_DEPENDENCE_WARNING
EOG,ep,BASE,127632258702.26196,23595931988.42006,104036326713.8419,0.8151256412106269,81.5125641210627,HIGH_TERMINAL_DEPENDENCE
EOG,ep,BULL,305785268364.8355,31689415529.90915,274095852834.92636,0.8963670954478415,89.63670954478415,HIGH_TERMINAL_DEPENDENCE
EPD,midstream,BEAR,84849443040.8959,21457831314.79425,63391611726.101654,0.7471069868490243,74.71069868490244,TERMINAL_DEPENDENCE_WARNING
EPD,midstream,BASE,162030532335.6465,23562869856.07022,138467662479.5763,0.8545775940101233,85.45775940101234,HIGH_TERMINAL_DEPENDENCE
EPD,midstream,BULL,354152738834.23364,19703536161.477356,334449202672.7563,0.9443642982224687,94.43642982224686,HIGH_TERMINAL_DEPENDENCE
EQT,ep,BEAR,-29109197398.656296,-23881245105.099346,-5227952293.55695,0.17959795393734476,17.959795393734478,UNSTABLE_OR_NONPOSITIVE_ENTERPRISE_VALUE
EQT,ep,BASE,21628993237.810226,9655706631.974386,11973286605.83584,0.5535757709196106,55.35757709196106,NORMAL
EQT,ep,BULL,103399152998.59138,11759044119.175217,91640108879.41617,0.8862752374834694,88.62752374834693,HIGH_TERMINAL_DEPENDENCE
ET,midstream,BEAR,95477961190.53922,20965747013.69136,74512214176.84785,0.7804127072649638,78.04127072649638,TERMINAL_DEPENDENCE_WARNING
ET,midstream,BASE,175025075590.17664,23419491468.211395,151605584121.96524,0.8661935074774747,86.61935074774748,HIGH_TERMINAL_DEPENDENCE
ET,midstream,BULL,314460929997.6005,13840652418.836487,300620277578.76404,0.9559860984353697,95.59860984353698,HIGH_TERMINAL_DEPENDENCE
FANG,ep,BEAR,40150810941.70343,1038370102.2088699,39112440839.49456,0.9741382533041109,97.41382533041109,HIGH_TERMINAL_DEPENDENCE
FANG,ep,BASE,166453901320.6653,13598137877.450317,152855763443.215,0.9183068839506852,91.83068839506852,HIGH_TERMINAL_DEPENDENCE
FANG,ep,BULL,333411594235.4355,20978696921.56317,312432897313.8723,0.9370786820726178,93.70786820726178,HIGH_TERMINAL_DEPENDENCE
HAL,services,BEAR,23475019116.146954,6729567629.604631,16745451486.542322,0.7133306858533804,71.33306858533804,TERMINAL_DEPENDENCE_WARNING
HAL,services,BASE,43414304068.858795,8616510657.707863,34797793411.15093,0.8015283017311221,80.1528301731122,HIGH_TERMINAL_DEPENDENCE
HAL,services,BULL,89556811537.81633,11653137247.390778,77903674290.42555,0.869879944950138,86.9879944950138,HIGH_TERMINAL_DEPENDENCE
KMI,midstream,BEAR,29831366105.45126,7239856142.268787,22591509963.182472,0.7573072544959378,75.73072544959378,TERMINAL_DEPENDENCE_WARNING
KMI,midstream,BASE,55991114100.32078,6644397336.30954,49346716764.01124,0.8813312175856227,88.13312175856227,HIGH_TERMINAL_DEPENDENCE
KMI,midstream,BULL,98331899688.6588,4079923446.2575836,94251976242.40121,0.9585086481683406,95.85086481683406,HIGH_TERMINAL_DEPENDENCE
MGY,ep,BEAR,3395027897.64647,1213741040.4540381,2181286857.192432,0.6424945311066699,64.24945311066699,NORMAL
MGY,ep,BASE,8472454848.64063,1828355991.9451036,6644098856.695526,0.7841999721912409,78.4199972191241,TERMINAL_DEPENDENCE_WARNING
MGY,ep,BULL,20209955433.16657,2361844301.10009,17848111132.06648,0.8831346111123003,88.31346111123003,HIGH_TERMINAL_DEPENDENCE
MPC,refining,BEAR,51165464907.99962,15508987326.093056,35656477581.90656,0.6968856365523172,69.68856365523172,NORMAL
MPC,refining,BASE,130553794122.00912,26142852115.56488,104410942006.44424,0.799754175729791,79.9754175729791,TERMINAL_DEPENDENCE_WARNING
MPC,refining,BULL,442377258563.4341,44568031378.758545,397809227184.67554,0.8992533397320474,89.92533397320473,HIGH_TERMINAL_DEPENDENCE
MTDR,ep,BEAR,-25418016.24988091,403166042.1211598,-428584058.3710407,16.86142829391923,1686.1428293919228,UNSTABLE_OR_NONPOSITIVE_ENTERPRISE_VALUE
MTDR,ep,BASE,29449750085.92203,4156064549.5303535,25293685536.391678,0.8588760672873387,85.88760672873387,HIGH_TERMINAL_DEPENDENCE
MTDR,ep,BULL,69364269585.65363,6100394350.469727,63263875235.1839,0.9120527847130758,91.20527847130758,HIGH_TERMINAL_DEPENDENCE
NOG,ep,BEAR,-812486301.5861207,886565465.4738704,-1699051767.0599911,2.091175892741987,209.11758927419868,UNSTABLE_OR_NONPOSITIVE_ENTERPRISE_VALUE
NOG,ep,BASE,9247813996.209562,1117696350.3810434,8130117645.828519,0.879139399771756,87.9139399771756,HIGH_TERMINAL_DEPENDENCE
NOG,ep,BULL,33393171644.24742,3218776395.4276314,30174395248.81979,0.903609743042119,90.36097430421191,HIGH_TERMINAL_DEPENDENCE
OVV,ep,BEAR,6520652429.803373,4334551787.188931,2186100642.614442,0.33525796170681077,33.525796170681076,NORMAL
OVV,ep,BASE,20218592518.77266,7082263736.923138,13136328781.849522,0.6497152939628531,64.9715293962853,NORMAL
OVV,ep,BULL,48096463705.58344,9154034350.062988,38942429355.520454,0.8096734428107173,80.96734428107173,HIGH_TERMINAL_DEPENDENCE
PR,ep,BEAR,-119519046.3639028,28226829.574938893,-147745875.9388417,1.2361701371762617,123.61701371762616,UNSTABLE_OR_NONPOSITIVE_ENTERPRISE_VALUE
PR,ep,BASE,27758366490.689705,1815350006.1518478,25943016484.537857,0.9346016990315072,93.46016990315073,HIGH_TERMINAL_DEPENDENCE
PR,ep,BULL,63990629314.09153,4087788606.436882,59902840707.65465,0.9361189497547776,93.61189497547777,HIGH_TERMINAL_DEPENDENCE
PSX,refining,BEAR,28903175741.314545,8253177229.787861,20649998511.526684,0.7144543110537618,71.44543110537617,TERMINAL_DEPENDENCE_WARNING
PSX,refining,BASE,93635822163.55983,18931231782.98741,74704590380.57242,0.7978206273458144,79.78206273458144,TERMINAL_DEPENDENCE_WARNING
PSX,refining,BULL,302528740097.3158,31879885133.36917,270648854963.94662,0.8946219617907567,89.46219617907568,HIGH_TERMINAL_DEPENDENCE
RRC,ep,BEAR,-8595807853.67321,-6995288114.053934,-1600519739.6192756,0.186197710193735,18.6197710193735,UNSTABLE_OR_NONPOSITIVE_ENTERPRISE_VALUE
RRC,ep,BASE,11363438932.027668,3451033154.388961,7912405777.638707,0.6963038060016955,69.63038060016954,NORMAL
RRC,ep,BULL,28154223487.08167,4501316508.271591,23652906978.810078,0.8401193160117884,84.01193160117883,HIGH_TERMINAL_DEPENDENCE
SLB,services,BEAR,45553526381.966805,10665424058.288223,34888102323.67858,0.7658705065145006,76.58705065145006,TERMINAL_DEPENDENCE_WARNING
SLB,services,BASE,82653753140.46674,13617217117.097397,69036536023.36934,0.8352498634398914,83.52498634398914,HIGH_TERMINAL_DEPENDENCE
SLB,services,BULL,145890823555.01422,17627556374.274902,128263267180.73932,0.8791729599934179,87.91729599934179,HIGH_TERMINAL_DEPENDENCE
SM,ep,BEAR,4613247155.810714,485584919.9923191,4127662235.8183947,0.8947411869358245,89.47411869358245,HIGH_TERMINAL_DEPENDENCE
SM,ep,BASE,28356136968.84457,3577064660.7568398,24779072308.08773,0.8738521871054922,87.38521871054921,HIGH_TERMINAL_DEPENDENCE
SM,ep,BULL,57738528703.61018,5704619461.947395,52033909241.66279,0.9011990850818008,90.11990850818007,HIGH_TERMINAL_DEPENDENCE
VLO,refining,BEAR,17303005802.24382,6586916132.262747,10716089669.981073,0.6193195443875671,61.93195443875671,NORMAL
VLO,refining,BASE,67465388851.156235,16360802003.111305,51104586848.04493,0.7574934009613893,75.74934009613892,TERMINAL_DEPENDENCE_WARNING
VLO,refining,BULL,252041601643.6358,33786797373.376556,218254804270.25925,0.865947537418255,86.5947537418255,HIGH_TERMINAL_DEPENDENCE
WMB,midstream,BEAR,23173469132.656815,4704525621.763821,18468943510.892994,0.7969865627441146,79.69865627441146,TERMINAL_DEPENDENCE_WARNING
WMB,midstream,BASE,43895143359.50646,4963368630.393532,38931774729.11293,0.8869267018963134,88.69267018963134,HIGH_TERMINAL_DEPENDENCE
WMB,midstream,BULL,94779141211.57213,5217530667.592056,89561610543.98007,0.944950644193482,94.4950644193482,HIGH_TERMINAL_DEPENDENCE
XOM,integrated,BEAR,321933579787.6522,87917155910.73236,234016423876.91986,0.7269090227595313,72.69090227595314,TERMINAL_DEPENDENCE_WARNING
XOM,integrated,BASE,593448049801.68,111757408860.06628,481690640941.6138,0.8116812265245228,81.16812265245228,HIGH_TERMINAL_DEPENDENCE
XOM,integrated,BULL,1339299610339.7363,134029709916.4021,1205269900423.3342,0.8999255216072204,89.99255216072204,HIGH_TERMINAL_DEPENDENCE
