ticker,subindustry,variable,test,target_enterprise_value_usd,solved_assumption,original_assumption,assumption_error,forward_roundtrip_error_pct,solver_status
ET,midstream,operating_margin,A_FORWARD_BASE_TO_REVERSE,175025075590.17664,13.05679824242543,13.05679824242517,2.5934809855243657e-13,1.9877174139299506e-12,SOLVED
ET,midstream,operating_margin,B_MARKET_REVERSE_TO_FORWARD,155945909000.0,11.63350030661968,13.05679824242517,,-7.04496077867615e-12,SOLVED
ET,midstream,roic,A_FORWARD_BASE_TO_REVERSE,175025075590.17664,8.201627340157572,8.201627340167292,-9.72022462519817e-12,-5.368580629377471e-11,SOLVED
ET,midstream,roic,B_MARKET_REVERSE_TO_FORWARD,155945909000.0,6.610875566075263,8.201627340167292,,-3.8258050895310753e-11,SOLVED
FANG,ep,growth,A_FORWARD_BASE_TO_REVERSE,166453901320.6653,16.51329813268967,16.513298132646565,4.310507506488648e-11,6.682725450293482e-11,SOLVED
FANG,ep,growth,B_MARKET_REVERSE_TO_FORWARD,79169338287.24002,-25.33755776612088,16.513298132646565,,-4.868513746070707e-11,SOLVED
FANG,ep,operating_margin,A_FORWARD_BASE_TO_REVERSE,166453901320.6653,46.76628893701127,46.766288937009925,1.3429257705865894e-12,2.8417625371618375e-12,SOLVED
FANG,ep,operating_margin,B_MARKET_REVERSE_TO_FORWARD,79169338287.24002,22.243132302188314,46.766288937009925,,-5.381191757335477e-11,SOLVED
FANG,ep,roic,A_FORWARD_BASE_TO_REVERSE,166453901320.6653,15.24784118430689,15.247841184290348,1.6543211245334533e-11,2.8362623516060405e-11,SOLVED
FANG,ep,roic,B_MARKET_REVERSE_TO_FORWARD,79169338287.24002,5.074305767233911,15.247841184290348,,-4.556281273044795e-11,SOLVED
HAL,services,growth,A_FORWARD_BASE_TO_REVERSE,43414304068.858795,3.6257569865556434,3.625756986536174,1.9469315049036595e-11,2.7572755745537193e-11,SOLVED
HAL,services,growth,B_MARKET_REVERSE_TO_FORWARD,34634956082.37158,-11.4340939958347,3.625756986536174,,8.326590990771737e-12,SOLVED
HAL,services,operating_margin,A_FORWARD_BASE_TO_REVERSE,43414304068.858795,13.294533492531627,13.29453349252246,9.167777648144693e-12,6.89582495509802e-11,SOLVED
HAL,services,operating_margin,B_MARKET_REVERSE_TO_FORWARD,34634956082.37158,10.606080035708146,13.29453349252246,,-5.370430908862829e-11,SOLVED
HAL,services,roic,A_FORWARD_BASE_TO_REVERSE,43414304068.858795,14.216627513595453,14.216627513592615,2.8386182293616002e-12,3.6025589087540626e-12,SOLVED
HAL,services,roic,B_MARKET_REVERSE_TO_FORWARD,34634956082.37158,6.712858065967884,14.216627513592615,,-7.062182729210102e-11,SOLVED
KMI,midstream,growth,A_FORWARD_BASE_TO_REVERSE,55991114100.32078,4.913425328209996,4.913425328077775,1.3222134498391824e-10,-8.557178835628046e-12,SOLVED
KMI,midstream,growth,B_MARKET_REVERSE_TO_FORWARD,102170100933.41559,,4.913425328077775,,-45.165771769439765,UNBRACKETED_NO_SOLUTION_IN_DOMAIN
KMI,midstream,operating_margin,A_FORWARD_BASE_TO_REVERSE,55991114100.32078,24.817492447036784,24.817492447049435,-1.2651213410208584e-11,-5.097516882816006e-11,SOLVED
KMI,midstream,operating_margin,B_MARKET_REVERSE_TO_FORWARD,102170100933.41559,45.285859175550286,24.817492447049435,,-9.856896185130675e-13,SOLVED
KMI,midstream,roic,A_FORWARD_BASE_TO_REVERSE,55991114100.32078,6.010553534396967,6.010553534390651,6.316724920907291e-12,6.356566762452999e-11,SOLVED
KMI,midstream,roic,B_MARKET_REVERSE_TO_FORWARD,102170100933.41559,,6.010553534390651,,-15.375434602219428,UNBRACKETED_NO_SOLUTION_IN_DOMAIN
MGY,ep,growth,A_FORWARD_BASE_TO_REVERSE,8472454848.64063,-0.44559989537810907,-0.4455998953782483,1.3922196728799463e-13,2.363796680220081e-13,SOLVED
MGY,ep,growth,B_MARKET_REVERSE_TO_FORWARD,5473504046.376756,-21.66016617004061,-0.4455998953782483,,5.453546000989102e-12,SOLVED
MGY,ep,operating_margin,A_FORWARD_BASE_TO_REVERSE,8472454848.64063,41.29734310199274,41.29734310200564,-1.290345608140342e-11,-3.12246285282405e-11,SOLVED
MGY,ep,operating_margin,B_MARKET_REVERSE_TO_FORWARD,5473504046.376756,26.679537231160793,41.29734310200564,,8.821502684667036e-11,SOLVED
MGY,ep,roic,A_FORWARD_BASE_TO_REVERSE,8472454848.64063,25.542920094158035,25.54292009432819,-1.701536689324712e-10,-4.8480344293847087e-11,SOLVED
MGY,ep,roic,B_MARKET_REVERSE_TO_FORWARD,5473504046.376756,4.356652555865911,25.54292009432819,,-4.04224495919959e-12,SOLVED
MPC,refining,growth,A_FORWARD_BASE_TO_REVERSE,130553794122.00912,0.8236938929185271,0.8236938929741809,-5.565381488992216e-11,-8.376603831883682e-11,SOLVED
MPC,refining,growth,B_MARKET_REVERSE_TO_FORWARD,140536383333.56796,5.802916863234714,0.8236938929741809,,1.5113690754788794e-11,SOLVED
MPC,refining,operating_margin,A_FORWARD_BASE_TO_REVERSE,130553794122.00912,6.058791428105906,6.058791428111415,-5.509370737399877e-12,-9.093062342968473e-11,SOLVED
MPC,refining,operating_margin,B_MARKET_REVERSE_TO_FORWARD,140536383333.56796,6.52206732409104,6.058791428111415,,7.426554939853113e-12,SOLVED
MPC,refining,roic,A_FORWARD_BASE_TO_REVERSE,130553794122.00912,13.610018212351132,13.610018212418565,-6.743228198047291e-11,-7.950001292657013e-11,SOLVED
MPC,refining,roic,B_MARKET_REVERSE_TO_FORWARD,140536383333.56796,26.001876767061184,13.610018212418565,,-9.98676203753932e-11,SOLVED
MTDR,ep,growth,A_FORWARD_BASE_TO_REVERSE,29449750085.92203,11.768870097119361,11.768870097158958,-3.959677030707098e-11,-7.076355860850394e-11,SOLVED
MTDR,ep,growth,B_MARKET_REVERSE_TO_FORWARD,11016201024.896656,,11.768870097158958,,13.651485554123793,UNBRACKETED_NO_SOLUTION_IN_DOMAIN
MTDR,ep,operating_margin,A_FORWARD_BASE_TO_REVERSE,29449750085.92203,39.596336306713056,39.59633630670868,4.376943252282217e-12,1.1049115045406162e-11,SOLVED
MTDR,ep,operating_margin,B_MARKET_REVERSE_TO_FORWARD,11016201024.896656,14.811711451940937,39.59633630670868,,7.638951167421796e-11,SOLVED
MTDR,ep,roic,A_FORWARD_BASE_TO_REVERSE,29449750085.92203,22.667103443769154,22.66710344375829,1.0864198429771932e-11,6.942937472846075e-12,SOLVED
MTDR,ep,roic,B_MARKET_REVERSE_TO_FORWARD,11016201024.896656,4.264058300698707,22.66710344375829,,-1.315866474895867e-11,SOLVED
NOG,ep,growth,A_FORWARD_BASE_TO_REVERSE,9247813996.209562,12.549676677794196,12.54967667782221,-2.801492371418135e-11,-4.12703436273928e-11,SOLVED
NOG,ep,growth,B_MARKET_REVERSE_TO_FORWARD,5406816318.962444,-20.012380973319523,12.54967667782221,,6.714927802939134e-11,SOLVED
NOG,ep,operating_margin,A_FORWARD_BASE_TO_REVERSE,9247813996.209562,27.10620528360596,27.106205283606503,-5.435651928564766e-13,-1.9799865008644222e-12,SOLVED
NOG,ep,operating_margin,B_MARKET_REVERSE_TO_FORWARD,5406816318.962444,15.847882876172662,27.106205283606503,,6.6320274596929716e-12,SOLVED
NOG,ep,roic,A_FORWARD_BASE_TO_REVERSE,9247813996.209562,15.178565310221165,15.178565310250514,-2.934896770057094e-11,-4.747842630197812e-11,SOLVED
NOG,ep,roic,B_MARKET_REVERSE_TO_FORWARD,5406816318.962444,5.639223979238704,15.178565310250514,,-9.242506353401906e-11,SOLVED
OVV,ep,growth,A_FORWARD_BASE_TO_REVERSE,20218592518.77266,-8.361437580781057,-8.361437580773632,-7.425171588693047e-12,-9.20722975101535e-12,SOLVED
OVV,ep,growth,B_MARKET_REVERSE_TO_FORWARD,25152662918.82,11.244244507630356,-8.361437580773632,,1.69861177374711e-12,SOLVED
OVV,ep,operating_margin,A_FORWARD_BASE_TO_REVERSE,20218592518.77266,22.89861337005277,22.898613370054363,-1.5916157281026244e-12,-6.943156861421412e-12,SOLVED
OVV,ep,operating_margin,B_MARKET_REVERSE_TO_FORWARD,25152662918.82,28.4867061280529,22.898613370054363,,-4.107000610095691e-11,SOLVED
OVV,ep,roic,A_FORWARD_BASE_TO_REVERSE,20218592518.77266,12.921181646385229,12.921181646212649,1.7258017237509193e-10,5.501697121713271e-11,SOLVED
OVV,ep,roic,B_MARKET_REVERSE_TO_FORWARD,25152662918.82,,12.921181646212649,,-17.01958052372242,UNBRACKETED_NO_SOLUTION_IN_DOMAIN
PR,ep,growth,A_FORWARD_BASE_TO_REVERSE,27758366490.689705,15.138106106547639,15.138106106573883,-2.62438959452993e-11,-2.7113979158689027e-11,SOLVED
PR,ep,growth,B_MARKET_REVERSE_TO_FORWARD,23261182945.0,-0.6408477820223197,15.138106106573883,,-4.755829527874641e-12,SOLVED
PR,ep,operating_margin,A_FORWARD_BASE_TO_REVERSE,27758366490.689705,34.321437297272496,34.32143729725966,1.283240180782741e-11,3.7393379265480404e-11,SOLVED
PR,ep,operating_margin,B_MARKET_REVERSE_TO_FORWARD,23261182945.0,28.760958688799292,34.32143729725966,,4.682032173131759e-11,SOLVED
PR,ep,roic,A_FORWARD_BASE_TO_REVERSE,27758366490.689705,11.228157047143034,11.228157047153477,-1.0443201858834072e-11,-3.838284023832664e-11,SOLVED
PR,ep,roic,B_MARKET_REVERSE_TO_FORWARD,23261182945.0,8.063701532620328,11.228157047153477,,7.109145173564335e-11,SOLVED
PSX,refining,growth,A_FORWARD_BASE_TO_REVERSE,93635822163.55983,2.8851435482501984,2.8851435482731187,-2.2920332298781432e-11,-2.64482268390604e-11,SOLVED
PSX,refining,growth,B_MARKET_REVERSE_TO_FORWARD,112054086349.70947,19.883245364530012,2.8851435482731187,,-2.7302772319103222e-11,SOLVED
PSX,refining,operating_margin,A_FORWARD_BASE_TO_REVERSE,93635822163.55983,4.823112967045745,4.823112967044334,1.411315508903499e-12,2.9251119640242404e-11,SOLVED
PSX,refining,operating_margin,B_MARKET_REVERSE_TO_FORWARD,112054086349.70947,5.771824333845871,4.823112967044334,,-5.3679565327633364e-11,SOLVED
PSX,refining,roic,A_FORWARD_BASE_TO_REVERSE,93635822163.55983,11.387449375120926,11.387449375081452,3.9474201685152366e-11,7.825285599579054e-11,SOLVED
PSX,refining,roic,B_MARKET_REVERSE_TO_FORWARD,112054086349.70947,,11.387449375081452,,-1.1530077635895823,UNBRACKETED_NO_SOLUTION_IN_DOMAIN
