ticker,subindustry,scenario,variable,raw_value,clipped_value,lower_bound,upper_bound,hit_lower_bound,hit_upper_bound,boundary_hit,boundary_side,same_boundary_all_three_scenarios
EPD,midstream,BASE,terminal_growth,2.0,2.0,0.0,3.0,False,False,False,NONE,False
EPD,midstream,BULL,growth,12.399886495897267,12.0,-5.0,12.0,False,True,True,UPPER,False
EPD,midstream,BULL,operating_margin,19.84255486431374,19.84255486431374,0.0,40.0,False,False,False,NONE,False
EPD,midstream,BULL,reinvestment_rate,65.0885535482283,65.0885535482283,-50.0,150.0,False,False,False,NONE,False
EPD,midstream,BULL,roic,11.138671248283323,11.138671248283323,3.5,20.0,False,False,False,NONE,False
EPD,midstream,BULL,wacc,5.140522159772316,5.140522159772316,3.0,20.0,False,False,False,NONE,False
EPD,midstream,BULL,terminal_growth,2.5,2.5,0.0,3.0,False,False,False,NONE,False
EQT,ep,BEAR,growth,-17.447815339564105,-15.0,-15.0,20.0,True,False,True,LOWER,False
EQT,ep,BEAR,operating_margin,-41.38502517340999,-20.0,-20.0,50.0,True,False,True,LOWER,False
EQT,ep,BEAR,reinvestment_rate,-350.0,-50.0,-50.0,150.0,True,False,True,LOWER,False
EQT,ep,BEAR,roic,-10.355245311514459,2.0,2.0,35.0,True,False,True,LOWER,False
EQT,ep,BEAR,wacc,8.21496233922278,8.21496233922278,3.0,20.0,False,False,False,NONE,False
EQT,ep,BEAR,terminal_growth,1.0,1.0,0.0,3.0,False,False,False,NONE,False
EQT,ep,BASE,growth,-12.129574305530257,-12.129574305530257,-15.0,20.0,False,False,False,NONE,False
EQT,ep,BASE,operating_margin,18.62872827295765,18.62872827295765,-20.0,50.0,False,False,False,NONE,False
EQT,ep,BASE,reinvestment_rate,-84.13806816485575,-50.0,-50.0,150.0,True,False,True,LOWER,False
EQT,ep,BASE,roic,6.019614264070633,6.019614264070633,3.0,35.0,False,False,False,NONE,False
EQT,ep,BASE,wacc,6.7149623392227795,6.7149623392227795,3.0,20.0,False,False,False,NONE,False
EQT,ep,BASE,terminal_growth,2.0,2.0,0.0,3.0,False,False,False,NONE,False
EQT,ep,BULL,growth,8.886483970333927,8.886483970333927,-15.0,20.0,False,False,False,NONE,False
EQT,ep,BULL,operating_margin,41.5840994652807,41.5840994652807,-20.0,50.0,False,False,False,NONE,False
EQT,ep,BULL,reinvestment_rate,31.540078013843516,31.540078013843516,-50.0,150.0,False,False,False,NONE,False
EQT,ep,BULL,roic,18.050817701427675,18.050817701427675,3.5,35.0,False,False,False,NONE,False
EQT,ep,BULL,wacc,5.7149623392227795,5.7149623392227795,3.0,20.0,False,False,False,NONE,False
