ticker,subindustry,scenario,forecast_year,growth_pct,forecast_normalized_roic_pct,reinvestment_rate_pct,nopat_usd,reinvestment_usd,fcff_usd,fundamental_growth_reconstructed_pct,reinvestment_plausibility_status,fcff_identity_error_usd,growth_reinvestment_roic_gap_pct_points
CVX,integrated,BASE,2,3.7340361749590225,12.203955112921747,30.596934685587,18585541757.775166,5686606072.588965,12898935685.1862,3.734036174959022,WITHIN_REFERENCE_RANGE,0.0,4.440892098500626e-16
CVX,integrated,BASE,3,3.1560241166393483,12.203955112921747,25.860666377719614,19172105937.858627,4958034354.172592,14214071583.686035,3.156024116639348,WITHIN_REFERENCE_RANGE,0.0,4.440892098500626e-16
CVX,integrated,BASE,4,2.578012058319674,12.203955112921747,21.12439806985223,19666365140.770447,4154401258.207004,15511963882.563442,2.578012058319674,WITHIN_REFERENCE_RANGE,0.0,0.0
CVX,integrated,BASE,5,2.0,12.203955112921747,16.388129761984846,20059692443.585854,3287408427.5099187,16772284016.075935,2.0000000000000004,WITHIN_REFERENCE_RANGE,0.0,-4.440892098500626e-16
CVX,integrated,BULL,1,14.998793866943101,20.67552878091502,72.5437014253684,26442259310.84556,19182193644.581474,7260065666.264084,14.998793866943101,WITHIN_REFERENCE_RANGE,0.0,0.0
CVX,integrated,BULL,2,11.874095400207326,20.67552878091502,57.430673362840224,29582038407.385563,16989163851.815544,12592874555.570019,11.874095400207327,WITHIN_REFERENCE_RANGE,0.0,-1.7763568394002505e-15
CVX,integrated,BULL,3,8.749396933471552,20.67552878091502,42.31764530031206,32170288368.65973,13613708523.93697,18556579844.72276,8.749396933471552,WITHIN_REFERENCE_RANGE,0.0,0.0
CVX,integrated,BULL,4,5.624698466735776,20.67552878091502,27.204617237783886,33979770085.276203,9244066389.978382,24735703695.29782,5.624698466735777,WITHIN_REFERENCE_RANGE,0.0,-8.881784197001252e-16
CVX,integrated,BULL,5,2.5,20.67552878091502,12.091589175255713,34829264337.40811,4211411556.4432373,30617852780.964874,2.5,WITHIN_REFERENCE_RANGE,0.0,0.0
DVN,ep,BEAR,1,0.9015387375393611,8.02760602551068,11.230480602490818,1772359113.526094,199044446.4510262,1573314667.0750678,0.9015387375393611,WITHIN_REFERENCE_RANGE,0.0,0.0
