ticker,subindustry,scenario,scenario_weight,scenario_weight_source,story_validation_class,enterprise_value_usd,adjusted_total_debt_usd,noncontrolling_interest_usd,preferred_stock_usd,cash_usd,nonoperating_assets_usd,common_equity_value_usd,shares_outstanding,fair_value_per_share,market_price,value_gap_pct,pv_explicit_fcff_usd,pv_terminal_value_usd,terminal_value_share,equity_reconciliation_error_usd,production_eligible
EQT,ep,BASE,0.6,DEFAULT_SCENARIO_WEIGHT_NOT_EMPIRICAL_PROBABILITY,PROBABLE,21628993237.810226,5992411000.0,3668288000.0,0.0,326568000.0,0.0,12294862237.810226,625478000.0,19.65674610107826,53.720001220703125,-63.40888746386931,9655706631.974386,11973286605.83584,0.5535757709196106,0.0,False
EQT,ep,BULL,0.2,DEFAULT_SCENARIO_WEIGHT_NOT_EMPIRICAL_PROBABILITY,PLAUSIBLE,103399152998.59138,5992411000.0,3668288000.0,0.0,326568000.0,0.0,94065021998.59138,625478000.0,150.38901767702683,53.720001220703125,179.94976593386315,11759044119.175217,91640108879.41617,0.8862752374834694,0.0,False
ET,midstream,BEAR,0.2,DEFAULT_SCENARIO_WEIGHT_NOT_EMPIRICAL_PROBABILITY,POSSIBLE,95477961190.53922,69336000000.0,14644000000.0,0.0,951000000.0,0.0,12448961190.539215,3441100000.0,3.6177272356337262,21.19,-82.92719567893475,20965747013.69136,74512214176.84785,0.7804127072649638,0.0,False
ET,midstream,BASE,0.6,DEFAULT_SCENARIO_WEIGHT_NOT_EMPIRICAL_PROBABILITY,POSSIBLE,175025075590.17664,69336000000.0,14644000000.0,0.0,951000000.0,0.0,91996075590.17664,3441100000.0,26.73449640817664,21.19,26.165627221220554,23419491468.211395,151605584121.96524,0.8661935074774747,0.0,False
ET,midstream,BULL,0.2,DEFAULT_SCENARIO_WEIGHT_NOT_EMPIRICAL_PROBABILITY,POSSIBLE,314460929997.6005,69336000000.0,14644000000.0,0.0,951000000.0,0.0,231431929997.60052,3441100000.0,67.25521780756169,21.19,217.3913063122307,13840652418.836487,300620277578.76404,0.9559860984353697,0.0,False
FANG,ep,BEAR,0.2,DEFAULT_SCENARIO_WEIGHT_NOT_EMPIRICAL_PROBABILITY,PLAUSIBLE,40150810941.70343,13898000000.0,6167000000.0,0.0,174000000.0,0.0,20259810941.70343,281313297.0,72.01867511333256,210.72000122070312,-65.82257275240715,1038370102.2088699,39112440839.49456,0.9741382533041109,0.0,False
FANG,ep,BASE,0.6,DEFAULT_SCENARIO_WEIGHT_NOT_EMPIRICAL_PROBABILITY,PROBABLE,166453901320.6653,13898000000.0,6167000000.0,0.0,174000000.0,0.0,146562901320.6653,281313297.0,520.9952849141906,210.72000122070312,147.24529323085594,13598137877.450317,152855763443.215,0.9183068839506852,0.0,False
FANG,ep,BULL,0.2,DEFAULT_SCENARIO_WEIGHT_NOT_EMPIRICAL_PROBABILITY,PLAUSIBLE,333411594235.4355,13898000000.0,6167000000.0,0.0,174000000.0,0.0,313520594235.4355,281313297.0,1114.4890681631573,210.72000122070312,428.89572024815425,20978696921.56317,312432897313.8723,0.9370786820726178,0.0,False
HAL,services,BEAR,0.2,DEFAULT_SCENARIO_WEIGHT_NOT_EMPIRICAL_PROBABILITY,POSSIBLE,23475019116.146954,7070000000.0,45000000.0,0.0,2003000000.0,0.0,18363019116.146954,835397735.0,21.981169384122108,35.34000015258789,-37.80087920426208,6729567629.604631,16745451486.542322,0.7133306858533804,0.0,False
HAL,services,BASE,0.6,DEFAULT_SCENARIO_WEIGHT_NOT_EMPIRICAL_PROBABILITY,PROBABLE,43414304068.858795,7070000000.0,45000000.0,0.0,2003000000.0,0.0,38302304068.858795,835397735.0,45.849183525567966,35.34000015258789,29.73736085909582,8616510657.707863,34797793411.15093,0.8015283017311221,0.0,False
HAL,services,BULL,0.2,DEFAULT_SCENARIO_WEIGHT_NOT_EMPIRICAL_PROBABILITY,PLAUSIBLE,89556811537.81633,7070000000.0,45000000.0,0.0,2003000000.0,0.0,84444811537.81633,835397735.0,101.08336185256276,35.34000015258789,186.03101702352595,11653137247.390778,77903674290.42555,0.869879944950138,0.0,False
KMI,midstream,BEAR,0.2,DEFAULT_SCENARIO_WEIGHT_NOT_EMPIRICAL_PROBABILITY,POSSIBLE,29831366105.451263,32056000000.0,1261000000.0,0.0,72000000.0,0.0,-3413633894.5487366,2224825757.0,-1.5343376369175756,30.979999542236328,-104.95267159325084,7239856142.268791,22591509963.182472,0.7573072544959378,0.0,False
KMI,midstream,BASE,0.6,DEFAULT_SCENARIO_WEIGHT_NOT_EMPIRICAL_PROBABILITY,POSSIBLE,55991114100.32078,32056000000.0,1261000000.0,0.0,72000000.0,0.0,22746114100.320778,2224825757.0,10.22377326797587,30.979999542236328,-66.99879464479213,6644397336.30954,49346716764.01124,0.8813312175856227,0.0,False
KMI,midstream,BULL,0.2,DEFAULT_SCENARIO_WEIGHT_NOT_EMPIRICAL_PROBABILITY,POSSIBLE,98331899688.6588,32056000000.0,1261000000.0,0.0,72000000.0,0.0,65086899688.6588,2224825757.0,29.254830174396798,30.979999542236328,-5.5686552399316085,4079923446.2575836,94251976242.40121,0.9585086481683406,0.0,False
MGY,ep,BEAR,0.2,DEFAULT_SCENARIO_WEIGHT_NOT_EMPIRICAL_PROBABILITY,POSSIBLE,3395027897.64647,393442000.0,0.0,0.0,124372000.0,0.0,3125957897.64647,184947909.0,16.901828815196122,28.13999938964844,-39.93664114501148,1213741040.4540381,2181286857.192432,0.6424945311066699,0.0,False
MGY,ep,BASE,0.6,DEFAULT_SCENARIO_WEIGHT_NOT_EMPIRICAL_PROBABILITY,PROBABLE,8472454848.64063,393442000.0,0.0,0.0,124372000.0,0.0,8203384848.64063,184947909.0,44.35511000365314,28.13999938964844,57.62299561374395,1828355991.9451036,6644098856.695526,0.7841999721912409,0.0,False
MGY,ep,BULL,0.2,DEFAULT_SCENARIO_WEIGHT_NOT_EMPIRICAL_PROBABILITY,PROBABLE,20209955433.16657,393442000.0,0.0,0.0,124372000.0,0.0,19940885433.16657,184947909.0,107.81892880533496,28.13999938964844,283.1518519684018,2361844301.10009,17848111132.06648,0.8831346111123003,0.0,False
MPC,refining,BEAR,0.2,DEFAULT_SCENARIO_WEIGHT_NOT_EMPIRICAL_PROBABILITY,PLAUSIBLE,51165464907.99962,30706000000.0,6674000000.0,0.0,2151000000.0,0.0,15936464907.999619,291936635.0,54.58878056876835,360.7200012207031,-84.86671646040256,15508987326.093056,35656477581.90656,0.6968856365523172,0.0,False
MPC,refining,BASE,0.6,DEFAULT_SCENARIO_WEIGHT_NOT_EMPIRICAL_PROBABILITY,PROBABLE,130553794122.00912,30706000000.0,6674000000.0,0.0,2151000000.0,0.0,95324794122.00912,291936635.0,326.52563157073155,360.7200012207031,-9.479477027682215,26142852115.56488,104410942006.44424,0.799754175729791,0.0,False
MPC,refining,BULL,0.2,DEFAULT_SCENARIO_WEIGHT_NOT_EMPIRICAL_PROBABILITY,PLAUSIBLE,442377258563.4341,30706000000.0,6674000000.0,0.0,2151000000.0,0.0,407148258563.4341,291936635.0,1394.645994201564,360.7200012207031,286.62840693113185,44568031378.758545,397809227184.67554,0.8992533397320474,0.0,False
MTDR,ep,BEAR,0.2,DEFAULT_SCENARIO_WEIGHT_NOT_EMPIRICAL_PROBABILITY,PLAUSIBLE,-25418016.24988091,3468941000.0,328185000.0,1000.0,30451000.0,0.0,-3792094016.249881,124178227.0,-30.537511348506214,58.380001068115234,-152.30817195922347,403166042.1211598,-428584058.3710407,16.86142829391923,0.0,False
