ticker,subindustry,scenario,forecast_year,revenue_usd,growth_pct,operating_margin_pct,ebit_usd,nopat_usd,forecast_normalized_roic_pct,reinvestment_rate_pct,reinvestment_usd,fcff_usd,fundamental_growth_reconstructed_pct,reinvestment_plausibility_status,wacc_pct,discount_factor,pv_fcff_usd,terminal_reinvestment_rate_pct,terminal_fcff_usd,terminal_value_usd,pv_terminal_value_usd
AR,ep,BULL,5,9508910187.20449,2.5,35.25360462322965,3352233601.3750777,2649102505.633584,22.642903374365822,11.040986920565436,292487061.15937525,2356615444.474209,2.5,WITHIN_REFERENCE_RANGE,5.190596691205954,1.287907265531615,1829802119.7212973,11.040986920565436,2415530830.5860634,89776771021.87312,69707480829.23158
BKR,services,BEAR,1,28402140130.567337,1.82533298880485,6.8526069464187955,1946287027.5188577,1432980558.7226756,5.2917161878160766,34.49415887056816,494294590.5101549,938685968.2125206,1.8253329888048504,WITHIN_REFERENCE_RANGE,8.161159741478016,1.0816115974147802,867858638.4022933,,,,
BKR,services,BEAR,2,28861970705.89113,1.6189997416036375,6.8526069464187955,1977797409.4652534,1456180510.2656262,5.2917161878160766,30.59498438958814,445518199.7999933,1010662310.4656329,1.6189997416036375,WITHIN_REFERENCE_RANGE,8.161159741478016,1.1698836476621526,863899852.3359985,,,,
BKR,services,BEAR,3,29269694095.677494,1.412666494402425,6.8526069464187955,2005737090.795928,1476751484.4321668,5.2917161878160766,26.695809908608137,394230769.1065601,1082520715.3256068,1.412666494402425,WITHIN_REFERENCE_RANGE,8.161159741478016,1.2653597209372907,855504326.0929395,,,,
BKR,services,BEAR,4,29622784146.90774,1.2063332472012125,6.8526069464187955,2029932964.1736457,1494566028.5674095,5.2917161878160766,22.796635427628132,340710768.7576929,1153855259.8097167,1.2063332472012125,WITHIN_REFERENCE_RANGE,8.161159741478016,1.3686277490673036,843074576.4113356,,,,
BKR,services,BEAR,5,29919011988.37682,1.0,6.8526069464187955,2050232293.815382,1509511688.8530836,5.2917161878160766,18.897460946648124,285259381.88610005,1224252306.9669836,1.0,WITHIN_REFERENCE_RANGE,8.161159741478016,1.480323645934881,827016652.965657,18.897460946648124,1236494830.0366535,17266684094.1248,11664127734.188986
BKR,services,BASE,1,28643659328.541767,2.6912104418376295,10.40239770162312,2979627359.652985,2193791572.4917583,9.859350124556926,27.29602263677162,598817844.2309384,1594973728.26082,2.6912104418376295,WITHIN_REFERENCE_RANGE,6.661159741478017,1.0666115974147803,1495365072.0905972,,,,
BKR,services,BASE,2,29365023488.26506,2.518407831378222,10.40239770162312,3054666528.4243736,2249040191.257506,9.859350124556926,25.543345145087827,574480098.5046481,1674560092.7528577,2.518407831378222,WITHIN_REFERENCE_RANGE,6.661159741478017,1.1376602997397094,1471933311.84712,,,,
BKR,services,BASE,3,30053811012.329845,2.3456052209188147,10.40239770162312,3126316945.996756,2301793795.4042053,9.859350124556926,23.790667653404032,547612111.9312893,1754181683.4729161,2.3456052209188147,WITHIN_REFERENCE_RANGE,6.661159741478017,1.213441669620749,1445625057.544934,,,,
BKR,services,BASE,4,30706821002.548283,2.1728026104594074,10.40239770162312,3194245642.210608,2351807231.0781403,9.859350124556926,22.037990161720238,518291046.2076257,1833516184.8705146,2.1728026104594074,WITHIN_REFERENCE_RANGE,6.661159741478017,1.2942709576038454,1416640135.5903122,,,,
BKR,services,BASE,5,31320957422.599247,2.0,10.40239770162312,3258130555.05482,2398843375.6997027,9.859350124556926,20.285312670036447,486612879.22514176,1912230496.474561,2.0000000000000004,WITHIN_REFERENCE_RANGE,6.661159741478017,1.3804844135773948,1385188038.1026516,20.285312670036447,1950475106.4040518,41845274879.714195,30312022698.812023
BKR,services,BULL,1,29311681989.000156,5.086157777937681,12.99263808708379,3808360758.0677137,2803957920.7751303,13.42459521122954,37.88686137577661,1062331650.4791818,1741626270.2959485,5.086157777937681,WITHIN_REFERENCE_RANGE,5.661159741478017,1.0566115974147803,1648312657.704306,,,,
BKR,services,BULL,2,30613008796.427322,4.439618333453261,12.99263808708379,3977437440.4869275,2928442950.6881776,13.42459521122954,33.07077989017921,968458922.4315566,1959984028.256621,4.43961833345326,WITHIN_REFERENCE_RANGE,5.661159741478017,1.1164280677914138,1755584694.438918,,,,
BKR,services,BULL,3,31774184370.362785,3.7930788889688407,12.99263808708379,4128304780.3639803,3039521102.0262275,13.42459521122954,28.254698404581823,858807520.3211324,2180713581.7050953,3.793078888968841,WITHIN_REFERENCE_RANGE,5.661159741478017,1.1796308441077823,1848640693.4827864,,,,
BKR,services,BULL,4,32773971614.739452,3.1465394444844206,12.99263808708379,4258203518.666669,3135160832.42491,13.42459521122954,23.43861691898443,734838337.306118,2400322495.118792,3.1465394444844206,WITHIN_REFERENCE_RANGE,5.661159741478017,1.2464116305524695,1925786342.3938477,,,,
BKR,services,BULL,5,33593320905.107937,2.5,12.99263808708379,4364658606.633335,3213539853.2355328,13.42459521122954,18.622535433387032,598442597.8348007,2615097255.400732,2.5,WITHIN_REFERENCE_RANGE,5.661159741478017,1.3169729839944058,1985687851.7500708,18.622535433387032,2680474686.78575,84794028331.27565,64385548801.53551
CNX,ep,BEAR,1,2501890000.0,-15.0,-20.0,-500378000.0,-406636476.15223914,2.0,-750.0,3049773571.1417937,-3456410047.294033,-15.0,OUTSIDE_REFERENCE_RANGE_NOT_CLIPPED,8.086456160827698,1.080864561608277,-3197819754.72584,,,,
CNX,ep,BEAR,2,2226682100.0,-11.0,-20.0,-445336420.0,-361906463.77549285,2.0,-550.0,1990485550.7652106,-2352392014.5407033,-11.0,OUTSIDE_REFERENCE_RANGE_NOT_CLIPPED,8.086456160827698,1.1682682005406528,-2013571895.0940032,,,,
CNX,ep,BEAR,3,2070814352.9999998,-7.0,-20.0,-414162870.5999999,-336573011.31120825,2.0,-350.0,1178005539.5892289,-1514578550.900437,-7.0,OUTSIDE_REFERENCE_RANGE_NOT_CLIPPED,8.086456160827698,1.2627396964182636,-1199438455.2861605,,,,
CNX,ep,BEAR,4,2008689922.4099996,-3.0,-20.0,-401737984.4819999,-326475820.971872,2.0,-150.0,489713731.45780796,-816189552.4296799,-3.0,OUTSIDE_REFERENCE_RANGE_NOT_CLIPPED,8.086456160827698,1.3648505883944952,-598006521.2777482,,,,
CNX,ep,BEAR,5,2028776821.6340997,1.0,-20.0,-405755364.3268199,-329740579.18159074,2.0,50.0,-164870289.59079537,-164870289.59079537,1.0,WITHIN_REFERENCE_RANGE,8.086456160827698,1.475218632885815,-111759901.83114551,50.0,-166518992.4867033,-2349820399.753293,-1592862472.9722853
CNX,ep,BASE,1,2622643952.046694,-10.897467145250591,37.879881803963315,993454429.1740799,807339268.1076747,5.201469322402524,-209.50747701838074,-1691436131.5910497,2498775399.6987243,-10.897467145250591,OUTSIDE_REFERENCE_RANGE_NOT_CLIPPED,6.586456160827697,1.065864561608277,2344364837.4314427,,,,
CNX,ep,BASE,2,2421405849.5485344,-7.673100358937944,37.879881803963315,917225673.8032385,745391315.8286576,5.201469322402524,-147.51793932322553,-1099585909.0047114,1844977224.833369,-7.673100358937945,OUTSIDE_REFERENCE_RANGE_NOT_CLIPPED,6.586456160827697,1.1360672636924043,1624003510.8809416,,,,
CNX,ep,BASE,3,2313683954.590156,-4.4487335726252955,37.879881803963315,876420747.3160154,712230842.1139548,5.201469322402524,-85.52840162807026,-609159655.1622102,1321390497.276165,-4.4487335726252955,OUTSIDE_REFERENCE_RANGE_NOT_CLIPPED,6.586456160827697,1.2108938359730193,1091252146.1589205,,,,
CNX,ep,BASE,4,2285355976.7099094,-1.2243667863126477,37.879881803963315,865690142.7775251,703510524.2412367,5.201469322402524,-23.538863932915035,-165598385.05488196,869108909.2961186,-1.2243667863126477,WITHIN_REFERENCE_RANGE,6.586456160827697,1.290648827633547,673389144.0397946,,,,
CNX,ep,BASE,5,2331063096.2441077,2.0,37.879881803963315,883003945.6330756,717580734.7260615,5.201469322402524,38.45067376224019,275914627.2902041,441666107.43585736,2.0,WITHIN_REFERENCE_RANGE,6.586456160827697,1.3756568468558672,321058342.7439099,38.45067376224019,450499429.5845745,9822386038.096893,7140142587.554774
CNX,ep,BULL,1,3288234283.231784,11.71550870529946,50.0,1644117141.615892,1336105905.6316988,23.69274823535768,49.44765625718301,660673055.4486846,675432850.1830143,11.71550870529946,WITHIN_REFERENCE_RANGE,5.586456160827697,1.055864561608277,639696486.407504,,,,
CNX,ep,BULL,2,3597710777.7789783,9.411631528974596,50.0,1798855388.8894892,1461855270.3066235,23.69274823535768,39.72368015513381,580702711.9075699,881152558.3990536,9.411631528974596,WITHIN_REFERENCE_RANGE,5.586456160827697,1.1148499724602388,790377701.1847932,,,,
CNX,ep,BULL,3,3853427222.182312,7.10775435264973,50.0,1926713611.091156,1565760351.9112818,23.69274823535768,29.999704053084606,469723471.7539206,1096036880.1573613,7.10775435264973,WITHIN_REFERENCE_RANGE,5.586456160827697,1.1771305774307297,931109004.533407,,,,
CNX,ep,BULL,4,4038541133.0150175,4.803877176324865,50.0,2019270566.5075088,1640977556.092692,23.69274823535768,20.275727951035407,332720145.0109036,1308257411.0817883,4.803877176324865,WITHIN_REFERENCE_RANGE,5.586456160827697,1.2428904610945952,1052592687.797785,,,,
CNX,ep,BULL,5,4139504661.3403926,2.5,50.0,2069752330.6701963,1682001994.995009,23.69274823535768,10.551751848986203,177480676.60687068,1504521318.3881383,2.5,WITHIN_REFERENCE_RANGE,5.586456160827697,1.3123239918307539,1146455698.252731,10.551751848986203,1542134351.3478415,49964563596.273026,38073344621.681496
COP,ep,BEAR,1,53564020529.13271,5.347665511127381,19.924242134825278,10672225147.371922,6936946345.791749,9.310127488670773,57.439229673651646,3984528543.897308,2952417801.894441,5.347665511127381,WITHIN_REFERENCE_RANGE,7.893861867479845,1.0789386186747985,2736409421.9935656,,,,
COP,ep,BEAR,2,55846249069.612755,4.260749133345536,19.924242134825278,11126941887.847254,7232512227.100716,9.310127488670773,45.764670124338465,3309935362.4350877,3922576864.665628,4.260749133345536,WITHIN_REFERENCE_RANGE,7.893861867479845,1.1641085428678821,3369597181.206162,,,,
COP,ep,BEAR,3,57618715615.33781,3.1738327555636907,19.924242134825278,11480092414.176287,7462060069.214586,9.310127488670773,34.09011057502528,2543824528.77006,4918235540.444527,3.1738327555636903,WITHIN_REFERENCE_RANGE,7.893861867479845,1.256001663229405,3915787442.350086,,,,
COP,ep,BEAR,4,58821170028.18184,2.0869163777818454,19.924242134825278,11719672342.952225,7617787022.918946,9.310127488670773,22.415551025712098,1707568937.1524708,5910218085.766476,2.0869163777818454,WITHIN_REFERENCE_RANGE,7.893861867479845,1.3551486995779838,4361305949.381804,,,,
COP,ep,BEAR,5,59409381728.46366,1.0,19.924242134825278,11836869066.381746,7693964893.148135,9.310127488670773,10.740991476398914,826408113.3701661,6867556779.777969,1.0,WITHIN_REFERENCE_RANGE,7.893861867479845,1.4621222660216193,4696978453.426018,10.740991476398914,6936232347.57575,100614611677.90115,68814088955.54938
COP,ep,BASE,1,55162886985.49829,8.492254863798395,32.23259549982627,17780430228.061974,11557279648.240284,16.86619375506222,50.350748883395994,5819176853.437297,5738102794.802987,8.492254863798395,WITHIN_REFERENCE_RANGE,6.393861867479845,1.0639386186747983,5393264887.733985,,,,
COP,ep,BASE,2,58952131135.20398,6.869191147848797,32.23259549982627,19001801967.337437,12351171278.769335,16.86619375506222,40.727571659652476,5030332133.367196,7320839145.402139,6.869191147848796,WITHIN_REFERENCE_RANGE,6.393861867479845,1.1319653843076378,6467370157.153614,,,,
COP,ep,BASE,3,62044835058.377106,5.246127431899198,32.23259549982627,19998660712.90109,12999129463.385708,16.86619375506222,31.10439443590896,4043300501.5259466,8955828961.85976,5.246127431899198,WITHIN_REFERENCE_RANGE,6.393861867479845,1.2043416873679555,7436285778.193392,,,,
COP,ep,BASE,4,64292758964.99795,3.623063715949599,32.23259549982627,20723224932.866077,13470096206.362951,16.86619375506222,21.481217212165443,2893540624.7764826,10576555581.586468,3.623063715949599,WITHIN_REFERENCE_RANGE,6.393861867479845,1.2813456312707385,8254256559.252843,,,,
COP,ep,BASE,5,65578614144.297905,2.0,32.23259549982627,21137689431.5234,13739498130.49021,16.86619375506222,11.858039988421929,1629235182.5220122,12110262947.968197,2.0000000000000004,WITHIN_REFERENCE_RANGE,6.393861867479845,1.363273100979177,8883225920.9618,11.858039988421929,12352468206.92756,281130098748.7001,206217007103.5489
COP,ep,BULL,1,61014000000.0,20.0,42.57754190447099,25978261417.59393,16885869921.436054,25.53484618354082,78.32434100539655,13225746338.993261,3660123582.442793,20.0,WITHIN_REFERENCE_RANGE,5.393861867479845,1.0539386186747985,3472805263.59776,,,,
COP,ep,BULL,2,70547437500.0,15.625,42.57754190447099,30037364764.092983,19524287096.66044,25.53484618354082,61.19089141046605,11947085315.985125,7577201780.675314,15.624999999999998,WITHIN_REFERENCE_RANGE,5.393861867479845,1.1107866119341425,6821473808.980837,,,,
COP,ep,BULL,3,78484024218.75,11.25,42.57754190447099,33416568300.053444,21720769395.03474,25.53484618354082,44.05744181553556,9569615338.104086,12151154056.930655,11.25,WITHIN_REFERENCE_RANGE,5.393861867479845,1.1707009074243295,10379383820.300035,,,,
COP,ep,BULL,4,83879800883.78906,6.875,42.57754190447099,35713957370.68211,23214072290.943375,25.53484618354082,26.923992220605065,6250155017.69923,16963917273.244144,6.875,WITHIN_REFERENCE_RANGE,5.393861867479845,1.233846897252131,13748802473.811014,,,,
COP,ep,BULL,5,85976795905.88379,2.5,42.57754190447099,36606806304.94917,23794424098.216965,25.53484618354082,9.790542625674568,2329603233.8697133,21464820864.34725,2.5,WITHIN_REFERENCE_RANGE,5.393861867479845,1.3003988945460971,16506335828.468637,9.790542625674568,22001441385.95592,760279598456.306,584651064873.1986
CVX,integrated,BEAR,1,195039975342.9214,2.637493076242121,11.3882304542092,22211601869.88469,14437541215.425049,8.588957626927053,30.707953057928407,4433473379.151791,10004067836.273258,2.637493076242121,WITHIN_REFERENCE_RANGE,8.403575287693794,1.084035752876938,9228540488.377176,,,,
CVX,integrated,BEAR,2,199385699665.4591,2.228119807181591,11.3882304542092,22706502970.639908,14759226930.915941,8.588957626927053,25.941678885412838,3828791256.387586,10930435674.528355,2.228119807181591,WITHIN_REFERENCE_RANGE,8.403575287693794,1.1751335135154697,9301441537.335974,,,,
CVX,integrated,BEAR,3,203012020175.63312,1.8187465381210606,11.3882304542092,23119476707.34678,15027659859.775406,8.588957626927053,21.17540471289727,3182167794.1850524,11845492065.590353,1.8187465381210606,WITHIN_REFERENCE_RANGE,8.403575287693794,1.2738867430546637,9298701105.237934,,,,
CVX,integrated,BEAR,4,205873217320.96823,1.4093732690605303,11.3882304542092,23445316432.00679,15239455680.804415,8.588957626927053,16.4091305403817,2500662176.3068113,12738793504.497604,1.4093732690605305,WITHIN_REFERENCE_RANGE,8.403575287693794,1.3809387745872128,9224734462.47134,,,,
CVX,integrated,BEAR,5,207931949494.17792,1.0,11.3882304542092,23679769596.32686,15391850237.61246,8.588957626927053,11.642856367866129,1792051015.5222802,13599799222.09018,1.0,WITHIN_REFERENCE_RANGE,8.403575287693794,1.4969870041866054,9084781086.312565,11.642856367866129,13735797214.31108,185529243379.78558,123935106223.98071
CVX,integrated,BASE,1,198222099016.73483,4.312048233278697,13.905561226129684,27563895342.49147,17916531972.619457,12.203955112921747,35.333202993454385,6330484611.272791,11586047361.346666,4.312048233278697,WITHIN_REFERENCE_RANGE,6.903575287693793,1.0690357528769379,10837848341.523518,,,,
CVX,integrated,BASE,2,205623783900.7828,3.7340361749590225,13.905561226129684,28593141165.807945,18585541757.775166,12.203955112921747,30.596934685587,5686606072.588965,12898935685.1862,3.734036174959022,WITHIN_REFERENCE_RANGE,6.903575287693793,1.1428374409291613,11286763299.160881,,,,
CVX,integrated,BASE,3,212113320110.2379,3.1560241166393483,13.905561226129684,29495547596.70558,19172105937.858627,12.203955112921747,25.860666377719614,4958034354.172592,14214071583.686035,3.156024116639348,WITHIN_REFERENCE_RANGE,6.903575287693793,1.221734084079659,11634341522.356394,,,,
CVX,integrated,BASE,4,217581627079.98206,2.578012058319674,13.905561226129684,30255946370.41607,19666365140.770447,12.203955112921747,21.12439806985223,4154401258.207004,15511963882.563442,2.578012058319674,WITHIN_REFERENCE_RANGE,6.903575287693793,1.3060774163895144,11876756835.321678,,,,
CVX,integrated,BASE,5,221933259621.5817,2.0,13.905561226129684,30861065297.82439,20059692443.585854,12.203955112921747,16.388129761984846,3287408427.5099187,16772284016.075935,2.0000000000000004,WITHIN_REFERENCE_RANGE,6.903575287693793,1.3962434541455304,12012435199.805607,16.388129761984846,17107729696.397455,348882778231.8688,249872453973.56378
CVX,integrated,BULL,1,218529908009.4746,14.998793866943101,18.61548348704684,40680398939.7624,26442259310.84556,20.67552878091502,72.5437014253684,19182193644.581474,7260065666.264084,14.998793866943101,WITHIN_REFERENCE_RANGE,5.903575287693793,1.0590357528769379,6855354643.638474,,,,
CVX,integrated,BULL,2,244478357764.5049,11.874095400207326,18.61548348704684,45510828319.05471,29582038407.385563,20.67552878091502,57.430673362840224,16989163851.815544,12592874555.570019,11.874095400207327,WITHIN_REFERENCE_RANGE,5.903575287693793,1.1215567258716226,11228031775.016474,,,,
CVX,integrated,BULL,3,265868739701.7541,8.749396933471552,18.61548348704684,49492751336.39958,32170288368.65973,20.67552878091502,42.31764530031206,13613708523.93697,18556579844.72276,8.749396933471552,WITHIN_REFERENCE_RANGE,5.903575287693793,1.1877686715776472,15623058840.300177,,,,
CVX,integrated,BULL,4,280823054627.2883,5.624698466735776,18.61548348704684,52276569361.96339,33979770085.276203,20.67552878091502,27.204617237783886,9244066389.978382,24735703695.29782,5.624698466735777,WITHIN_REFERENCE_RANGE,5.903575287693793,1.257889489347874,19664448987.58278,,,,
CVX,integrated,BULL,5,287843630992.9705,2.5,18.61548348704684,53583483596.012474,34829264337.40811,20.67552878091502,12.091589175255713,4211411556.4432373,30617852780.964874,2.5,WITHIN_REFERENCE_RANGE,5.903575287693793,1.3321499423875125,22983788691.302116,12.091589175255713,31383299100.48899,922068602800.1395,692165779137.133
DVN,ep,BEAR,1,16894953646.213589,0.9015387375393611,14.511809216636944,2451763440.3777633,1772359113.526094,8.02760602551068,11.230480602490818,199044446.4510262,1573314667.0750678,0.9015387375393611,WITHIN_REFERENCE_RANGE,7.850703001716201,1.078507030017162,1458789440.6678388,,,,
DVN,ep,BEAR,2,17051426944.186575,0.9261540531545208,14.511809216636944,2474470546.8545823,1788773889.292469,8.02760602551068,11.5371139317416,206372881.5889175,1582401007.7035515,0.9261540531545208,WITHIN_REFERENCE_RANGE,7.850703001716201,1.1631774137964395,1360412426.28571,,,,
DVN,ep,BEAR,3,17213546688.51004,0.9507693687696805,14.511809216636944,2497997054.8533034,1805781003.5084121,8.02760602551068,11.84374726099238,213872138.1425483,1591908865.3658638,0.9507693687696804,WITHIN_REFERENCE_RANGE,7.850703001716201,1.2544950179366414,1268963879.9715533,,,,
DVN,ep,BEAR,4,17381444986.549202,0.9753846843848403,14.511809216636944,2522362135.542727,1823394314.8501642,8.02760602551068,12.150380590243163,221549348.91515166,1601844965.9350126,0.9753846843848403,WITHIN_REFERENCE_RANGE,7.850703001716201,1.3529816959661736,1183936908.1716394,,,,
DVN,ep,BEAR,5,17555259436.414696,1.0,14.511809216636944,2547585756.8981547,1841628257.998666,8.02760602551068,12.457013919493944,229411888.44422767,1612216369.5544384,1.0,WITHIN_REFERENCE_RANGE,7.850703001716201,1.4592002705840605,1104862986.976511,12.457013919493944,1628338533.2499828,23768926091.84868,16289008829.702938
DVN,ep,BASE,1,17572412508.35445,4.947518563989792,28.234520734473158,4961486453.218492,3586616713.169994,15.248515535030036,32.445903029865306,1163710180.8080785,2422906532.3619156,4.947518563989792,WITHIN_REFERENCE_RANGE,6.350703001716201,1.063507030017162,2278223334.6617527,,,,
DVN,ep,BASE,2,18312323349.139996,4.210638922992344,28.234520734473158,5170396732.976702,3737636192.5132785,15.248515535030036,27.61343498204365,1032089739.8849859,2705546452.6282926,4.210638922992344,WITHIN_REFERENCE_RANGE,6.350703001716201,1.1310472028959249,2392072095.4006443,,,,
DVN,ep,BASE,3,18948449381.229664,3.473759281994896,28.234520734473158,5350003869.40444,3867472676.6779084,15.248515535030036,22.78096693422199,881047671.6640645,2986425005.013844,3.4737592819948957,WITHIN_REFERENCE_RANGE,6.350703001716201,1.2028766515610636,2482735865.841386,,,,
DVN,ep,BASE,4,19467045634.629246,2.736879640997448,28.234520734473158,5496427036.098746,3973320748.9870453,15.248515535030036,17.948498886400337,713151430.3850533,3260169318.601992,2.736879640997448,WITHIN_REFERENCE_RANGE,6.350703001716201,1.2792677751786954,2548465131.271358,,,,
DVN,ep,BASE,5,19856386547.32183,2.0,28.234520734473158,5606355576.820722,4052787163.966787,15.248515535030036,13.116030838578679,531564814.247842,3521222349.718945,2.0,WITHIN_REFERENCE_RANGE,6.350703001716201,1.360510272176957,2588163001.580742,13.116030838578679,3591646796.713323,82553251630.74895,60678153865.50166
DVN,ep,BULL,1,18690508192.1706,11.625108648892741,37.70490987504891,7047239269.046558,5094389833.045705,24.578644886438344,47.29759798640111,2409524023.094048,2684865809.951657,11.62510864889274,WITHIN_REFERENCE_RANGE,5.350703001716201,1.053507030017162,2548502984.2733173,,,,
DVN,ep,BULL,2,20436917781.64919,9.343831486669556,37.70490987504891,7705721430.808672,5570401034.319522,24.578644886438344,38.01605633606417,2117646795.3516107,3452754238.9679112,9.343831486669556,WITHIN_REFERENCE_RANGE,5.350703001716201,1.1098770622955816,3110933954.9972396,,,,
DVN,ep,BULL,3,21880286202.220604,7.062554324446371,37.70490987504891,8249942192.950042,5963813633.457862,24.578644886438344,28.73451468572723,1713672904.3353522,4250140729.12251,7.062554324446371,WITHIN_REFERENCE_RANGE,5.350703001716201,1.169263287583191,3634887688.9031034,,,,
DVN,ep,BULL,4,22926443329.436447,4.781277162223185,37.70490987504891,8644394794.918175,6248960092.711933,24.578644886438344,19.45297303539029,1215608521.8275523,5033351570.88438,4.781277162223185,WITHIN_REFERENCE_RANGE,5.350703001716201,1.2318270934098703,4086086105.6005487,,,,
DVN,ep,BULL,5,23499604412.672356,2.5,37.70490987504891,8860504664.79113,6405184095.029733,24.578644886438344,10.171431385053351,651498905.3122996,5753685189.717433,2.5000000000000004,WITHIN_REFERENCE_RANGE,5.350703001716201,1.2977385026729058,4433624476.631288,10.171431385053351,5897527319.460368,206879752675.3891,159415592778.7349
EOG,ep,BEAR,1,24022398856.972446,0.5794626401459082,12.901410971034489,3099228401.639107,2401750385.6146502,5.574619459989873,10.394658223845129,249653743.97452533,2152096641.640125,0.5794626401459082,WITHIN_REFERENCE_RANGE,8.044723728886035,1.0804472372888603,1991857230.3820481,,,,
EOG,ep,BEAR,2,24186855474.097122,0.6845969801094312,12.901410971034489,3120445625.6834216,2418192696.2243342,5.574619459989873,12.280604712535387,296968686.21071213,2121224010.013622,0.6845969801094312,WITHIN_REFERENCE_RANGE,8.044723728886035,1.1673662325651308,1817102423.2494001,,,,
