ticker,year,kpi_production_mboe,kpi_quarters,kpi_min_quality,kpi_last_filing_date,g_and_a_usd,g_and_a_usd_source_tag,g_and_a_usd_scope,hedge_gain_loss_usd,hedge_gain_loss_usd_source_tag,hedge_gain_loss_usd_scope,upstream_revenue_usd,upstream_revenue_usd_source_tag,upstream_revenue_usd_scope,transport_cost_usd,transport_cost_usd_source_tag,transport_cost_usd_scope,production_tax_usd,production_tax_usd_source_tag,production_tax_usd_scope,transport_cost_per_boe,production_tax_per_boe,g_and_a_per_boe,hedge_gain_loss_per_boe,upstream_revenue_per_boe
CNX,2016,65730.95,4,0.65,2017-01-31,102503000.0,us-gaap:ResultsOfOperationsGeneralAndAdministrativeRelatedToOilAndGasProducingActivities,UPSTREAM_EXACT,-141021000.0,us-gaap:GainLossOnOilAndGasHedgingActivity,OIL_GAS_HEDGE_EXACT,695908000.0,us-gaap:ResultsOfOperationsRevenueFromOilAndGasProducingActivities,UPSTREAM_EXACT,374350000.0,us-gaap:ResultsOfOperationsTransportationCosts,UPSTREAM_EXACT,31049000.0,us-gaap:ProductionTaxExpense,PRODUCTION_TAX_EXACT,5.695186209844829,0.4723649970067373,1.5594328090496181,-2.145427686652939,10.587219567038055
CNX,2017,67859.7,4,0.75,2018-01-30,93211000.0,us-gaap:ResultsOfOperationsGeneralAndAdministrativeRelatedToOilAndGasProducingActivities,UPSTREAM_EXACT,206930000.0,us-gaap:GainLossOnOilAndGasHedgingActivity,OIL_GAS_HEDGE_EXACT,1385949000.0,us-gaap:ResultsOfOperationsRevenueFromOilAndGasProducingActivities,UPSTREAM_EXACT,382865000.0,us-gaap:ResultsOfOperationsTransportationCosts,UPSTREAM_EXACT,29267000.0,us-gaap:ProductionTaxExpense,PRODUCTION_TAX_EXACT,5.64200843799781,0.4312869051882045,1.3735840270440336,3.0493798233708667,20.42374192635688
CNX,2018,84517.0,4,0.65,2019-01-31,134806000.0,us-gaap:ResultsOfOperationsGeneralAndAdministrativeRelatedToOilAndGasProducingActivities,UPSTREAM_EXACT,-30212000.0,us-gaap:GainLossOnOilAndGasHedgingActivity,OIL_GAS_HEDGE_EXACT,1613711000.0,us-gaap:ResultsOfOperationsRevenueFromOilAndGasProducingActivities,UPSTREAM_EXACT,424206000.0,us-gaap:ResultsOfOperationsTransportationCosts,UPSTREAM_EXACT,32750000.0,us-gaap:ProductionTaxExpense,PRODUCTION_TAX_EXACT,5.019179573340275,0.3874960067205414,1.5950163872357042,-0.35746654519209153,19.093330335908753
CNX,2019,89861.13333333333,4,0.65,2020-01-30,143550000.0,us-gaap:ResultsOfOperationsGeneralAndAdministrativeRelatedToOilAndGasProducingActivities,UPSTREAM_EXACT,376105000.0,us-gaap:GainLossOnOilAndGasHedgingActivity,OIL_GAS_HEDGE_EXACT,1834457000.0,us-gaap:ResultsOfOperationsRevenueFromOilAndGasProducingActivities,UPSTREAM_EXACT,516879000.0,us-gaap:ResultsOfOperationsTransportationCosts,UPSTREAM_EXACT,27461000.0,us-gaap:ProductionTaxExpense,PRODUCTION_TAX_EXACT,5.751975084519299,0.30559374204791545,1.5974648290658846,4.185402365279168,20.414354147918605
CNX,2021,98374.96666666666,4,0.8500000000000001,2022-01-27,112757000.0,us-gaap:ResultsOfOperationsGeneralAndAdministrativeRelatedToOilAndGasProducingActivities,UPSTREAM_EXACT,-1632733000.0,us-gaap:GainLossOnOilAndGasHedgingActivity,OIL_GAS_HEDGE_EXACT,650909000.0,us-gaap:ResultsOfOperationsRevenueFromOilAndGasProducingActivities,UPSTREAM_EXACT,343635000.0,us-gaap:ResultsOfOperationsTransportationCosts,UPSTREAM_EXACT,34051000.0,us-gaap:ProductionTaxExpense,PRODUCTION_TAX_EXACT,3.4931142712797194,0.34613480597536844,1.1461960681731702,-16.597037389932197,6.616612153024025
CNX,2022,96694.45000000001,4,0.8500000000000001,2023-01-26,121697000.0,us-gaap:ResultsOfOperationsGeneralAndAdministrativeRelatedToOilAndGasProducingActivities,UPSTREAM_EXACT,-2663775000.0,us-gaap:GainLossOnOilAndGasHedgingActivity,OIL_GAS_HEDGE_EXACT,1173889000.0,us-gaap:ResultsOfOperationsRevenueFromOilAndGasProducingActivities,UPSTREAM_EXACT,369660000.0,us-gaap:ResultsOfOperationsTransportationCosts,UPSTREAM_EXACT,44965000.0,us-gaap:ProductionTaxExpense,PRODUCTION_TAX_EXACT,3.8229701911536798,0.46502151881519566,1.2585727515901892,-27.548375320403597,12.140190052272905
CNX,2023,93393.16666666667,4,0.8500000000000001,2024-01-25,125344000.0,us-gaap:ResultsOfOperationsGeneralAndAdministrativeRelatedToOilAndGasProducingActivities,UPSTREAM_EXACT,1928652000.0,us-gaap:GainLossOnOilAndGasHedgingActivity,OIL_GAS_HEDGE_EXACT,3305088000.0,us-gaap:ResultsOfOperationsRevenueFromOilAndGasProducingActivities,UPSTREAM_EXACT,381934000.0,us-gaap:ResultsOfOperationsTransportationCosts,UPSTREAM_EXACT,27946000.0,us-gaap:ProductionTaxExpense,PRODUCTION_TAX_EXACT,4.089528320237561,0.2992296010236295,1.3421110395300155,20.650889875954523,35.388970285120784
CNX,2024,91801.11666666667,4,0.8500000000000001,2025-01-30,145736000.0,us-gaap:ResultsOfOperationsGeneralAndAdministrativeRelatedToOilAndGasProducingActivities,UPSTREAM_EXACT,-172405000.0,us-gaap:GainLossOnOilAndGasHedgingActivity,OIL_GAS_HEDGE_EXACT,1073139000.0,us-gaap:ResultsOfOperationsRevenueFromOilAndGasProducingActivities,UPSTREAM_EXACT,382220000.0,us-gaap:ResultsOfOperationsTransportationCosts,UPSTREAM_EXACT,27554000.0,us-gaap:ProductionTaxExpense,PRODUCTION_TAX_EXACT,4.163565911598388,0.30014885439846684,1.5875188155844873,-1.878027264374235,11.689825123768465
CNX,2025,104826.0,4,0.8500000000000001,2026-01-29,140302000.0,us-gaap:ResultsOfOperationsGeneralAndAdministrativeRelatedToOilAndGasProducingActivities,UPSTREAM_EXACT,96661000.0,us-gaap:GainLossOnOilAndGasHedgingActivity,OIL_GAS_HEDGE_EXACT,2055738000.0,us-gaap:ResultsOfOperationsRevenueFromOilAndGasProducingActivities,UPSTREAM_EXACT,383104000.0,us-gaap:ResultsOfOperationsTransportationCosts,UPSTREAM_EXACT,31200000.0,us-gaap:ProductionTaxExpense,PRODUCTION_TAX_EXACT,3.65466582718028,0.29763608265125063,1.338427489363326,0.922109018754889,19.610955297349893
EOG,2022,331484.3,4,1.0,2023-02-23,570000000.0,us-gaap:GeneralAndAdministrativeExpense,CONSOLIDATED_ALLOCATED,-3982000000.0,us-gaap:GainLossOnDerivativeInstrumentsNetPretax,DERIVATIVE_BROAD,,,,966000000.0,us-gaap:ResultsOfOperationsTransportationCosts,UPSTREAM_EXACT,,,,2.9141651655900445,,1.7195384517456784,-12.012635289212792,
