period,segment,derivation,net_cumulative_catchup_adjustment_usd,source_path,source_sha256,table_index
2024Q3,newport_news_shipbuilding,AS_REPORTED_CURRENT_QUARTER,-78000000.0,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-Q\2024-10-31_0001501585-24-000042_hii-20240930.htm,a97548189124c42ee0911ff7c7ced36c6a4efc1e1ea10025c2afdcd823b729e1,30
2024Q4,ingalls_shipbuilding,FY_LESS_REPORTED_Q1_Q2_Q3,-6000000.0,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-K\2025-02-06_0001501585-25-000006_hii-20241231.htm,db9afdddcf4eac67785bb07386819b59aa3c2a28addf94448fad93d2a661c5c3,13
2024Q4,mission_technologies,FY_LESS_REPORTED_Q1_Q2_Q3,0.0,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-K\2025-02-06_0001501585-25-000006_hii-20241231.htm,db9afdddcf4eac67785bb07386819b59aa3c2a28addf94448fad93d2a661c5c3,13
2024Q4,newport_news_shipbuilding,FY_LESS_REPORTED_Q1_Q2_Q3,-74000000.0,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-K\2025-02-06_0001501585-25-000006_hii-20241231.htm,db9afdddcf4eac67785bb07386819b59aa3c2a28addf94448fad93d2a661c5c3,13
2025Q1,ingalls_shipbuilding,AS_REPORTED_CURRENT_QUARTER,0.0,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-Q\2025-05-01_0001501585-25-000037_hii-20250331.htm,b1efdc3fd2c325117b31607fef86e968de29049cfdf95f6d8adb9e108cc70786,29
2025Q1,mission_technologies,AS_REPORTED_CURRENT_QUARTER,6000000.0,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-Q\2025-05-01_0001501585-25-000037_hii-20250331.htm,b1efdc3fd2c325117b31607fef86e968de29049cfdf95f6d8adb9e108cc70786,29
2025Q1,newport_news_shipbuilding,AS_REPORTED_CURRENT_QUARTER,-6000000.0,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-Q\2025-05-01_0001501585-25-000037_hii-20250331.htm,b1efdc3fd2c325117b31607fef86e968de29049cfdf95f6d8adb9e108cc70786,29
2025Q2,ingalls_shipbuilding,AS_REPORTED_CURRENT_QUARTER,4000000.0,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-Q\2025-07-31_0001501585-25-000099_hii-20250630.htm,9f28d3329cea57d5f484b236d530e6e9b5b8e9e3968dc050213ac298aa952b84,34
2025Q2,mission_technologies,AS_REPORTED_CURRENT_QUARTER,3000000.0,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-Q\2025-07-31_0001501585-25-000099_hii-20250630.htm,9f28d3329cea57d5f484b236d530e6e9b5b8e9e3968dc050213ac298aa952b84,34
2025Q2,newport_news_shipbuilding,AS_REPORTED_CURRENT_QUARTER,-17000000.0,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-Q\2025-07-31_0001501585-25-000099_hii-20250630.htm,9f28d3329cea57d5f484b236d530e6e9b5b8e9e3968dc050213ac298aa952b84,34
2025Q3,ingalls_shipbuilding,AS_REPORTED_CURRENT_QUARTER,6000000.0,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-Q\2025-10-30_0001501585-25-000112_hii-20250930.htm,85ab8d8d07fd834c3e7182d97d540b714b3f719ad7d2bdbe371d9cacdbfb35e5,34
2025Q3,mission_technologies,AS_REPORTED_CURRENT_QUARTER,4000000.0,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-Q\2025-10-30_0001501585-25-000112_hii-20250930.htm,85ab8d8d07fd834c3e7182d97d540b714b3f719ad7d2bdbe371d9cacdbfb35e5,34
2025Q3,newport_news_shipbuilding,AS_REPORTED_CURRENT_QUARTER,-13000000.0,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-Q\2025-10-30_0001501585-25-000112_hii-20250930.htm,85ab8d8d07fd834c3e7182d97d540b714b3f719ad7d2bdbe371d9cacdbfb35e5,34
2025Q4,ingalls_shipbuilding,FY_LESS_REPORTED_Q1_Q2_Q3,6000000.0,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-K\2026-02-05_0001501585-26-000006_hii-20251231.htm,e9c2363b3b156a5e2e0ceb49d9548f25fbf60ef9da574ac270867e9ead3b3a82,13
2025Q4,mission_technologies,FY_LESS_REPORTED_Q1_Q2_Q3,7000000.0,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-K\2026-02-05_0001501585-26-000006_hii-20251231.htm,e9c2363b3b156a5e2e0ceb49d9548f25fbf60ef9da574ac270867e9ead3b3a82,13
2025Q4,newport_news_shipbuilding,FY_LESS_REPORTED_Q1_Q2_Q3,-28000000.0,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-K\2026-02-05_0001501585-26-000006_hii-20251231.htm,e9c2363b3b156a5e2e0ceb49d9548f25fbf60ef9da574ac270867e9ead3b3a82,13
2026Q1,ingalls_shipbuilding,AS_REPORTED_CURRENT_QUARTER,-3000000.0,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-Q\2026-05-05_0001501585-26-000029_hii-20260331.htm,517eb40c506fdafa020e4e4f8f7b4c2524632345fbe735b0b85c3c2d4653b85a,29
2026Q1,mission_technologies,AS_REPORTED_CURRENT_QUARTER,13000000.0,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-Q\2026-05-05_0001501585-26-000029_hii-20260331.htm,517eb40c506fdafa020e4e4f8f7b4c2524632345fbe735b0b85c3c2d4653b85a,29
2026Q1,newport_news_shipbuilding,AS_REPORTED_CURRENT_QUARTER,-9000000.0,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-Q\2026-05-05_0001501585-26-000029_hii-20260331.htm,517eb40c506fdafa020e4e4f8f7b4c2524632345fbe735b0b85c3c2d4653b85a,29
2026Q2,ingalls_shipbuilding,AS_REPORTED_CURRENT_QUARTER,-2000000.0,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-Q\2026-07-30_0001501585-26-000047_hii-20260630.htm,cc018dfd509fe4bc6db1fdd5fc2bd89cfb56c4f601faf2bd09e4fdfaa7400191,34
2026Q2,mission_technologies,AS_REPORTED_CURRENT_QUARTER,4000000.0,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-Q\2026-07-30_0001501585-26-000047_hii-20260630.htm,cc018dfd509fe4bc6db1fdd5fc2bd89cfb56c4f601faf2bd09e4fdfaa7400191,34
2026Q2,newport_news_shipbuilding,AS_REPORTED_CURRENT_QUARTER,8000000.0,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-Q\2026-07-30_0001501585-26-000047_hii-20260630.htm,cc018dfd509fe4bc6db1fdd5fc2bd89cfb56c4f601faf2bd09e4fdfaa7400191,34
