issuer,filing_year,referenced_year,metric,original_filing_value_usd,repeated_value_usd,difference_usd,within_tolerance
CAT,2024,2023,consolidated_cash_usd,6978000000.0,6978000000.0,0.0,True
CAT,2024,2023,mpe_cash_usd,6106000000.0,6106000000.0,0.0,True
CAT,2024,2023,financial_products_cash_usd,872000000.0,872000000.0,0.0,True
CAT,2024,2023,consolidated_finance_receivables_current_usd,9510000000.0,9510000000.0,0.0,True
CAT,2024,2023,mpe_finance_receivables_current_usd,0.0,0.0,0.0,True
CAT,2024,2023,financial_products_finance_receivables_current_usd,14499000000.0,14499000000.0,0.0,True
CAT,2024,2023,consolidated_short_term_borrowings_usd,4643000000.0,4643000000.0,0.0,True
CAT,2024,2023,mpe_short_term_borrowings_usd,0.0,0.0,0.0,True
CAT,2024,2023,financial_products_short_term_borrowings_usd,4643000000.0,4643000000.0,0.0,True
CAT,2024,2023,consolidated_debt_current_usd,8763000000.0,8763000000.0,0.0,True
CAT,2024,2023,mpe_debt_current_usd,1044000000.0,1044000000.0,0.0,True
CAT,2024,2023,financial_products_debt_current_usd,7719000000.0,7719000000.0,0.0,True
CAT,2024,2023,consolidated_debt_noncurrent_usd,24472000000.0,24472000000.0,0.0,True
CAT,2024,2023,mpe_debt_noncurrent_usd,8626000000.0,8626000000.0,0.0,True
CAT,2024,2023,financial_products_debt_noncurrent_usd,15893000000.0,15893000000.0,0.0,True
CAT,2024,2023,consolidated_equity_usd,19503000000.0,19503000000.0,0.0,True
CAT,2024,2023,mpe_equity_usd,16076000000.0,16076000000.0,0.0,True
CAT,2024,2023,financial_products_equity_usd,4399000000.0,4399000000.0,0.0,True
CAT,2025,2024,consolidated_total_revenue_usd,64809000000.0,64809000000.0,0.0,True
CAT,2025,2024,mpe_total_revenue_usd,61363000000.0,61363000000.0,0.0,True
CAT,2025,2024,financial_products_total_revenue_usd,4212000000.0,4212000000.0,0.0,True
CAT,2025,2024,consolidated_operating_profit_usd,13072000000.0,13072000000.0,0.0,True
CAT,2025,2024,mpe_operating_profit_usd,13098000000.0,13098000000.0,0.0,True
CAT,2025,2024,financial_products_operating_profit_usd,605000000.0,605000000.0,0.0,True
CAT,2025,2024,consolidated_interest_expense_usd,512000000.0,512000000.0,0.0,True
CAT,2025,2024,mpe_interest_expense_usd,518000000.0,518000000.0,0.0,True
CAT,2025,2024,financial_products_interest_expense_usd,0.0,0.0,0.0,True
CAT,2025,2024,consolidated_fp_interest_expense_usd,1286000000.0,1286000000.0,0.0,True
CAT,2025,2024,mpe_fp_interest_expense_usd,0.0,0.0,0.0,True
CAT,2025,2024,financial_products_fp_interest_expense_usd,1286000000.0,1286000000.0,0.0,True
CAT,2025,2024,consolidated_pretax_profit_usd,13373000000.0,13373000000.0,0.0,True
CAT,2025,2024,mpe_pretax_profit_usd,13308000000.0,13308000000.0,0.0,True
CAT,2025,2024,financial_products_pretax_profit_usd,690000000.0,690000000.0,0.0,True
CAT,2025,2024,consolidated_income_tax_usd,2629000000.0,2629000000.0,0.0,True
CAT,2025,2024,mpe_income_tax_usd,2663000000.0,2663000000.0,0.0,True
CAT,2025,2024,financial_products_income_tax_usd,-34000000.0,-34000000.0,0.0,True
CAT,2025,2024,consolidated_profit_usd,10788000000.0,10788000000.0,0.0,True
CAT,2025,2024,mpe_profit_usd,10689000000.0,10689000000.0,0.0,True
CAT,2025,2024,financial_products_profit_usd,724000000.0,724000000.0,0.0,True
CAT,2025,2024,consolidated_cash_usd,6889000000.0,6889000000.0,0.0,True
CAT,2025,2024,mpe_cash_usd,6165000000.0,6165000000.0,0.0,True
CAT,2025,2024,financial_products_cash_usd,724000000.0,724000000.0,0.0,True
CAT,2025,2024,consolidated_finance_receivables_current_usd,9565000000.0,9565000000.0,0.0,True
CAT,2025,2024,mpe_finance_receivables_current_usd,0.0,0.0,0.0,True
