as_of_date,ticker,provider,dataset,revenue_consensus_available,status,source_path,ingested_at
2026-07-31,PR,FINNWORLDS,COMPANY_RATINGS,0,RATINGS_ONLY_NOT_USED_AS_REVENUE_CONSENSUS,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\finnworlds\company-ratings\snapshot_date=2026-07-31\ticker=PR.json,2026-09-02T00:07:34+00:00
2026-07-31,RRC,FINNWORLDS,COMPANY_RATINGS,0,RATINGS_ONLY_NOT_USED_AS_REVENUE_CONSENSUS,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\finnworlds\company-ratings\snapshot_date=2026-07-31\ticker=RRC.json,2026-09-02T00:07:34+00:00
2026-07-31,SM,FINNWORLDS,COMPANY_RATINGS,0,RATINGS_ONLY_NOT_USED_AS_REVENUE_CONSENSUS,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\finnworlds\company-ratings\snapshot_date=2026-07-31\ticker=SM.json,2026-09-02T00:07:34+00:00
2026-07-31,XOM,FINNWORLDS,COMPANY_RATINGS,0,RATINGS_ONLY_NOT_USED_AS_REVENUE_CONSENSUS,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\finnworlds\company-ratings\snapshot_date=2026-07-31\ticker=XOM.json,2026-09-02T00:07:34+00:00
2026-07-31,CVX,FINNWORLDS,COMPANY_RATINGS,0,RATINGS_ONLY_NOT_USED_AS_REVENUE_CONSENSUS,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\finnworlds\company-ratings\snapshot_date=2026-07-31\ticker=CVX.json,2026-09-02T00:07:34+00:00
2026-07-31,VLO,FINNWORLDS,COMPANY_RATINGS,0,RATINGS_ONLY_NOT_USED_AS_REVENUE_CONSENSUS,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\finnworlds\company-ratings\snapshot_date=2026-07-31\ticker=VLO.json,2026-09-02T00:07:34+00:00
2026-07-31,MPC,FINNWORLDS,COMPANY_RATINGS,0,RATINGS_ONLY_NOT_USED_AS_REVENUE_CONSENSUS,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\finnworlds\company-ratings\snapshot_date=2026-07-31\ticker=MPC.json,2026-09-02T00:07:34+00:00
2026-07-31,PSX,FINNWORLDS,COMPANY_RATINGS,0,RATINGS_ONLY_NOT_USED_AS_REVENUE_CONSENSUS,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\finnworlds\company-ratings\snapshot_date=2026-07-31\ticker=PSX.json,2026-09-02T00:07:34+00:00
2026-07-31,KMI,FINNWORLDS,COMPANY_RATINGS,0,RATINGS_ONLY_NOT_USED_AS_REVENUE_CONSENSUS,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\finnworlds\company-ratings\snapshot_date=2026-07-31\ticker=KMI.json,2026-09-02T00:07:34+00:00
2026-07-31,WMB,FINNWORLDS,COMPANY_RATINGS,0,RATINGS_ONLY_NOT_USED_AS_REVENUE_CONSENSUS,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\finnworlds\company-ratings\snapshot_date=2026-07-31\ticker=WMB.json,2026-09-02T00:07:34+00:00
2026-07-31,EPD,FINNWORLDS,COMPANY_RATINGS,0,RATINGS_ONLY_NOT_USED_AS_REVENUE_CONSENSUS,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\finnworlds\company-ratings\snapshot_date=2026-07-31\ticker=EPD.json,2026-09-02T00:07:34+00:00
2026-07-31,SLB,FINNWORLDS,COMPANY_RATINGS,0,RATINGS_ONLY_NOT_USED_AS_REVENUE_CONSENSUS,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\finnworlds\company-ratings\snapshot_date=2026-07-31\ticker=SLB.json,2026-09-02T00:07:34+00:00
2026-07-31,HAL,FINNWORLDS,COMPANY_RATINGS,0,RATINGS_ONLY_NOT_USED_AS_REVENUE_CONSENSUS,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\finnworlds\company-ratings\snapshot_date=2026-07-31\ticker=HAL.json,2026-09-02T00:07:34+00:00
2026-07-31,BKR,FINNWORLDS,COMPANY_RATINGS,0,RATINGS_ONLY_NOT_USED_AS_REVENUE_CONSENSUS,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\finnworlds\company-ratings\snapshot_date=2026-07-31\ticker=BKR.json,2026-09-02T00:07:34+00:00
