ticker,scenario,cash_flow_scenario_changed,wacc_changed,coupled_channels,audit_status,interpretation,v1_1_mutation_allowed
FANG,BULL,True,True,True,ATTRIBUTION_REQUIRED_COUPLED_CHANNELS,COUPLING_IS_NOT_PROOF_OF_DOUBLE_COUNTING_BUT_RISK_SOURCE_IS_UNATTRIBUTED,False
MGY,BEAR,True,True,True,ATTRIBUTION_REQUIRED_COUPLED_CHANNELS,COUPLING_IS_NOT_PROOF_OF_DOUBLE_COUNTING_BUT_RISK_SOURCE_IS_UNATTRIBUTED,False
MGY,BASE,False,False,False,NO_COUPLED_CHANGE,COUPLING_IS_NOT_PROOF_OF_DOUBLE_COUNTING_BUT_RISK_SOURCE_IS_UNATTRIBUTED,False
MGY,BULL,True,True,True,ATTRIBUTION_REQUIRED_COUPLED_CHANNELS,COUPLING_IS_NOT_PROOF_OF_DOUBLE_COUNTING_BUT_RISK_SOURCE_IS_UNATTRIBUTED,False
MTDR,BEAR,True,True,True,ATTRIBUTION_REQUIRED_COUPLED_CHANNELS,COUPLING_IS_NOT_PROOF_OF_DOUBLE_COUNTING_BUT_RISK_SOURCE_IS_UNATTRIBUTED,False
MTDR,BASE,False,False,False,NO_COUPLED_CHANGE,COUPLING_IS_NOT_PROOF_OF_DOUBLE_COUNTING_BUT_RISK_SOURCE_IS_UNATTRIBUTED,False
MTDR,BULL,True,True,True,ATTRIBUTION_REQUIRED_COUPLED_CHANNELS,COUPLING_IS_NOT_PROOF_OF_DOUBLE_COUNTING_BUT_RISK_SOURCE_IS_UNATTRIBUTED,False
NOG,BEAR,True,True,True,ATTRIBUTION_REQUIRED_COUPLED_CHANNELS,COUPLING_IS_NOT_PROOF_OF_DOUBLE_COUNTING_BUT_RISK_SOURCE_IS_UNATTRIBUTED,False
NOG,BASE,False,False,False,NO_COUPLED_CHANGE,COUPLING_IS_NOT_PROOF_OF_DOUBLE_COUNTING_BUT_RISK_SOURCE_IS_UNATTRIBUTED,False
NOG,BULL,True,True,True,ATTRIBUTION_REQUIRED_COUPLED_CHANNELS,COUPLING_IS_NOT_PROOF_OF_DOUBLE_COUNTING_BUT_RISK_SOURCE_IS_UNATTRIBUTED,False
OVV,BEAR,True,True,True,ATTRIBUTION_REQUIRED_COUPLED_CHANNELS,COUPLING_IS_NOT_PROOF_OF_DOUBLE_COUNTING_BUT_RISK_SOURCE_IS_UNATTRIBUTED,False
OVV,BASE,False,False,False,NO_COUPLED_CHANGE,COUPLING_IS_NOT_PROOF_OF_DOUBLE_COUNTING_BUT_RISK_SOURCE_IS_UNATTRIBUTED,False
OVV,BULL,True,True,True,ATTRIBUTION_REQUIRED_COUPLED_CHANNELS,COUPLING_IS_NOT_PROOF_OF_DOUBLE_COUNTING_BUT_RISK_SOURCE_IS_UNATTRIBUTED,False
PR,BEAR,True,True,True,ATTRIBUTION_REQUIRED_COUPLED_CHANNELS,COUPLING_IS_NOT_PROOF_OF_DOUBLE_COUNTING_BUT_RISK_SOURCE_IS_UNATTRIBUTED,False
PR,BASE,False,False,False,NO_COUPLED_CHANGE,COUPLING_IS_NOT_PROOF_OF_DOUBLE_COUNTING_BUT_RISK_SOURCE_IS_UNATTRIBUTED,False
PR,BULL,True,True,True,ATTRIBUTION_REQUIRED_COUPLED_CHANNELS,COUPLING_IS_NOT_PROOF_OF_DOUBLE_COUNTING_BUT_RISK_SOURCE_IS_UNATTRIBUTED,False
RRC,BEAR,True,True,True,ATTRIBUTION_REQUIRED_COUPLED_CHANNELS,COUPLING_IS_NOT_PROOF_OF_DOUBLE_COUNTING_BUT_RISK_SOURCE_IS_UNATTRIBUTED,False
RRC,BASE,False,False,False,NO_COUPLED_CHANGE,COUPLING_IS_NOT_PROOF_OF_DOUBLE_COUNTING_BUT_RISK_SOURCE_IS_UNATTRIBUTED,False
RRC,BULL,True,True,True,ATTRIBUTION_REQUIRED_COUPLED_CHANNELS,COUPLING_IS_NOT_PROOF_OF_DOUBLE_COUNTING_BUT_RISK_SOURCE_IS_UNATTRIBUTED,False
SM,BEAR,True,True,True,ATTRIBUTION_REQUIRED_COUPLED_CHANNELS,COUPLING_IS_NOT_PROOF_OF_DOUBLE_COUNTING_BUT_RISK_SOURCE_IS_UNATTRIBUTED,False
SM,BASE,False,False,False,NO_COUPLED_CHANGE,COUPLING_IS_NOT_PROOF_OF_DOUBLE_COUNTING_BUT_RISK_SOURCE_IS_UNATTRIBUTED,False
SM,BULL,True,True,True,ATTRIBUTION_REQUIRED_COUPLED_CHANNELS,COUPLING_IS_NOT_PROOF_OF_DOUBLE_COUNTING_BUT_RISK_SOURCE_IS_UNATTRIBUTED,False
