as_of_date,ticker,target_period,provider,metric,value,source_path,source_hash,created_at
2026-07-31,AR,2027Q2,FMP,REVENUE_USD,1561027494.0,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\fmp\analyst-estimates\period=quarter\snapshot_date=2026-07-31\ticker=AR.json,97bc88f9b1d5a77b00d784ac0c77076cc1296cfc8f8d732ac7496ba4c97c7fc1,2026-09-02T16:40:54+00:00
2026-07-31,AR,2027Q1,FMP,REVENUE_USD,1697350534.0,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\fmp\analyst-estimates\period=quarter\snapshot_date=2026-07-31\ticker=AR.json,97bc88f9b1d5a77b00d784ac0c77076cc1296cfc8f8d732ac7496ba4c97c7fc1,2026-09-02T16:40:54+00:00
2026-07-31,AR,2026Q4,FMP,REVENUE_USD,1686639494.0,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\fmp\analyst-estimates\period=quarter\snapshot_date=2026-07-31\ticker=AR.json,97bc88f9b1d5a77b00d784ac0c77076cc1296cfc8f8d732ac7496ba4c97c7fc1,2026-09-02T16:40:54+00:00
2026-07-31,AR,2026Q3,FMP,REVENUE_USD,1586188717.0,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\fmp\analyst-estimates\period=quarter\snapshot_date=2026-07-31\ticker=AR.json,97bc88f9b1d5a77b00d784ac0c77076cc1296cfc8f8d732ac7496ba4c97c7fc1,2026-09-02T16:40:54+00:00
2026-07-31,AR,2026Q2,FMP,REVENUE_USD,1525304184.0,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\fmp\analyst-estimates\period=quarter\snapshot_date=2026-07-31\ticker=AR.json,97bc88f9b1d5a77b00d784ac0c77076cc1296cfc8f8d732ac7496ba4c97c7fc1,2026-09-02T16:40:54+00:00
2026-07-31,AR,2026Q1,FMP,REVENUE_USD,1665771104.0,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\fmp\analyst-estimates\period=quarter\snapshot_date=2026-07-31\ticker=AR.json,97bc88f9b1d5a77b00d784ac0c77076cc1296cfc8f8d732ac7496ba4c97c7fc1,2026-09-02T16:40:54+00:00
2026-07-31,AR,2025Q4,FMP,REVENUE_USD,1308127296.0,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\fmp\analyst-estimates\period=quarter\snapshot_date=2026-07-31\ticker=AR.json,97bc88f9b1d5a77b00d784ac0c77076cc1296cfc8f8d732ac7496ba4c97c7fc1,2026-09-02T16:40:54+00:00
2026-07-31,AR,2025Q3,FMP,REVENUE_USD,1172239069.0,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\fmp\analyst-estimates\period=quarter\snapshot_date=2026-07-31\ticker=AR.json,97bc88f9b1d5a77b00d784ac0c77076cc1296cfc8f8d732ac7496ba4c97c7fc1,2026-09-02T16:40:54+00:00
2026-07-31,AR,2025Q2,FMP,REVENUE_USD,1242540734.0,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\fmp\analyst-estimates\period=quarter\snapshot_date=2026-07-31\ticker=AR.json,97bc88f9b1d5a77b00d784ac0c77076cc1296cfc8f8d732ac7496ba4c97c7fc1,2026-09-02T16:40:54+00:00
2026-07-31,AR,2025Q1,FMP,REVENUE_USD,1396905549.0,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\fmp\analyst-estimates\period=quarter\snapshot_date=2026-07-31\ticker=AR.json,97bc88f9b1d5a77b00d784ac0c77076cc1296cfc8f8d732ac7496ba4c97c7fc1,2026-09-02T16:40:54+00:00
2026-07-31,AR,2024Q4,FMP,REVENUE_USD,1174608382.0,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\fmp\analyst-estimates\period=quarter\snapshot_date=2026-07-31\ticker=AR.json,97bc88f9b1d5a77b00d784ac0c77076cc1296cfc8f8d732ac7496ba4c97c7fc1,2026-09-02T16:40:54+00:00
2026-07-31,AR,2024Q3,FMP,REVENUE_USD,1029906478.0,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\fmp\analyst-estimates\period=quarter\snapshot_date=2026-07-31\ticker=AR.json,97bc88f9b1d5a77b00d784ac0c77076cc1296cfc8f8d732ac7496ba4c97c7fc1,2026-09-02T16:40:54+00:00
2026-07-31,AR,2024Q2,FMP,REVENUE_USD,970954182.0,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\fmp\analyst-estimates\period=quarter\snapshot_date=2026-07-31\ticker=AR.json,97bc88f9b1d5a77b00d784ac0c77076cc1296cfc8f8d732ac7496ba4c97c7fc1,2026-09-02T16:40:54+00:00
2026-07-31,AR,2024Q1,FMP,REVENUE_USD,1062349944.0,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\fmp\analyst-estimates\period=quarter\snapshot_date=2026-07-31\ticker=AR.json,97bc88f9b1d5a77b00d784ac0c77076cc1296cfc8f8d732ac7496ba4c97c7fc1,2026-09-02T16:40:54+00:00
2026-07-31,AR,2023Q4,FMP,REVENUE_USD,1169025964.0,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\fmp\analyst-estimates\period=quarter\snapshot_date=2026-07-31\ticker=AR.json,97bc88f9b1d5a77b00d784ac0c77076cc1296cfc8f8d732ac7496ba4c97c7fc1,2026-09-02T16:40:54+00:00
2026-07-31,AR,2023Q3,FMP,REVENUE_USD,1091986200.0,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\fmp\analyst-estimates\period=quarter\snapshot_date=2026-07-31\ticker=AR.json,97bc88f9b1d5a77b00d784ac0c77076cc1296cfc8f8d732ac7496ba4c97c7fc1,2026-09-02T16:40:54+00:00
2026-07-31,AR,2023Q2,FMP,REVENUE_USD,935866700.0,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\fmp\analyst-estimates\period=quarter\snapshot_date=2026-07-31\ticker=AR.json,97bc88f9b1d5a77b00d784ac0c77076cc1296cfc8f8d732ac7496ba4c97c7fc1,2026-09-02T16:40:54+00:00
2026-07-31,AR,2023Q1,FMP,REVENUE_USD,1237899930.0,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\fmp\analyst-estimates\period=quarter\snapshot_date=2026-07-31\ticker=AR.json,97bc88f9b1d5a77b00d784ac0c77076cc1296cfc8f8d732ac7496ba4c97c7fc1,2026-09-02T16:40:54+00:00
2026-07-31,AR,2022Q4,FMP,REVENUE_USD,1548900333.0,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\fmp\analyst-estimates\period=quarter\snapshot_date=2026-07-31\ticker=AR.json,97bc88f9b1d5a77b00d784ac0c77076cc1296cfc8f8d732ac7496ba4c97c7fc1,2026-09-02T16:40:54+00:00
2026-07-31,AR,2022Q3,FMP,REVENUE_USD,1950718393.0,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\fmp\analyst-estimates\period=quarter\snapshot_date=2026-07-31\ticker=AR.json,97bc88f9b1d5a77b00d784ac0c77076cc1296cfc8f8d732ac7496ba4c97c7fc1,2026-09-02T16:40:54+00:00
2026-07-31,AR,2022Q2,FMP,REVENUE_USD,1815038033.0,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\fmp\analyst-estimates\period=quarter\snapshot_date=2026-07-31\ticker=AR.json,97bc88f9b1d5a77b00d784ac0c77076cc1296cfc8f8d732ac7496ba4c97c7fc1,2026-09-02T16:40:54+00:00
2026-07-31,AR,2022Q1,FMP,REVENUE_USD,1525031274.0,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\fmp\analyst-estimates\period=quarter\snapshot_date=2026-07-31\ticker=AR.json,97bc88f9b1d5a77b00d784ac0c77076cc1296cfc8f8d732ac7496ba4c97c7fc1,2026-09-02T16:40:54+00:00
2026-07-31,AR,2021Q4,FMP,REVENUE_USD,1472713114.0,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\fmp\analyst-estimates\period=quarter\snapshot_date=2026-07-31\ticker=AR.json,97bc88f9b1d5a77b00d784ac0c77076cc1296cfc8f8d732ac7496ba4c97c7fc1,2026-09-02T16:40:54+00:00
2026-07-31,AR,2021Q3,FMP,REVENUE_USD,1236753000.0,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\fmp\analyst-estimates\period=quarter\snapshot_date=2026-07-31\ticker=AR.json,97bc88f9b1d5a77b00d784ac0c77076cc1296cfc8f8d732ac7496ba4c97c7fc1,2026-09-02T16:40:54+00:00
2026-07-31,AR,2021Q2,FMP,REVENUE_USD,1157445667.0,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\fmp\analyst-estimates\period=quarter\snapshot_date=2026-07-31\ticker=AR.json,97bc88f9b1d5a77b00d784ac0c77076cc1296cfc8f8d732ac7496ba4c97c7fc1,2026-09-02T16:40:54+00:00
2026-07-31,AR,2021Q1,FMP,REVENUE_USD,1216474750.0,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\fmp\analyst-estimates\period=quarter\snapshot_date=2026-07-31\ticker=AR.json,97bc88f9b1d5a77b00d784ac0c77076cc1296cfc8f8d732ac7496ba4c97c7fc1,2026-09-02T16:40:54+00:00
2026-07-31,AR,2020Q4,FMP,REVENUE_USD,1074773000.0,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\fmp\analyst-estimates\period=quarter\snapshot_date=2026-07-31\ticker=AR.json,97bc88f9b1d5a77b00d784ac0c77076cc1296cfc8f8d732ac7496ba4c97c7fc1,2026-09-02T16:40:54+00:00
2026-07-31,AR,2020Q3,FMP,REVENUE_USD,1014957375.0,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\fmp\analyst-estimates\period=quarter\snapshot_date=2026-07-31\ticker=AR.json,97bc88f9b1d5a77b00d784ac0c77076cc1296cfc8f8d732ac7496ba4c97c7fc1,2026-09-02T16:40:54+00:00
2026-07-31,AR,2020Q2,FMP,REVENUE_USD,936631429.0,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\fmp\analyst-estimates\period=quarter\snapshot_date=2026-07-31\ticker=AR.json,97bc88f9b1d5a77b00d784ac0c77076cc1296cfc8f8d732ac7496ba4c97c7fc1,2026-09-02T16:40:54+00:00
2026-07-31,AR,2020Q1,FMP,REVENUE_USD,944963625.0,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\fmp\analyst-estimates\period=quarter\snapshot_date=2026-07-31\ticker=AR.json,97bc88f9b1d5a77b00d784ac0c77076cc1296cfc8f8d732ac7496ba4c97c7fc1,2026-09-02T16:40:54+00:00
2026-07-31,AR,2019Q4,FMP,REVENUE_USD,1017908664.0,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\fmp\analyst-estimates\period=quarter\snapshot_date=2026-07-31\ticker=AR.json,97bc88f9b1d5a77b00d784ac0c77076cc1296cfc8f8d732ac7496ba4c97c7fc1,2026-09-02T16:40:54+00:00
2026-07-31,AR,2019Q3,FMP,REVENUE_USD,931004084.0,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\fmp\analyst-estimates\period=quarter\snapshot_date=2026-07-31\ticker=AR.json,97bc88f9b1d5a77b00d784ac0c77076cc1296cfc8f8d732ac7496ba4c97c7fc1,2026-09-02T16:40:54+00:00
2026-07-31,AR,2019Q2,FMP,REVENUE_USD,991755052.0,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\fmp\analyst-estimates\period=quarter\snapshot_date=2026-07-31\ticker=AR.json,97bc88f9b1d5a77b00d784ac0c77076cc1296cfc8f8d732ac7496ba4c97c7fc1,2026-09-02T16:40:54+00:00
2026-07-31,AR,2019Q1,FMP,REVENUE_USD,1148557385.0,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\fmp\analyst-estimates\period=quarter\snapshot_date=2026-07-31\ticker=AR.json,97bc88f9b1d5a77b00d784ac0c77076cc1296cfc8f8d732ac7496ba4c97c7fc1,2026-09-02T16:40:54+00:00
2026-07-31,AR,2018Q4,FMP,REVENUE_USD,1093165956.0,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\fmp\analyst-estimates\period=quarter\snapshot_date=2026-07-31\ticker=AR.json,97bc88f9b1d5a77b00d784ac0c77076cc1296cfc8f8d732ac7496ba4c97c7fc1,2026-09-02T16:40:54+00:00
2026-07-31,AR,2018Q3,FMP,REVENUE_USD,848020250.0,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\fmp\analyst-estimates\period=quarter\snapshot_date=2026-07-31\ticker=AR.json,97bc88f9b1d5a77b00d784ac0c77076cc1296cfc8f8d732ac7496ba4c97c7fc1,2026-09-02T16:40:54+00:00
2026-07-31,AR,2018Q2,FMP,REVENUE_USD,6915582000.0,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\fmp\analyst-estimates\period=quarter\snapshot_date=2026-07-31\ticker=AR.json,97bc88f9b1d5a77b00d784ac0c77076cc1296cfc8f8d732ac7496ba4c97c7fc1,2026-09-02T16:40:54+00:00
2026-07-31,AR,2018Q1,FMP,REVENUE_USD,640861863.0,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\fmp\analyst-estimates\period=quarter\snapshot_date=2026-07-31\ticker=AR.json,97bc88f9b1d5a77b00d784ac0c77076cc1296cfc8f8d732ac7496ba4c97c7fc1,2026-09-02T16:40:54+00:00
2026-07-31,AR,2017Q4,FMP,REVENUE_USD,780370434.0,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\fmp\analyst-estimates\period=quarter\snapshot_date=2026-07-31\ticker=AR.json,97bc88f9b1d5a77b00d784ac0c77076cc1296cfc8f8d732ac7496ba4c97c7fc1,2026-09-02T16:40:54+00:00
2026-07-31,AR,2017Q3,FMP,REVENUE_USD,1452442200.0,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\fmp\analyst-estimates\period=quarter\snapshot_date=2026-07-31\ticker=AR.json,97bc88f9b1d5a77b00d784ac0c77076cc1296cfc8f8d732ac7496ba4c97c7fc1,2026-09-02T16:40:54+00:00
2026-07-31,AR,2017Q2,FMP,REVENUE_USD,488691000.0,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\fmp\analyst-estimates\period=quarter\snapshot_date=2026-07-31\ticker=AR.json,97bc88f9b1d5a77b00d784ac0c77076cc1296cfc8f8d732ac7496ba4c97c7fc1,2026-09-02T16:40:54+00:00
2026-07-31,AR,2017Q1,FMP,REVENUE_USD,345440000.0,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\fmp\analyst-estimates\period=quarter\snapshot_date=2026-07-31\ticker=AR.json,97bc88f9b1d5a77b00d784ac0c77076cc1296cfc8f8d732ac7496ba4c97c7fc1,2026-09-02T16:40:54+00:00
2026-07-31,AR,2016Q4,FMP,REVENUE_USD,511731318.0,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\fmp\analyst-estimates\period=quarter\snapshot_date=2026-07-31\ticker=AR.json,97bc88f9b1d5a77b00d784ac0c77076cc1296cfc8f8d732ac7496ba4c97c7fc1,2026-09-02T16:40:54+00:00
2026-07-31,AR,2016Q3,FMP,REVENUE_USD,326062000.0,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\fmp\analyst-estimates\period=quarter\snapshot_date=2026-07-31\ticker=AR.json,97bc88f9b1d5a77b00d784ac0c77076cc1296cfc8f8d732ac7496ba4c97c7fc1,2026-09-02T16:40:54+00:00
2026-07-31,AR,2016Q2,FMP,REVENUE_USD,270705285.0,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\fmp\analyst-estimates\period=quarter\snapshot_date=2026-07-31\ticker=AR.json,97bc88f9b1d5a77b00d784ac0c77076cc1296cfc8f8d732ac7496ba4c97c7fc1,2026-09-02T16:40:54+00:00
2026-07-31,AR,2016Q1,FMP,REVENUE_USD,361973647.0,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\fmp\analyst-estimates\period=quarter\snapshot_date=2026-07-31\ticker=AR.json,97bc88f9b1d5a77b00d784ac0c77076cc1296cfc8f8d732ac7496ba4c97c7fc1,2026-09-02T16:40:54+00:00
2026-07-31,AR,2015Q4,FMP,REVENUE_USD,245274000.0,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\fmp\analyst-estimates\period=quarter\snapshot_date=2026-07-31\ticker=AR.json,97bc88f9b1d5a77b00d784ac0c77076cc1296cfc8f8d732ac7496ba4c97c7fc1,2026-09-02T16:40:54+00:00
2026-07-31,AR,2015Q3,FMP,REVENUE_USD,262904800.0,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\fmp\analyst-estimates\period=quarter\snapshot_date=2026-07-31\ticker=AR.json,97bc88f9b1d5a77b00d784ac0c77076cc1296cfc8f8d732ac7496ba4c97c7fc1,2026-09-02T16:40:54+00:00
2026-07-31,AR,2015Q2,FMP,REVENUE_USD,329112000.0,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\fmp\analyst-estimates\period=quarter\snapshot_date=2026-07-31\ticker=AR.json,97bc88f9b1d5a77b00d784ac0c77076cc1296cfc8f8d732ac7496ba4c97c7fc1,2026-09-02T16:40:54+00:00
2026-07-31,AR,2015Q1,FMP,REVENUE_USD,335991333.0,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\fmp\analyst-estimates\period=quarter\snapshot_date=2026-07-31\ticker=AR.json,97bc88f9b1d5a77b00d784ac0c77076cc1296cfc8f8d732ac7496ba4c97c7fc1,2026-09-02T16:40:54+00:00
2026-07-31,AR,2014Q4,FMP,REVENUE_USD,444378666.0,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\fmp\analyst-estimates\period=quarter\snapshot_date=2026-07-31\ticker=AR.json,97bc88f9b1d5a77b00d784ac0c77076cc1296cfc8f8d732ac7496ba4c97c7fc1,2026-09-02T16:40:54+00:00
2026-07-31,AR,2014Q3,FMP,REVENUE_USD,532497777.0,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\fmp\analyst-estimates\period=quarter\snapshot_date=2026-07-31\ticker=AR.json,97bc88f9b1d5a77b00d784ac0c77076cc1296cfc8f8d732ac7496ba4c97c7fc1,2026-09-02T16:40:54+00:00
2026-07-31,AR,2014Q2,FMP,REVENUE_USD,552597551.0,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\fmp\analyst-estimates\period=quarter\snapshot_date=2026-07-31\ticker=AR.json,97bc88f9b1d5a77b00d784ac0c77076cc1296cfc8f8d732ac7496ba4c97c7fc1,2026-09-02T16:40:54+00:00
2026-07-31,AR,2014Q1,FMP,REVENUE_USD,426083823.0,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\fmp\analyst-estimates\period=quarter\snapshot_date=2026-07-31\ticker=AR.json,97bc88f9b1d5a77b00d784ac0c77076cc1296cfc8f8d732ac7496ba4c97c7fc1,2026-09-02T16:40:54+00:00
2026-07-31,AR,2013Q4,FMP,REVENUE_USD,244495535.0,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\fmp\analyst-estimates\period=quarter\snapshot_date=2026-07-31\ticker=AR.json,97bc88f9b1d5a77b00d784ac0c77076cc1296cfc8f8d732ac7496ba4c97c7fc1,2026-09-02T16:40:54+00:00
2026-07-31,AR,2013Q3,FMP,REVENUE_USD,404250000.0,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\fmp\analyst-estimates\period=quarter\snapshot_date=2026-07-31\ticker=AR.json,97bc88f9b1d5a77b00d784ac0c77076cc1296cfc8f8d732ac7496ba4c97c7fc1,2026-09-02T16:40:54+00:00
2026-07-31,CNX,2030Q2,FMP,REVENUE_USD,1255523523.0,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\fmp\analyst-estimates\period=quarter\snapshot_date=2026-07-31\ticker=CNX.json,505a56c98e2cdb25701bf1a5fe8edf67aade9e3cc4754137c5aed2f0d91a8a13,2026-09-02T16:40:54+00:00
2026-07-31,CNX,2030Q1,FMP,REVENUE_USD,1221101172.0,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\fmp\analyst-estimates\period=quarter\snapshot_date=2026-07-31\ticker=CNX.json,505a56c98e2cdb25701bf1a5fe8edf67aade9e3cc4754137c5aed2f0d91a8a13,2026-09-02T16:40:54+00:00
2026-07-31,CNX,2029Q4,FMP,REVENUE_USD,1187622568.0,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\fmp\analyst-estimates\period=quarter\snapshot_date=2026-07-31\ticker=CNX.json,505a56c98e2cdb25701bf1a5fe8edf67aade9e3cc4754137c5aed2f0d91a8a13,2026-09-02T16:40:54+00:00
2026-07-31,CNX,2029Q3,FMP,REVENUE_USD,1155061839.0,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\fmp\analyst-estimates\period=quarter\snapshot_date=2026-07-31\ticker=CNX.json,505a56c98e2cdb25701bf1a5fe8edf67aade9e3cc4754137c5aed2f0d91a8a13,2026-09-02T16:40:54+00:00
2026-07-31,CNX,2029Q2,FMP,REVENUE_USD,1123393819.0,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\fmp\analyst-estimates\period=quarter\snapshot_date=2026-07-31\ticker=CNX.json,505a56c98e2cdb25701bf1a5fe8edf67aade9e3cc4754137c5aed2f0d91a8a13,2026-09-02T16:40:54+00:00
2026-07-31,CNX,2029Q1,FMP,REVENUE_USD,1092594032.0,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\fmp\analyst-estimates\period=quarter\snapshot_date=2026-07-31\ticker=CNX.json,505a56c98e2cdb25701bf1a5fe8edf67aade9e3cc4754137c5aed2f0d91a8a13,2026-09-02T16:40:54+00:00
2026-07-31,CNX,2028Q4,FMP,REVENUE_USD,604500000.0,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\fmp\analyst-estimates\period=quarter\snapshot_date=2026-07-31\ticker=CNX.json,505a56c98e2cdb25701bf1a5fe8edf67aade9e3cc4754137c5aed2f0d91a8a13,2026-09-02T16:40:54+00:00
2026-07-31,CNX,2028Q3,FMP,REVENUE_USD,559500000.0,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\fmp\analyst-estimates\period=quarter\snapshot_date=2026-07-31\ticker=CNX.json,505a56c98e2cdb25701bf1a5fe8edf67aade9e3cc4754137c5aed2f0d91a8a13,2026-09-02T16:40:54+00:00
2026-07-31,CNX,2028Q2,FMP,REVENUE_USD,551500000.0,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\fmp\analyst-estimates\period=quarter\snapshot_date=2026-07-31\ticker=CNX.json,505a56c98e2cdb25701bf1a5fe8edf67aade9e3cc4754137c5aed2f0d91a8a13,2026-09-02T16:40:54+00:00
2026-07-31,CNX,2028Q1,FMP,REVENUE_USD,632500000.0,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\fmp\analyst-estimates\period=quarter\snapshot_date=2026-07-31\ticker=CNX.json,505a56c98e2cdb25701bf1a5fe8edf67aade9e3cc4754137c5aed2f0d91a8a13,2026-09-02T16:40:54+00:00
2026-07-31,CNX,2027Q4,FMP,REVENUE_USD,579172833.0,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\fmp\analyst-estimates\period=quarter\snapshot_date=2026-07-31\ticker=CNX.json,505a56c98e2cdb25701bf1a5fe8edf67aade9e3cc4754137c5aed2f0d91a8a13,2026-09-02T16:40:54+00:00
2026-07-31,CNX,2027Q3,FMP,REVENUE_USD,542026500.0,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\fmp\analyst-estimates\period=quarter\snapshot_date=2026-07-31\ticker=CNX.json,505a56c98e2cdb25701bf1a5fe8edf67aade9e3cc4754137c5aed2f0d91a8a13,2026-09-02T16:40:54+00:00
2026-07-31,CNX,2027Q2,FMP,REVENUE_USD,530760332.0,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\fmp\analyst-estimates\period=quarter\snapshot_date=2026-07-31\ticker=CNX.json,505a56c98e2cdb25701bf1a5fe8edf67aade9e3cc4754137c5aed2f0d91a8a13,2026-09-02T16:40:54+00:00
2026-07-31,CNX,2027Q1,FMP,REVENUE_USD,573285000.0,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\fmp\analyst-estimates\period=quarter\snapshot_date=2026-07-31\ticker=CNX.json,505a56c98e2cdb25701bf1a5fe8edf67aade9e3cc4754137c5aed2f0d91a8a13,2026-09-02T16:40:54+00:00
2026-07-31,CNX,2026Q4,FMP,REVENUE_USD,499609143.0,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\fmp\analyst-estimates\period=quarter\snapshot_date=2026-07-31\ticker=CNX.json,505a56c98e2cdb25701bf1a5fe8edf67aade9e3cc4754137c5aed2f0d91a8a13,2026-09-02T16:40:54+00:00
